# ==== VOID FOR DEPLOYMENT (seating lookahead, leak audit P1, 2026-08-21) ====
# Every REALISED $/session column below is produced under retrospective seating
# (newobj.top_per_cell_score = the cell's EVENTUAL argmax, ~5.5h of future
# arrivals on average; the argmax is the cell's first arrival only 5.9-14.4% of
# the time, LEAK_SEATING_CENSUS.tsv).  Those numbers are NOT earnable at arrival
# time and must never be quoted as results or used as promotion baselines.
# THE CEILING COLUMNS SURVIVE: a ceiling is a hindsight BOUND, not a policy, and
# the verdicts of this table rest on them.  Replacement object: the arrival-time
# policy (engine/port_m2/arrival.py, ARRIVAL_ZOO.tsv, ARRIVAL_PROPHET.tsv).
# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# S1b — THE SHORT SIDE OF THE HORIZON GRADIENT, the drawing-board move S1's own finding generates.  Exit at min(entry + H, phase close) and LET THE FREED POSITION BE RE-SEATED.
# WHY THIS IS NOT COVERED BY THE EXIT-CENSUS NULL: EXIT_CENSUS2_RULES.tsv holds n_seats FIXED AT 352 across all 40 rules — it re-priced exits and never re-filled the seat an early exit frees, so the throughput channel S1 proved dominant is absent from that null.  Its time rules are path-CONDITIONAL; these are fixed horizons chosen at entry.
# THE WALL IS LIVE inside the shortened hold (m2_delay._close_cert, imported).  H is CAPPED at the phase close, so no row here rides past the incumbent's exit.
# dp_ceiling_free / dp_seats_free = the SCHEDULE-FREE one-position DP bound over EVERY candidate at that horizon (c_c_roster.dp_schedule).  It is NON-COMPLIANT with the <=10 trades/day cap by construction and is the unconstrained bound, never a deployable number.
# ARM = the deployed folded members with the adopted first-wall stop, 5 seeds.  PROMOTION = delta_minus_sd > 0 vs the PHASE incumbent.
era	criterion	horizon	hold_cap_sec	n_sessions	n_seeds	armed_mean	armed_sd	raw_mean	raw_sd	seats_per_session	forfeits_per_session	foresight_ceiling	armed_capture	aim_08ceiling	gap_to_aim	dp_ceiling_free	dp_seats_free	delta_vs_phase	delta_minus_sd	promotes
E6	BINDING	H3600	3600	384	5	631.29	125.33	718.29	103.14	3.0	0.0	2559.97	0.2466	2047.97	-1416.68	6872.89	16.4	-496.27	-621.61	no
E6	BINDING	H7200	7200	384	5	858.63	230.66	998.62	174.24	3.0	0.0	2974.97	0.2886	2379.98	-1521.34	5603.38	9.62	-268.93	-499.6	no
E6	BINDING	H14400	14400	384	5	1045.44	359.63	1228.26	294.7	3.0	0.0	3282.66	0.3185	2626.13	-1580.68	4338.19	5.41	-82.13	-441.76	no
E7	BINDING	PHASE		393	5	1633.52	16.29	1842.58	11.03	3.0	0.0	4085.25	0.3999	3268.2	-1634.68	4087.89	3.05	0.0	-16.29	no
E7	BINDING	H300	300	393	5	71.86	10.36	82.59	15.07	3.0	0.0	1290.06	0.0557	1032.05	-960.19	9986.01	67.22	-1561.66	-1572.02	no
E7	BINDING	H600	600	393	5	212.49	15.39	238.58	17.15	3.0	0.0	1694.27	0.1254	1355.42	-1142.93	10545.91	51.36	-1421.04	-1436.42	no
E7	BINDING	H900	900	393	5	297.03	20.29	330.68	21.02	3.0	0.0	1971.7	0.1506	1577.36	-1280.33	10501.83	41.92	-1336.49	-1356.78	no
E7	BINDING	H1800	1800	393	5	508.14	23.83	574.24	15.72	3.0	0.0	2561.54	0.1984	2049.23	-1541.09	9848.45	27.35	-1125.38	-1149.21	no
E7	BINDING	H3600	3600	393	5	835.12	15.14	935.3	7.81	3.0	0.0	3176.19	0.2629	2540.95	-1705.83	8624.15	16.58	-798.4	-813.54	no
E7	BINDING	H7200	7200	393	5	1196.25	15.12	1347.82	5.24	3.0	0.0	3767.92	0.3175	3014.34	-1818.09	6995.83	9.65	-437.27	-452.4	no
E7	BINDING	H14400	14400	393	5	1467.33	7.32	1668.64	11.65	3.0	0.0	4122.39	0.3559	3297.91	-1830.58	5380.04	5.49	-166.19	-173.52	no
E3	context	PHASE		390	5	866.04	63.77	1067.53	79.53	3.045	2.955	2969.1	0.2917	2375.28	-1509.24	3012.58	3.01	0.0	-63.77	no
E3	context	H300	300	390	5	-0.24	9.7	-0.74	10.8	4.715	1.285	1254.46	-0.0002	1003.57	-1003.81	6237.8	61.62	-866.29	-875.98	no
E3	context	H600	600	390	5	62.02	16.78	88.99	20.12	4.432	1.568	1580.66	0.0392	1264.53	-1202.51	6880.87	48.54	-804.03	-820.81	no
E3	context	H900	900	390	5	112.67	22.81	146.45	22.96	4.25	1.75	1776.15	0.0634	1420.92	-1308.25	6995.46	39.85	-753.38	-776.18	no
E3	context	H1800	1800	390	5	207.8	19.18	286.14	16.65	3.928	2.072	2113.53	0.0983	1690.83	-1483.02	6787.02	26.59	-658.24	-677.42	no
E3	context	H3600	3600	390	5	376.94	29.71	472.63	37.08	3.601	2.399	2469.87	0.1526	1975.89	-1598.95	6044.27	16.24	-489.1	-518.81	no
E3	context	H7200	7200	390	5	595.19	48.62	710.75	47.64	3.32	2.68	2806.17	0.2121	2244.93	-1649.75	4985.7	9.54	-270.86	-319.48	no
E3	context	H14400	14400	390	5	802.71	56.65	990.64	57.64	3.115	2.885	2976.83	0.2697	2381.47	-1578.75	3861.01	5.63	-63.33	-119.98	no
E4	context	PHASE		385	5	1043.52	113.5	1246.2	101.54	3.0	0.0	2744.17	0.3803	2195.34	-1151.82	2745.29	3.02	0.0	-113.5	no
E4	context	H300	300	385	5	24.72	8.39	35.87	6.97	3.0	0.0	836.82	0.0295	669.45	-644.74	6030.76	59.75	-1018.8	-1027.19	no
E4	context	H600	600	385	5	95.11	17.08	118.84	15.66	3.0	0.0	1121.75	0.0848	897.4	-802.3	6523.05	46.84	-948.42	-965.5	no
E4	context	H900	900	385	5	170.7	20.78	205.74	20.49	3.0	0.0	1331.43	0.1282	1065.14	-894.44	6581.06	38.61	-872.82	-893.6	no
E4	context	H1800	1800	385	5	309.53	33.13	374.49	35.06	3.0	0.0	1719.85	0.18	1375.88	-1066.35	6255.45	25.55	-733.99	-767.12	no
E4	context	H3600	3600	385	5	513.69	62.35	595.77	56.93	3.0	0.0	2129.59	0.2412	1703.68	-1189.99	5526.22	15.82	-529.84	-592.19	no
E4	context	H7200	7200	385	5	820.95	65.61	934.64	56.93	3.0	0.0	2550.03	0.3219	2040.03	-1219.07	4559.31	9.37	-222.57	-288.17	no
E4	context	H14400	14400	385	5	991.6	88.24	1164.39	75.11	3.0	0.0	2753.12	0.3602	2202.49	-1210.9	3529.84	5.49	-51.92	-140.16	no
