# PORT M2 port m2 EXIT CENSUS 2 — exit rules priced on the agreement-selected books (E3-E7 develop; prop constraints enforced in code) (lane=port-m2-exits2; version=PORT-M2-EXITCENSUS2-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PROP LAW, ENFORCED IN CODE: no exit before 1800 seconds (30 minutes) of hold.  `_check_holds` REFUSES the stage if any priced seat holds less than that with the phase close still open, so a hold shorter than 30 minutes can only be the phase close itself arriving.  Every rule is POSITION MANAGEMENT on an open trade; no microscalp is expressible.
# The $900 wall and the phase-close contract stay in force.  A rule may only move the exit EARLIER than the phase close; the wall always wins if it reaches the position first.
# THE SEAT SET IS HELD FIXED across every rule.  Earlier exits free occupancy, so re-seating could only ADD trades; not counting them is the conservative choice and is declared, not hidden.
# d_* columns are deltas against the PHASE-CLOSE baseline on the SAME book and the SAME seats.  d_usd_per_session_displaced is the same rule's hold-time distribution randomly re-assigned across seats (same timing, no path information); d_minus_displaced is the information the rule actually adds.  A rule whose d_minus_displaced is ~0 is a hold-length artefact.
# capture_of_ceiling = usd_per_session / the ENTRY FORESIGHT ceiling (the per-session one-position DP over every candidate, phase-close contract) -- what perfect ENTRY selection is worth.  capture_of_full_ceiling uses the anchored ORACLE legs, i.e. perfect entries AND perfect exits (clairvoyant; an outer bound nobody can trade).
# TARGETS ON THE TABLE FACE: floor $2000/session/asset (floor_2000); aim $2500-3000 (aim_2500_3000).
# FAMILY 3 (PARTIAL BANK) IS NOT DEPLOYABLE AT ONE CONTRACT -- you cannot sell half a contract.  Its rows are the two-contract-equivalent (each half carries half the gross, the round-trip cost charged once, the second exit's own slippage NOT charged) and are a SIZING QUESTION FOR THE USER, never a drop-in rule.
# Pooled over eras SESSION-WEIGHTED (the only pooling that agrees with the $/session headline).  Ranked within book by pooled_d_usd_per_session.
# verdict: PROMOTE = pooled delta positive AND it beats its own displaced-time control AND it is positive in >=4 of the 5 eras.  MIXED = positive pooled but fails one of those.  KILLED = the pooled delta is not positive.
# SELECTION HONESTY: this ranks ~40 rules on the same E3-E7 sample the entries were developed on.  A rule that only just clears zero here is a draw from a search, not a finding; the ADOPTION decision is the user's (D-029).
book_tau	family	rule	knob	n_eras	n_sessions	n_seats	pooled_usd_per_session	pooled_d_usd_per_session	pooled_d_usd_per_trade	pooled_d_displaced	pooled_d_minus_displaced	n_eras_positive	worst_era_delta	best_era_delta	pooled_d_win_rate	pooled_d_wall_stopped	pooled_d_frac_dd_over_1000	hold_min_s_over_eras	mean_frac_triggered	pooled_capture_of_ceiling	pooled_capture_of_full_ceiling	verdict
0.70	4-TIME-DECAY	TIME120_T150	at entry+120min below +$150 -> exit at market	5	810	1028	797.86	-59.07	-45.79	-112.19	53.12	0	-88.38	-27.45	-0.019	-0.0012	0.0	436	0.2043	0.2562	0.3253	KILLED
0.70	1-MID-HOLD-DISQ	MHD_FLOW15_0.25ATR	15min against, >=0.25 ATR given up	5	810	1028	795.75	-61.18	-48.34	-102.25	41.07	0	-88.84	-35.91	-0.0047	-0.002	0.0	436	0.1159	0.2558	0.325	KILLED
0.70	2-STRUCTURE-TRAIL	TRAIL_A1200_W60	arm at +$1200, stop behind the 60min extreme	5	810	1028	790.0	-66.93	-50.31	-115.11	48.18	1	-172.19	9.04	0.0038	-0.001	0.0	436	0.2368	0.2566	0.3288	KILLED
0.70	2-STRUCTURE-TRAIL	TRAIL_A1200_W30	arm at +$1200, stop behind the 30min extreme	5	810	1028	777.84	-79.08	-59.16	-123.7	44.61	1	-193.99	60.91	0.0029	-0.001	0.0	436	0.267	0.2529	0.324	KILLED
0.70	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B900	half off at +$900, remainder to phase close	5	810	1028	774.79	-82.13	-62.66	-85.65	3.52	1	-175.14	8.91	0.0083	0.0	0.0	436	0.4446	0.2511	0.321	KILLED
0.70	4-TIME-DECAY	TIME120_T300	at entry+120min below +$300 -> exit at market	5	810	1028	765.26	-91.67	-71.58	-131.65	39.99	0	-126.99	-47.83	-0.0061	-0.0012	0.0	436	0.3403	0.245	0.3103	KILLED
0.70	2-STRUCTURE-TRAIL	TRAIL_A900_W60	arm at +$900, stop behind the 60min extreme	5	810	1028	745.39	-111.54	-85.56	-131.84	20.3	0	-244.43	-7.34	0.0048	-0.001	0.0	436	0.3599	0.2427	0.3115	KILLED
0.70	5-COMBINATION	CMB_B600_TRAIL900_60	-$600 cut OR trail(+$900,60min)	5	810	1028	739.98	-116.95	-89.79	-133.5	16.55	0	-256.47	-16.89	0.003	-0.0043	0.0	436	0.3792	0.2412	0.3098	KILLED
0.70	2-STRUCTURE-TRAIL	TRAIL_A900_W30	arm at +$900, stop behind the 30min extreme	5	810	1028	726.08	-130.84	-100.51	-158.65	27.8	0	-261.79	-21.28	0.0075	-0.001	0.0	436	0.4139	0.2361	0.3026	KILLED
0.70	1-MID-HOLD-DISQ	MHD_STRUCT_0.05ATR	reclaim level lost by 0.05 ATR	5	810	1028	723.82	-133.1	-102.37	-143.62	10.51	0	-233.32	-29.21	-0.1111	-0.0043	0.0	436	0.1929	0.2338	0.2981	KILLED
0.70	5-COMBINATION	CMB_B600_TRAIL900_30	-$600 cut OR trail(+$900,30min)	5	810	1028	720.43	-136.5	-104.91	-163.04	26.54	0	-274.61	-29.52	0.0057	-0.0043	0.0	436	0.4332	0.2345	0.3008	KILLED
0.70	5-COMBINATION	CMB_TRIPLE	-$600 OR trail(+$900,60min) OR time(180,+$300)	5	810	1028	706.1	-150.83	-116.83	-139.87	-10.96	0	-285.2	-50.95	0.0031	-0.0043	0.0	436	0.5645	0.2296	0.2943	KILLED
0.70	2-STRUCTURE-TRAIL	TRAIL_A600_W60	arm at +$600, stop behind the 60min extreme	5	810	1028	692.64	-164.29	-125.22	-161.45	-2.84	0	-343.63	-29.21	0.0141	-0.001	0.0	436	0.5413	0.2264	0.2915	KILLED
0.70	5-COMBINATION	CMB_B600_TRAIL600_60	-$600 cut OR trail(+$600,60min)	5	810	1028	686.2	-170.73	-130.19	-159.64	-11.08	0	-358.93	-42.12	0.0114	-0.0043	0.0	436	0.5576	0.2247	0.2895	KILLED
0.70	2-STRUCTURE-TRAIL	TRAIL_A600_W30	arm at +$600, stop behind the 30min extreme	5	810	1028	650.7	-206.23	-158.05	-213.38	7.15	0	-401.39	-59.65	0.0206	-0.001	0.0	436	0.6183	0.2129	0.2742	KILLED
0.70	5-COMBINATION	CMB_B600_TRAIL600_30	-$600 cut OR trail(+$600,30min)	5	810	1028	644.47	-212.46	-162.88	-218.51	6.05	0	-416.06	-72.55	0.0179	-0.0043	0.0	436	0.6347	0.2112	0.2723	KILLED
0.70	1-MID-HOLD-DISQ	MHD_FLOW15_0.10ATR	15min against, >=0.10 ATR given up	5	810	1028	567.39	-289.54	-223.75	-256.52	-33.02	0	-458.84	-143.61	-0.0391	-0.0043	0.0	436	0.7161	0.1835	0.2341	KILLED
0.70	1-MID-HOLD-DISQ	MHD_FLOW15_0.05ATR	15min against, >=0.05 ATR given up	5	810	1028	443.24	-413.69	-319.95	-373.28	-40.41	0	-653.81	-247.01	-0.0906	-0.0043	-0.0012	436	0.9354	0.1443	0.1851	KILLED
0.70	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B600	flow OR -$600	5	810	1028	442.98	-413.95	-320.18	-373.02	-40.93	0	-653.95	-247.01	-0.0906	-0.0043	-0.0012	436	0.9354	0.1442	0.1849	KILLED
0.70	1-MID-HOLD-DISQ	MHD_ANY3	struct .10 OR flow OR -$600	5	810	1028	442.43	-414.5	-320.57	-376.86	-37.64	0	-653.03	-244.16	-0.0925	-0.0043	-0.0012	436	0.9354	0.1439	0.1845	KILLED
0.70	1-MID-HOLD-DISQ	MHD_STRUCT10_OR_FLOW05	struct .10 OR flow	5	810	1028	442.3	-414.62	-320.66	-372.79	-41.83	0	-653.42	-244.16	-0.0925	-0.0043	-0.0012	436	0.9354	0.1439	0.1845	KILLED
0.70	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B400	flow OR -$400	5	810	1028	442.0	-414.92	-320.86	-369.96	-44.97	0	-657.37	-245.11	-0.0924	-0.0043	-0.0012	436	0.9354	0.1439	0.1847	KILLED
0.70	5-COMBINATION	CMB_FLOW05_TRAIL900_60	flow cut OR trail(+$900,60min)	5	810	1028	441.22	-415.71	-321.42	-368.13	-47.58	0	-660.35	-249.19	-0.0915	-0.0043	-0.0012	436	0.9375	0.1438	0.1846	KILLED
0.70	5-COMBINATION	CMB_ANY3_TRAIL900_60	any-3 disqualification OR trail(+$900,60)	5	810	1028	440.41	-416.52	-322.03	-377.71	-38.81	0	-659.57	-246.33	-0.0934	-0.0043	-0.0012	436	0.9375	0.1434	0.184	KILLED
0.70	5-COMBINATION	CMB_FLOW05_TRAIL600_60	flow cut OR trail(+$600,60min)	5	810	1028	439.31	-417.61	-322.82	-370.12	-47.49	0	-663.6	-249.19	-0.0915	-0.0043	-0.0012	436	0.9384	0.1432	0.1838	KILLED
0.70	5-COMBINATION	CMB_FLOW_TRAIL_TIME	flow OR trail(+$600,60min) OR time(180,+$300)	5	810	1028	437.37	-419.55	-324.26	-363.44	-56.11	0	-665.77	-249.19	-0.0903	-0.0043	-0.0012	436	0.9424	0.1425	0.1829	KILLED
0.70	5-COMBINATION	CMB_FLOW05_TRAIL900_30	flow cut OR trail(+$900,30min)	5	810	1028	433.95	-422.98	-327.01	-375.29	-47.69	0	-667.36	-247.55	-0.0915	-0.0043	-0.0012	436	0.9422	0.1412	0.1811	KILLED
0.70	5-COMBINATION	CMB_FLOW05_TRAIL600_30	flow cut OR trail(+$600,30min)	5	810	1028	419.93	-437.0	-337.9	-384.16	-52.84	0	-697.31	-252.72	-0.0915	-0.0043	-0.0012	436	0.946	0.1372	0.1764	KILLED
0.70	1-MID-HOLD-DISQ	MHD_FLOW15_LOOSE	15min no new high + net down (LOOSE)	5	810	1028	335.17	-521.75	-405.44	-516.59	-5.16	0	-769.92	-349.73	-0.0971	-0.0043	-0.0012	436	0.9866	0.1081	0.1378	KILLED
0.80	1-MID-HOLD-DISQ	MHD_STRUCT_0.20ATR	reclaim level lost by 0.20 ATR	5	572	670	840.1	-3.12	-2.8	-88.41	85.29	1	-13.02	1.18	-0.003	-0.003	0.0	1068	0.0171	0.2651	0.3295	KILLED
0.80	1-MID-HOLD-DISQ	MHD_BELOW600_AND_FLOW05	-$600 AND flow (later of the two)	5	572	670	834.78	-8.44	-7.28	-80.43	71.98	1	-51.56	1.25	-0.0028	-0.003	0.0	1068	0.0245	0.264	0.3285	KILLED
0.80	1-MID-HOLD-DISQ	MHD_BELOW600	sits below -$600	5	572	670	834.72	-8.51	-7.36	-93.4	84.89	1	-51.56	1.25	-0.0028	-0.003	0.0	1068	0.0245	0.2639	0.3284	KILLED
0.80	4-TIME-DECAY	TIME180_T150	at entry+180min below +$150 -> exit at market	5	572	670	824.96	-18.26	-15.87	-82.65	64.39	1	-42.12	2.61	-0.0064	0.0	0.0	1068	0.1135	0.2598	0.3226	KILLED
0.80	1-MID-HOLD-DISQ	MHD_BELOW400	sits below -$400	5	572	670	810.31	-32.91	-27.41	-94.63	61.72	1	-78.27	2.35	-0.0204	-0.003	0.0	1068	0.0583	0.2573	0.3211	KILLED
0.80	4-TIME-DECAY	TIME180_T300	at entry+180min below +$300 -> exit at market	5	572	670	806.5	-36.72	-31.4	-101.51	64.79	0	-56.48	-2.6	0.0087	0.0	0.0	1068	0.2277	0.2534	0.3141	KILLED
0.80	1-MID-HOLD-DISQ	MHD_STRUCT10_AND_FLOW05	struct .10 AND flow (later of the two)	5	572	670	800.98	-42.24	-36.15	-107.61	65.37	0	-60.91	-15.88	-0.0331	-0.003	0.0	1068	0.0877	0.2528	0.3143	KILLED
0.80	1-MID-HOLD-DISQ	MHD_STRUCT_0.10ATR	reclaim level lost by 0.10 ATR	5	572	670	800.02	-43.2	-36.97	-96.35	53.15	0	-61.94	-19.19	-0.0346	-0.003	0.0	1068	0.0877	0.2524	0.3136	KILLED
0.80	5-COMBINATION	CMB_B600_TIME180_300	-$600 cut OR time-decay(180min,+$300)	5	572	670	797.18	-46.04	-39.46	-103.65	57.61	0	-56.77	-41.6	0.0059	-0.003	0.0	1068	0.2386	0.251	0.3116	KILLED
0.80	1-MID-HOLD-DISQ	MHD_FLOW15_0.25ATR	15min against, >=0.25 ATR given up	5	572	670	795.16	-48.06	-41.09	-98.66	50.59	0	-54.34	-33.1	-0.0088	-0.003	0.0	1068	0.1093	0.2504	0.3107	KILLED
0.80	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B1200	half off at +$1200, remainder to phase close	5	572	670	787.16	-56.06	-46.67	-84.81	28.75	1	-117.82	42.94	0.0045	0.0	0.0	1068	0.3202	0.2502	0.3125	KILLED
0.80	4-TIME-DECAY	TIME120_T150	at entry+120min below +$150 -> exit at market	5	572	670	783.75	-59.47	-50.29	-113.44	53.97	0	-98.15	-26.58	-0.0077	0.0	0.0	1068	0.1993	0.2481	0.3092	KILLED
0.80	2-STRUCTURE-TRAIL	TRAIL_A1200_W60	arm at +$1200, stop behind the 60min extreme	5	572	670	774.01	-69.21	-57.66	-111.23	42.02	0	-142.69	-0.46	0.0045	-0.0015	0.0	1068	0.2435	0.2463	0.3078	KILLED
0.80	2-STRUCTURE-TRAIL	TRAIL_A1200_W30	arm at +$1200, stop behind the 30min extreme	5	572	670	763.33	-79.89	-66.82	-127.48	47.59	1	-149.03	45.84	0.0031	-0.0015	0.0	1068	0.279	0.2427	0.3029	KILLED
0.80	4-TIME-DECAY	TIME120_T300	at entry+120min below +$300 -> exit at market	5	572	670	759.04	-84.18	-71.7	-134.84	50.65	0	-142.12	-58.56	0.009	0.0	0.0	1068	0.3364	0.2395	0.2977	KILLED
0.80	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B900	half off at +$900, remainder to phase close	5	572	670	753.74	-89.48	-75.0	-82.25	-7.23	1	-165.71	22.0	0.0087	0.0	0.0	1068	0.4655	0.2398	0.2995	KILLED
0.80	2-STRUCTURE-TRAIL	TRAIL_A900_W60	arm at +$900, stop behind the 60min extreme	5	572	670	731.96	-111.26	-93.38	-129.0	17.74	0	-203.09	-16.14	0.0059	-0.0015	0.0	1068	0.3706	0.233	0.2914	KILLED
0.80	5-COMBINATION	CMB_B600_TRAIL900_60	-$600 cut OR trail(+$900,60min)	5	572	670	724.32	-118.9	-100.04	-124.49	5.59	0	-216.68	-32.63	0.0031	-0.003	0.0	1068	0.3894	0.2311	0.2893	KILLED
0.80	1-MID-HOLD-DISQ	MHD_STRUCT_0.05ATR	reclaim level lost by 0.05 ATR	5	572	670	722.35	-120.87	-101.35	-140.5	19.63	0	-213.68	-24.48	-0.1019	-0.003	0.0	1068	0.1732	0.2299	0.2874	KILLED
0.80	2-STRUCTURE-TRAIL	TRAIL_A900_W30	arm at +$900, stop behind the 30min extreme	5	572	670	706.29	-136.93	-115.52	-158.16	21.23	1	-216.93	26.39	0.0074	-0.0015	0.0	1068	0.4319	0.2241	0.2793	KILLED
0.80	5-COMBINATION	CMB_B600_TRAIL900_30	-$600 cut OR trail(+$900,30min)	5	572	670	698.31	-144.92	-122.47	-161.91	16.99	1	-231.49	26.39	0.0045	-0.003	0.0	1068	0.4506	0.222	0.2771	KILLED
0.80	5-COMBINATION	CMB_TRIPLE	-$600 OR trail(+$900,60min) OR time(180,+$300)	5	572	670	694.47	-148.75	-125.72	-138.53	-10.22	0	-238.26	-72.03	0.0088	-0.003	0.0	1068	0.5799	0.2207	0.2756	KILLED
0.80	2-STRUCTURE-TRAIL	TRAIL_A600_W60	arm at +$600, stop behind the 60min extreme	5	572	670	684.93	-158.29	-131.93	-150.94	-7.35	0	-301.7	-19.53	0.0153	-0.0015	0.0	1068	0.5348	0.2194	0.2755	KILLED
0.80	5-COMBINATION	CMB_B600_TRAIL600_60	-$600 cut OR trail(+$600,60min)	5	572	670	675.84	-167.38	-139.77	-152.35	-15.02	0	-319.35	-49.07	0.011	-0.003	0.0	1068	0.5491	0.2171	0.273	KILLED
0.80	2-STRUCTURE-TRAIL	TRAIL_A600_W30	arm at +$600, stop behind the 30min extreme	5	572	670	624.6	-218.63	-183.96	-218.76	0.14	0	-357.28	-99.07	0.021	-0.0015	0.0	1068	0.6167	0.1994	0.2497	KILLED
0.80	5-COMBINATION	CMB_B600_TRAIL600_30	-$600 cut OR trail(+$600,30min)	5	572	670	615.79	-227.43	-191.57	-212.97	-14.47	0	-374.15	-99.07	0.0167	-0.003	0.0	1068	0.631	0.1971	0.2474	KILLED
0.80	1-MID-HOLD-DISQ	MHD_FLOW15_0.10ATR	15min against, >=0.10 ATR given up	5	572	670	557.88	-285.34	-240.72	-240.13	-45.21	0	-412.28	-70.37	-0.0348	-0.003	0.0	1068	0.705	0.1764	0.2195	KILLED
0.80	1-MID-HOLD-DISQ	MHD_FLOW15_0.05ATR	15min against, >=0.05 ATR given up	5	572	670	426.57	-416.65	-352.26	-365.12	-51.53	0	-615.74	-300.23	-0.0968	-0.003	0.0	1068	0.9373	0.1367	0.1717	KILLED
0.80	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B600	flow OR -$600	5	572	670	426.51	-416.72	-352.34	-362.82	-53.9	0	-615.08	-300.23	-0.0968	-0.003	0.0	1068	0.9373	0.1366	0.1716	KILLED
0.80	1-MID-HOLD-DISQ	MHD_ANY3	struct .10 OR flow OR -$600	5	572	670	425.79	-417.44	-352.94	-367.18	-50.25	0	-614.41	-300.23	-0.0983	-0.003	0.0	1068	0.9373	0.1363	0.1711	KILLED
0.80	1-MID-HOLD-DISQ	MHD_STRUCT10_OR_FLOW05	struct .10 OR flow	5	572	670	425.61	-417.61	-353.08	-360.51	-57.1	0	-614.89	-300.23	-0.0983	-0.003	0.0	1068	0.9373	0.1363	0.1711	KILLED
0.80	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B400	flow OR -$400	5	572	670	425.0	-418.22	-353.56	-365.4	-52.82	0	-619.32	-300.23	-0.0996	-0.003	0.0	1068	0.9373	0.1363	0.1712	KILLED
0.80	5-COMBINATION	CMB_FLOW05_TRAIL900_60	flow cut OR trail(+$900,60min)	5	572	670	423.58	-419.64	-354.71	-370.64	-49.0	0	-623.87	-296.75	-0.0982	-0.003	0.0	1068	0.9405	0.1359	0.171	KILLED
0.80	5-COMBINATION	CMB_ANY3_TRAIL900_60	any-3 disqualification OR trail(+$900,60)	5	572	670	422.79	-420.43	-355.39	-368.53	-51.9	0	-622.54	-296.75	-0.0997	-0.003	0.0	1068	0.9405	0.1356	0.1703	KILLED
0.80	5-COMBINATION	CMB_FLOW05_TRAIL600_60	flow cut OR trail(+$600,60min)	5	572	670	422.05	-421.17	-355.97	-353.78	-67.39	0	-625.18	-296.75	-0.0982	-0.003	0.0	1068	0.9405	0.1354	0.1702	KILLED
0.80	5-COMBINATION	CMB_FLOW_TRAIL_TIME	flow OR trail(+$600,60min) OR time(180,+$300)	5	572	670	419.76	-423.47	-357.85	-369.26	-54.2	0	-627.88	-293.98	-0.0966	-0.003	0.0	1068	0.945	0.1346	0.1692	KILLED
0.80	5-COMBINATION	CMB_FLOW05_TRAIL900_30	flow cut OR trail(+$900,30min)	5	572	670	416.68	-426.55	-360.59	-366.26	-60.29	0	-624.51	-291.43	-0.0982	-0.003	0.0	1068	0.9464	0.1333	0.1671	KILLED
0.80	5-COMBINATION	CMB_FLOW05_TRAIL600_30	flow cut OR trail(+$600,30min)	5	572	670	402.69	-440.53	-372.43	-383.43	-57.11	0	-648.84	-319.22	-0.0982	-0.003	0.0	1068	0.948	0.1292	0.1623	KILLED
0.80	1-MID-HOLD-DISQ	MHD_FLOW15_LOOSE	15min no new high + net down (LOOSE)	5	572	670	341.17	-502.05	-424.77	-511.02	8.97	0	-705.37	-333.79	-0.1155	-0.003	0.0	1068	0.9912	0.1083	0.1351	KILLED
0.85	1-MID-HOLD-DISQ	MHD_STRUCT_0.20ATR	reclaim level lost by 0.20 ATR	5	338	368	745.44	-0.7	-0.75	-79.64	78.94	1	-5.17	2.03	0.0	-0.0026	0.0	1738	0.0107	0.2433	0.2961	KILLED
0.85	1-MID-HOLD-DISQ	MHD_BELOW600_AND_FLOW05	-$600 AND flow (later of the two)	5	338	368	738.2	-7.95	-7.32	-70.97	63.02	1	-29.55	2.15	-0.0027	-0.0026	0.0	1738	0.019	0.2415	0.2942	KILLED
0.85	1-MID-HOLD-DISQ	MHD_BELOW600	sits below -$600	5	338	368	738.09	-8.06	-7.46	-80.06	72.0	1	-29.55	2.15	-0.0027	-0.0026	0.0	1738	0.019	0.2414	0.2941	KILLED
0.85	4-TIME-DECAY	TIME180_T150	at entry+180min below +$150 -> exit at market	5	338	368	724.12	-22.02	-20.52	-74.76	52.74	0	-37.28	0.0	-0.0085	0.0	0.0	1738	0.1127	0.2359	0.2865	KILLED
0.85	1-MID-HOLD-DISQ	MHD_BELOW400	sits below -$400	5	338	368	715.32	-30.82	-27.9	-82.57	51.74	1	-81.75	4.05	-0.016	-0.0026	0.0	1738	0.0403	0.2354	0.2882	KILLED
0.85	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B1200	half off at +$1200, remainder to phase close	5	338	368	711.47	-34.68	-31.69	-78.09	43.41	1	-65.15	55.63	0.0026	0.0	0.0	1738	0.3133	0.2329	0.2839	KILLED
0.85	4-TIME-DECAY	TIME180_T300	at entry+180min below +$300 -> exit at market	5	338	368	707.41	-38.74	-35.73	-82.8	44.07	0	-46.62	-11.37	0.0053	0.0	0.0	1738	0.2357	0.2303	0.2796	KILLED
0.85	1-MID-HOLD-DISQ	MHD_FLOW15_0.25ATR	15min against, >=0.25 ATR given up	5	338	368	705.21	-40.94	-37.65	-87.42	46.48	0	-89.37	0.0	-0.0111	-0.0026	0.0	1738	0.0894	0.2297	0.2792	KILLED
0.85	1-MID-HOLD-DISQ	MHD_STRUCT10_AND_FLOW05	struct .10 AND flow (later of the two)	5	338	368	703.62	-42.53	-39.56	-89.98	47.45	0	-67.35	-3.92	-0.036	-0.0026	0.0	1738	0.0686	0.2304	0.2808	KILLED
0.85	1-MID-HOLD-DISQ	MHD_STRUCT_0.10ATR	reclaim level lost by 0.10 ATR	5	338	368	703.29	-42.86	-39.89	-97.74	54.88	0	-65.95	-5.11	-0.036	-0.0026	0.0	1738	0.0686	0.2302	0.2805	KILLED
