# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE LEAK AUDIT'S OWN TABLE, CORRECTED.  Exact arithmetic; it printed n_sessions, so no replay is needed.
# WHAT THIS DOES NOT CHANGE: the audit's VERDICT.  DEPLOYED_CELL_ARGMAX fires in every session, so its level is uncorrected, and `delta_vs_deployed` was computed by `paired_delta`, which unions the session keys and zero-fills — the one denominator-safe construction that already existed in the engine.  The seating lookahead is voided by the deltas, and the deltas were always honest.
# WHAT IT DOES CHANGE: the causal arms' LEVELS.  CAUSAL_TAU_ORACLE was published as an UPPER BOUND on any threshold-shaped causal rule; on the honest denominator that bound is far lower than printed, because it was earned in 128-154 sessions of 385-390.
era	arm	n_firing_sessions	n_era_sessions	firing_rate	usd_per_session_AS_PUBLISHED	usd_per_session_ALL_CORRECTED	correction	usd_per_trade_AS_PUBLISHED	delta_vs_deployed_ALREADY_SAFE	status
E5	CAUSAL_TAU_PREV_ERA	126	387	0.3256	-65.92	-21.46	44.46	-48.86	-1142.83	ABSTAINING — the published level is conditional on trading
E5	CAUSAL_SECRETARY_BEST_K	386	387	0.9974	-23.57	-23.51	0.06	-8.94	-1144.87	ABSTAINING — the published level is conditional on trading
E5	DEPLOYED_MULTI_CELLS	387	387	1.0	1121.37	1121.37	0.0	373.79		unchanged (fires every session)
E6	DEPLOYED_CELL_ARGMAX	384	384	1.0	1066.87	1066.87	0.0	355.62	0.0	unchanged (fires every session)
E6	CAUSAL_FIRST_ARRIVAL	384	384	1.0	-46.91	-46.91	0.0	-15.68	-1113.78	unchanged (fires every session)
E6	CAUSAL_TAU_ORACLE	369	384	0.9609	139.68	134.22	-5.46	59.31	-932.64	ABSTAINING — the published level is conditional on trading
E6	CAUSAL_TAU_RATEMATCH	384	384	1.0	-46.88	-46.88	0.0	-15.65	-1113.74	unchanged (fires every session)
E6	CAUSAL_TAU_PREV_ERA	384	384	1.0	-46.91	-46.91	0.0	-15.68	-1113.78	unchanged (fires every session)
E6	CAUSAL_SECRETARY_BEST_K	261	384	0.6797	97.22	66.08	-31.14	69.52	-1000.79	ABSTAINING — the published level is conditional on trading
E6	DEPLOYED_MULTI_CELLS	384	384	1.0	1066.87	1066.87	0.0	355.62		unchanged (fires every session)
E7	DEPLOYED_CELL_ARGMAX	393	393	1.0	1644.26	1644.26	0.0	548.09	0.0	unchanged (fires every session)
E7	CAUSAL_FIRST_ARRIVAL	393	393	1.0	-227.91	-227.91	-0.0	-76.16	-1872.16	unchanged (fires every session)
E7	CAUSAL_TAU_ORACLE	393	393	1.0	3.37	3.37	0.0	1.13	-1640.88	unchanged (fires every session)
E7	CAUSAL_TAU_RATEMATCH	393	393	1.0	-248.05	-248.05	0.0	-82.82	-1892.31	unchanged (fires every session)
E7	CAUSAL_TAU_PREV_ERA	361	393	0.9186	-205.6	-188.86	16.74	-104.25	-1833.12	ABSTAINING — the published level is conditional on trading
E7	CAUSAL_SECRETARY_BEST_K	389	393	0.9898	-54.16	-53.61	0.55	-21.07	-1697.87	ABSTAINING — the published level is conditional on trading
E7	DEPLOYED_MULTI_CELLS	393	393	1.0	1644.26	1644.26	0.0	548.09		unchanged (fires every session)
