# P-M2c PATTERN LEDGER — opened by the E1 warm-up (READER_BRIEFING §2 / D-059.3)
# era_status vocabulary: ACTIVE | DORMANT | DEAD | REACTIVATED | MUTATED->id | HYPOTHESIS
# Every pattern names the EXACT sheet fields a strictly-causal detector would read (D-026/D-056:
# a pattern must be censusable before any feature is built from it).
# n_support / n_against count cases in the 24-case E1 warm-up draw AND the E1 study day-1
# day-complete set (2021-07-01, n=1039). Rows edited on day 1 carry [E1D1] in notes.
# era_status_E1 is the CURRENT status; the warm-up status is preserved in the notes when changed.
pattern_id	name	mechanism	class_scope	sheet_fields	era_status_E1	n_support	n_against	support_cids	notes
P011	A3_ASYMMETRY	Two-stream agreement at magnitude is a valid REFUSAL criterion when it fails and an invalid ENTRY criterion when it holds, because it describes the next ~30 minutes and the certificate is a multi-hour walled hold.	all	S5.sflow/min series ; S7.dBsz/min, dAsz/min ; S8.60s buy/sell_vol ; S13.exit_default horizon	ACTIVE (STRENGTHENED)	8	2	as SKIP trigger 3/3: SI-20210701-025274-L(+332.50) NKD-20210818-027352-L(-167.50) HG-20210929-034204-L(+232.50). As TAKE trigger 0/2: SI-20210701-052332-L(-930) SI-20210831-055292-L(-930)	Directly qualifies briefing item A3. Both failures were SI, both walled, one with mae_before_peak=$0.00. [E1D1] A3 not used as a standalone trigger on day 1; superseded in practice by P015's phase-horizon flow term, which is the same idea measured over the phase rather than over 30 minutes. [E1D2] P011 as a REFUSAL is the parent of P018 (T9), which sole-blocked 5 candidates on 2021-07-02 at mean -$422.50 with zero winners lost, after being validated on day 1. Its converse (as a TAKE trigger) remains 0-for-2. The pattern is confirmed in exactly the asymmetric form it claims.
P012	S5_BOOK_SNAPSHOT_INVERSION	S5's static bid_sz/ask_sz levels give a sign-inverted A4 read when the thin side is thin because it is being AGGRESSED, not because it is withdrawing. Only S7's rate fields and S8's through-book log disambiguate.	all	do NOT use S5.bid_sz/ask_sz alone ; use S7.dBsz/min vs dAsz/min and S8.through_book_600s direction	ACTIVE	1	0	SI-20210831-058078-L(-930; S5 ask_sz z=-2.02 read bullish, S8 showed 3 most recent through-prints all >B)	A sheet-reading law, not a market pattern. Directly amends briefing item A4.
P013	WALL_BINDS_ON_PORT	The $900 wall is the dominant loss mechanism on this port, not a tail; a candidate can go straight to a $900 peak with mae_before_peak=$0.00 and still be stopped out on the give-back.	all	S13.wall ; S13.exit_default horizon ; S9.rv1800 vs rv60 (a collapsed rv-ratio at the decision second marks a leg that is ENDING)	ACTIVE	9	0	9 of 24 hard stop-outs at exactly -(900+cost_rt): 5 NKD, 4 SI, 0 HG	Overturns briefing B5's IWM transfer (0.0% measured there). The rv1800/rv60 collapse is the candidate ex-ante marker and needs a census. [E1D1] ACTIVE but DEMOTED as a marker. As term T8 the rv1800/rv60>=8 collapse blocked only 129 candidates and 4 of them were D-021 winners; day-complete walled fractions are HG 0.479 / SI 0.509 / NKD 0.155, so the wall is real but its per-asset ordering from the warm-up is OVERTURNED (NKD is the LEAST walled asset here). [E1D2] NKD walled fraction 0.000 on 2021-07-02 (0.155 on 2021-07-01); SI 0.473, HG 0.202. The wall is a SILVER/COPPER fact in E1, not a port fact, and it binds hardest on the side the session is not going: 26 of the reader 33 takes stopped at exactly -$930 on a day whose longs averaged +$292. [E1D3] Walled fractions 2021-07-05: HG 0.196, SI 0.164, NKD 0.051 — third day running NKD is the least-walled asset. Day-3 wall-outs concentrate in ONE family: HG NY shorts needing ~$990 of NEW range (three at exactly -$930), while the in-range shorts of the same phase produced no wall at all. [E1D4] The wall took 36 of the reader's 44 takes (0.818) on 2021-07-06 while the day-complete walled fractions were SI 0.540, HG 0.446, NKD 0.362. The wall is not what selects the reader's losses — the SIDE is; the takes' median MAE was $81.25 and their median peak +$220. Separately, the day's one correctly-sided take survived an $843.75 excursion, $56.25 under the wall, and closed +$182.50 with a +$3,313.75 peak: the wall is a live parameter on winners of this port, contra briefing B5.
P014	CAPACITY_TO_BAR_Q50	The binding coverage row's `unspent` (exp_move_q50 minus range_so_far) was hypothesised to veto candidates whose remaining expected move cannot reach the $1,000 bar.	all	S3.COVERAGE unspent (phase row; session row when the exit is session close) ; S13 exit_default	DEAD	0	0	-	[E1D1] KILLED THE DAY IT WAS BORN, before unblinding, on a pure frequency argument: it fires on 323/338 HG and 301/310 NKD candidates (96%), and a flag that fires on 96% of the population cannot discriminate. exp_move_q50 is a MEDIAN, not a cap; winners live in its right tail by construction. Recorded so it is not re-invented.
P015	PHASE_FLOW_CONCORDANCE	A rollover or continuation entry requires the phase's CUMULATIVE order flow to be on the trade's side at magnitude. The phase-rollover geometry is direction-blind — it fires identically at a fresh phase low and a fresh phase high — so the direction must come from the flow. Scope-limited: NOT required for a level-first-test rejection, where the seller/buyer defending the level need not have been active all phase.	rollover / continuation entries (NOT level-first-test)	S8 phase sflow sign vs side ; |S8 phase sflow| / S8 phase vol >= 0.05 with phase vol >= 200 ; corroborated by S8 through_book_600s thru_bid vs thru_ask	CONTESTED (1-1)	10	41	concordant+taken: HG-20210701-052246-S(+1320) -054648-S(+1488.75) -054652-S(+1495) -055858-S(+1682.50) -055938-S(+1620) -055955-S(+1557.50) -055963-S(+1532.50) -055979-S(+1513.75) -055997-S(+1495) -056493-S(+1582.50); discordant refusal: HG-20210701-049049-L(-930 WALLED, geometry perfect); against (winners it blocked): SI-20210701-054388-S(+1632.50) -054467-S(+1607.50) -054512-S(+1557.50) -054557-S(+1507.50)	[E1D1] BORN on this day from HG-20210701-049049-L (think-aloud transcript committed at provenance/port_m2/thinkaloud/E1D1_HG-20210701-049049-L.md). The pool it blocked ALONE averaged -$229.48 over 24 candidates, so it is a net-positive filter; the 4 winners it blocked are all one SI seat, and the reader's committed scope exception (P006 first-test) recovered that seat by override. Scale-neutral by construction: the imbalance is a FRACTION of the phase's own volume, never a contract count (HG/SI/NKD multipliers differ 5x). [E1D2] FALSIFIED ON DAY 2 AS A DIRECTION SOURCE. The NY phase of 2021-07-02 straddled the 12:30Z Employment Situation; its cumulative sflow stayed SELL (a pre-release fossil) while the 5m/30m windows and price ran UP $2,525. The term sole-blocked a pool averaging +$120.81 with 3 D-021 winners and appears in the refusal set of 29 of the day 38 winners. The phase window is not a safe horizon when a scheduled release falls inside it. Repair candidate = P022. [E1D3] THE SEPARATOR IS FOUND AND IT IS NOT A COMPASS (ERA_NOTES §31). Conditioning on "a scheduled release falls inside this session" (S12 next_scheduled countdown vs S3 runway_to_sess_close) splits the two prior days perfectly and flips the sign exactly: no-release +$262/8.9% winners, release -$552/0.0%. 2021-07-05 is a no-release session, so the flag predicted the concordant regime — and the day produced 8 winners whose phase flow was 10-12% OPPOSED. Stays CONTESTED; the event flag is recorded as a censusable object, never as a term. [E1D4] The event flag says 2021-07-06 contains no scheduled release (next_scheduled CPI 7d away, event_in_session=0 on all 1,268 rows), i.e. the same class as days 1 and 3 — and the day's winners are flow-CONCORDANT continuation shorts, the day-1 sign. Two no-release sessions with concordant winners (07-01, 07-06) against one with opposed winners (07-05). The flag remains a fact about which patterns apply and not a compass; the concordant/opposed question is now the mirror-test question of ERA_NOTES §41.
P016	NY_SHORT_ROLLOVER_CONCORDANT	P001's successor. A NY-phase SHORT whose $1,000 bar lies largely INSIDE the phase range already, with the whole session's runway to a session-close exit, a live book, and the phase's cumulative flow selling. The slope/accel term of P001 is DROPPED (it is an artefact: at a fresh extreme the slope must point the wrong way) and the freshness window is widened (mid-leg continuation pays).	all classes; observed on REVERSAL-CONFIRMATION, NEWS-WINDOW, OPEN-DYNAMICS	S3 phase H/L vs S13 entry mid x mult -> range EXTENSION needed for $1000 <= ~$450 ; S3 runway to phase close >= 20000s with phase_close == session_close ; S8 60s n>=5 and vol>=10 ; S8 phase sflow sign == side with |sflow|/phase vol >= 0.05 ; S9 rv1800/rv60 < 8 ; NOT S5 mid_slope/accel	CENSUS-GRADED: CONCENTRATOR(feature)	10	32	the 10 8-term takes of E1D1 (mean +$1528.75, 7 D-021 winners, 0 walled, worst mae $306.25)	[E1D1] The day's principal product. Term-count monotonicity over 1039 candidates: 6 terms -> -$25.78/8.1% winners, 7 -> +$586.83/30.8%, 8 -> +$1528.75/70.0% against a 4.62% base rate. NEEDS AN ERA CENSUS one term at a time before any feature is built (D-026/D-056). Two of its parent rule's terms (T6 momentum, T7 freshness at 900s) are recorded in the ledger as REJECTED components: 17 candidates blocked by T6 alone averaged +$1438 with 8 winners. [E1D2] CC-M2-9.1: day-1 headline did NOT generalize (beta -$95, p=.07). Day 2 is the out-of-sample falsification in the reader own hands: the term-count ladder INVERTS (6 terms +$117.19/8.4% winners; 7 +$8.51/5.6%; 8 -$317.03/4.5%; 9 -$861.25/0.0%) and the 9-term pool of 32 candidates contains zero winners and 26 wall-outs. A conjunction of vetoes has no direction of its own.
P017	RANGE_EXTENSION_ARITHMETIC	The A1 capacity test in a form that needs no fvol: measure how many of the bar's dollars already live INSIDE the phase range (entry to the phase extreme on the trade's side), and how many require BRAND-NEW range. A bar that needs a large new extension is refused.	all	S3 phase H (SHORT) or L (LONG) ; S13 entry mid ; S13 mult ; room = (extreme - mid) * mult * side ; ext_needed = max(0, 1000 - room)	CONTESTED — REGIME-CONDITIONAL (see P021)	5	32	as term T3 it blocked a pool of 5 sole-blocked candidates averaging +$1217.50 with ZERO D-021 winners (positive but MAE-failing); it is the only A1 form available on SI-20210701, whose fvol row is REFUSED for all 391 sheets	[E1D1] Formalises warm-up #9's 'a target inside the existing range needs no extension' and #21's A1-strict converse. Degenerate in the first ~300s of a phase (the extreme is the entry) — the reader's rule guards it with a phase-age term. Its practical importance is that it survives an fvol refusal, which COVERAGE and ladder_position do not. [E1D2] THE DAY-2 INDICTMENT. The term measures room INSIDE the phase range on the trade side, so an entry AT a fresh extreme has zero room by construction: it refuses every continuation/breakout entry and accepts only trades pointed back across the range. It is a MEAN-REVERSION prior wearing a capacity filter clothes. On an EXPANDED day (S2 day_type_so_far, 112.1% of range_hat) it appears in the refusal set of 24 of 38 winners; SI-20210702-051810-L (ext_needed $512.5) paid +$1,707.50 and SI-20210702-052297-L (ext $537.5) paid +$1,682.50. [E1D3] The term split HG NY cleanly on 2021-07-05: ext_needed ~$990 -> -$380 and three -$930 wall-outs; ext_needed $0-350 -> five positives, no wall. But the day WINNERS (HG TOKYO longs) needed ext_needed $450-612 of NEW range. New-range longs won, new-range shorts walled, in-range shorts made small money, all on one session: the term is not measuring capacity, it is proxying which side of the session own trend the trade points. [E1D4] As term T6 (ext_needed <= $450) it passes only 21 of the day's 136 winners (their median ext_needed is $750 and their max $1,008) and it sole-blocked 9 rows worth +$1,075.56 with 3 winners. On a mature TREND session the in-range form is an anti-signal exactly as it was on 2021-07-02; the day-3 reading (in-range safe, new-range walled) does not generalise. Its threshold was chosen by the criterion ERA_NOTES §41 strikes. [E1D5] Not a term. On the day's 46 winners the median ext_needed is $900 (range $0-$1,000): a THIRD session in which the winners need most of the bar in brand-new range. The in-range form would have refused ~all of them. Its four-session record as a refusal is now 0-for-3.
P018	TWO_STREAM_OPPOSITION	Refuse when BOTH streams point against the trade at magnitude: the last minute of order flow is opposed at >=10% of its own volume AND the one-minute mid slope is opposed. One stream opposing is absorption (P007) and can be the entry; two streams agreeing against the trade is the market telling you the impulse is still running. P011 in the asymmetric form P011 itself claims.	all	S8 60s sflow and 60s vol (|sflow|/vol >= 0.10, vol >= 20) ; S5 mid_slope_$/min(T-1m) sign vs side (NOTE CC-M2-9.3: the S5 line prints sl_15, sl_5, sl_1 in that order)	ACTIVE	8	0	blocked on 2021-07-02: HG-20210702-052507-S(-67.50) HG-20210702-052509-S(-67.50) SI-20210702-052509-S(-930) HG-20210702-052549-S(-117.50) SI-20210702-054009-S(-930)	[E1D2] BORN on SI-20210702-052509-S (think-aloud transcript committed at provenance/port_m2/thinkaloud/E1D2_SI-20210702-052509-S.md). VALIDATED ON DAY-1 HISTORY BEFORE USE: the simpler "last-minute flow opposed" form would have refused HG-20210701-055858-S (+$1,682.50, day-1 joint best), where the price stream had already turned — so the CONJUNCTION is the pattern, not the flow term. On day 1 it blocks 146 of 1,039 (mean -$29.27 vs day -$8.01) and ZERO of that day 10 eight-term takes; on day 2 it sole-blocks 5 at mean -$422.50 with no winners lost. Cheap (four fields). NEEDS AN ERA CENSUS. [E1D5] Third session of support and the FIRST five-session measurement. As veto trigger V3 it sole-blocks 27 rows across the five study days at mean -$447.36 with ONE D-021 winner refused; on 2021-07-07 it sole-blocked 3 rows at +$111.67 with none. It is one of only two refusal objects (with the fuel-map overhang V2) that are net-positive on all five sessions. Founding case of the day: SI-20210707-059369-L (16:29:29, 60s sflow -290 on 2,230 = 13.0% with slope1m -$400/min, trades/min z=+25.75) — vetoed, and it closed +$307.50, so the veto COST money on this one row while the term stays positive in the pool. STILL NEEDS AN ERA CENSUS. [E1D6] WORST SESSION. As veto trigger V3 it sole-blocks 170 rows at mean -$104.15 with TEN D-021 winners refused, against a five-session record of 27 rows at -$447.36 with one. Six-session sole-block: 197 rows, 11 winners. It survives only because CC-M2-16.2 grades veto families on pooled counts; one more session like this and it is a P028-class object. Separately, on this day its replay delta was $0.00 — it never fired on a seat-spender (ERA_NOTES §67).
P019	ANTI_CHASE_STALE_EXTREME	A momentum term that fires only where momentum is interpretable. At a FRESH extreme the slope must point against the trade (it is measuring the spike into the extreme), so momentum says nothing; when the trade-side extreme is STALE and price is travelling back toward it faster than the current volatility, the entry is a chase into a level that is about to be re-made.	all	S3 phase H (SHORT) / L (LONG) age > 600s ; S5 mid_slope_$/min(T-1m) * side < -1.0 * S9 rv_nowcast w60	ACTIVE	1	0	SI-20210702-052340-S(-930, blocked)	[E1D2] Written as the REPAIR of day-1 T6 rather than its deletion (CC-M2-9.3 downgraded the day-1 T6 finding to unresolved because it was measured on a mislabeled field). Corrected-field re-test on day 1: the 1-minute slope is the only horizon that carries the sign (winner rate 7.1% signed-with vs 2.9% against, base 4.62%; 5-minute 4.4% vs 5.9%; 15-minute 3.3% vs 6.5%), and this term blocks 101 day-1 candidates at mean -$45.90 with a 4.0% winner rate. On day 2 it sole-blocks exactly one candidate, a -$930 wall-out. NEEDS AN ERA CENSUS.
P020	NY_PHASE_CONCENTRATION	D-021 winners concentrate in the NY phase. Two independent day-complete counts, opposite sides, same phase.	all	S1 phase_dec ; S14 winner_close — a GENERATION-SIDE fact, not a reader feature	CONTESTED — SUPERSEDED BY P025 (runway band)	86	8	48/48 NY on 2021-07-01 (all SHORT) and 38/38 NY on 2021-07-02 (all LONG)	[E1D2] What survives when day-1 §10 is split into its parts: the SIDE term is a session property (day 1 all shorts, day 2 all longs; day-2 longs mean +$292.15 vs shorts -$389.86) and must never be encoded; the PHASE term is 86-for-86. RECOMMENDED CENSUS: winner rate by (phase_dec, asset) over the whole era, and check it is not an artefact of where candidates are generated. [E1D3] STRUCK AS A PHASE FACT. All 8 D-021 winners of 2021-07-05 are HG TOKYO longs exiting at the 07:00 TOKYO phase close; three-session count 86 NY / 8 TOKYO of 94. The mechanism the phase was proxying is RUNWAY TO THE BINDING EXIT (a 03:03 TOKYO entry has 3h57m). Revised census: winner rate by (asset, runway-to-binding-exit band) with phase_dec as a CONTROL, not the variable. See P025. [E1D5] The phase is back — but as a CELL, not a label. 2021-07-07 produced winners in THREE distinct (asset, phase) cells with two different sides (NKD TOKYO longs, HG/SI LONDON longs, HG/SI NY shorts). Over five sessions no (asset, phase_dec) cell has ever contained winners on both sides, while two sessions now contain both sides. See ERA_NOTES §49: the census unit is the cell. [E1D6] The cell is confirmed as the unit and the PHASE is confirmed as not being the side: 2021-07-08 has SI/LONDON LONG (14 winners) alongside HG/LONDON (17) and NKD/LONDON (24) SHORT, in the same hour. Six sessions, 17 winner-bearing cells, none split within itself.
P021	REGIME_CONDITIONAL_CAPACITY	The A1 capacity family (P017 extension arithmetic, P014, COVERAGE/ladder) is a mean-reversion prior: it requires the bar to live inside the existing range, which is false by construction at a fresh extreme. The proposed repair is to condition it on the session regime — demand in-range capacity on INSIDE/AT_RANGE days and permit new-range targets on EXPANDED days.	all	S3 phase H/L, S13 entry mid + mult (ext_needed) x S2 day_type_so_far {INSIDE, AT_RANGE, EXPANDED} and % of range_hat ; corroborated by S9 surprise	HYPOTHESIS	0	1	-	[E1D2] Not tested — proposed from the day-2 failure (ERA_NOTES §21). The reader READ the regime fields on this day, wrote "S2 day_type is EXPANDED at 112.1% of range_hat with S9 surprise=0.993" into two pre-mortems as the reason the trade would fail, and did not encode them. HIGHEST-VALUE CENSUS the round has produced: winner rate and mean certificate by (ext_needed band x day_type). [E1D3] FIRST TEST, AND IT CUTS BOTH WAYS. 2021-07-05 was EXPANDED at 133.6% of range_hat: the in-range (mean-reversion) shorts were all positive and unwalled while the new-range shorts walled three times — the OPPOSITE of the proposed repair — yet the day 8 winners were themselves new-range longs. Day 2 expansion was in progress behind a scheduled release; day 3 had completed and reverted. day_type_so_far alone does not carry the conditioning. [E1D4] Second test, second failure of the day_type conditioning: 2021-07-06 ran at range_vs_hat 83.4% (AT_RANGE) at the winners' median and the winners needed NEW range; the reader's in-range term (P017/T6) refused 115 of 136 winners. day_type_so_far has now been on both sides of the capacity question twice. The regime input this needs is LEADING (CC-M2-11.2), not an intra-day accumulation.
P022	FLOW_HORIZON_DISAGREEMENT	A phase-length flow window that contains a scheduled release is a fossil: it describes the market before the repricing. When the phase window and the 30m/5m windows DISAGREE in sign, the shorter windows are the live market and the disagreement itself is the signal.	all	S8 sflow at 60s / 5m / 30m / phase (sign agreement) ; S12 last_scheduled event age ; S8 through_book_600s direction of the newest prints	HYPOTHESIS	0	1	-	[E1D2] Proposed repair of P015 after its day-2 falsification. The reader diagnosed exactly this at 14:35:09, in the committed think-aloud transcript ("the phase is two different markets glued together by an accident of clock boundaries, and the half that is trading right now is buying"), and then used it only as a veto (P018) instead of as the direction. Needs an sflow_30m column in the triage index (defect D10) before it can be triaged at scale. [E1D3] The horizon-disagreement repair is NOT supported as a compass: on 2021-07-02 every horizon (60s/5m/30m/phase) was anti-predictive, so choosing the shorter window does not recover the direction. What the day-3 tape adds is that the useful disagreement is between FLOW and PRICE (aggression at magnitude that fails to move the extreme) — which is P007, not a two-window comparison.
P023	ABSORPTION_TWO_STREAM_ENTRY	Aggressive flow OPPOSED to the trade at magnitude over the 5-minute window is fuel, not a warning: the opposed side is being absorbed by a passive parent order and the absorber wins. Built as a conjunction with a through-book side term; the side term is FALSIFIED (see P007) and the volume floor is mis-specified.	all	S8 5m sflow opposed with |sflow|/vol >= 5% ; 5m volume floor (ABSOLUTE >= 500 falsified on a holiday tape; RELATIVE >= 8% of phase volume admits the day-3 winners) ; S8 through_book_600s side (SIGN STRUCK) ; S8 60s n/vol live-book floor	HYPOTHESIS — DIRECTION FALSIFIED E1D4, MAGNITUDE FLOOR SURVIVES	68	44	day 1 n=23 mean +$620.50 win 56.5% (10 clusters); day 2 n=45 mean +$615.30 win 57.8% (9 clusters); day 3 ZERO fires and the day 8 winners sit just outside it on the volume floor (196-544 contracts = 8.1-9.9% of phase volume) and on the through-book sign	[E1D3] BORN on the two-day search that produced the day-3 rule (think-aloud provenance/port_m2/thinkaloud/E1D3_HG-20210705-055113-S.md). The strongest two-day object the round has produced — 13x the 4.4% base rate on both days, opposite session directions — and the third day shows exactly which two parameters were fitted rather than derived: the ABSOLUTE volume floor (chosen on replay dollars from two sessions; the method error is ERA_NOTES §33) and the through-book SIDE (which contradicts P007 sitting next to it). Census it in the repaired form: opposed 5m aggression at magnitude, a relative-OR-absolute volume floor, and a PRICE-FAILURE confirmation. [E1D4] The repaired form was the day-4 rule's core (opposed 5m aggression at magnitude, relative-OR-absolute volume floor, no through-book side term) and it produced 44 takes at mean -$754.01 with zero winners on a session whose winners were flow-CONCORDANT continuation shorts. The volume-floor repair itself is vindicated (T5 passes 107 of 136 winners); the ABSORPTION direction is not. Census it as a concentrator on magnitude, never as an entry side. [E1D6] The magnitude floor's ABSOLUTE clause was repaired per CC-M2-16.4 (v5 >= 200 OR v5 >= 8% of phase volume). Measured: the repair admits 545 rows the day-5 form refused, containing 46 of the day's 85 D-021 winners, at a mean certificate of -$21.54; inside the reader's take set, 39 takes at -$58.21 with 10 winners, and it is what created the NKD/NY seat that closed -$955.00. The floor is a CONCENTRATOR: it recovers winners and their losing neighbours in equal measure.
P024	REFAIL_REVERSION	On a session that has already overspent its expected range, a trade-side phase extreme that is the SECOND failed push at one price within minutes — made INTO a multi-family fvol confluence — is a give-back object: the $1,000 bar lives inside the range the phase has already traded and the wall sits beyond a high the day would have to re-expand to reach.	REVERSAL-CONFIRMATION, RECLAIM (observed on HG/NY)	S3 ZigZag chain: two same-type pivots <= ~5 min apart within ~1 tick ; S4 >= 2 fvol families at that price ; S2 day_type_so_far = EXPANDED with %range_hat >= 100 ; S3 room to the opposite phase extreme so ext_needed <= $450 ; S8 phase AND 5m sflow concordant >= 5% ; S7 dBsz/min vs dAsz/min side-resolved erosion	HYPOTHESIS — DIRECTION CONFIRMED, MAGNITUDE FAILED	5	6	day-3 takes HG-20210705-055113-S(+382.50, peak +776.25, mae $0) -055482-S(+220) -055488-S(+207.50) -056096-S(+145) -056106-S(+163.75), all unwalled with MAE <= $143.75; AGAINST: the same rule fires 0 times on 2021-07-01 and 6 times on 2021-07-02 with 5 at exactly -$930	[E1D3] The day-3 discretionary override, committed with its bad backtest on record BEFORE the unblinding. Verdict: the DIRECTION was right on all five (HG fell 4.3548 -> ~4.3395 into the close) and every entry sat inside the D-021 MAE acceptance, but the phase-close certificate came in at a third of the bar — S10 developing POC at $318.75 priced the move correctly and the thesis did not. A real object with the wrong exit; do not promote it to a rule; use it as the test case for the give-back question (ERA_NOTES §35).
P025	RUNWAY_TO_BINDING_EXIT	The winner concentration that two day-complete sessions attributed to the NY phase is a RUNWAY fact: the $1,000 bar needs hours between the decision second and the binding exit, and NY is usually — not always — the phase that has them. A 03:03 TOKYO entry with a 07:00 phase close has 3h57m and clears the bar.	all	S13 exit_default (phase_close vs session_close) ; S3 runway to that exit ; S1 phase_dec as a CONTROL, never the variable	STRENGTHENED (361/361 over SIX day-complete sessions)	276	0	2021-07-05: all 8 D-021 winners are HG TOKYO longs exiting at the 07:00 phase close (certs $1,001-$1,139); three-session count 86 NY / 8 TOKYO of 94	[E1D3] Replaces P020 as specified. It exists because CC-M2-10.3 seated scoring at PHASE close: under session-close-only scoring this day entire winner set is unpriceable. RECOMMENDED CENSUS: winner rate and mean certificate by (asset, runway-to-binding-exit band), with phase_dec as a control. [E1D4] 136 OF 136 WINNERS on 2021-07-06 (minimum winner runway 21,903s), after 94 of 94 on days 1-3 (minimum 13,146s): 230 winners over four day-complete sessions with ZERO exceptions, on two roster fields and no judgement. It is now the round's best-supported object and the first census to run (CC-M2-12.4). It has no mirror to fail (ERA_NOTES §41) because it is a SCHEDULING fact, not a direction fact. [E1D5] 46 OF 46 WINNERS on 2021-07-07 (minimum winner runway 19,653s) and ZERO winners in the 304 rows below 12,000s. Five day-complete sessions, 276 D-021 winners, zero exceptions. Every other term of the inherited core leaks winners on this session (live book 44/46, freshness 41/46, aggression 33/46, magnitude floor 23/46). It remains the round's only five-session object and the first census to run. [CENSUS BATCH 3, landed commit 0fa2738 after the E1D5 seal] VERDICT: WINNER CONCENTRATOR — winner rate 3.70x, conditional value 2.13x over 901,997 candidates, HOLM_NOT_SIGNIFICANT on the deployed-exit adoption metric. Same disposition as P001/P020: FEATURE CANDIDATE SET, never the entry rule set. The reader's 276/276 count is the concentration, not an edge, and the census says so. [E1D6] 85 OF 85 winners on 2021-07-08 (minimum winner runway 12,324s) and 0 winners in the 540 rows below 12,000s. SIX day-complete sessions, 361 D-021 winners, zero exceptions. It is the only term of the core that leaks no winner on this session (T5 repaired 74/85, T1 72/85, T4 62/85, T3 59/85). The census verdict (CONCENTRATOR 3.70x, HOLM_NOT_SIGNIFICANT) is unchanged by the count.
P026	CONTINUOUS_TAPE	A certificate is a multi-hour HOLD, so the tape that carries it must be trading continuously rather than gapping: when the last half hour's realized variance is mostly JUMP variance ((RV-BV)/RV high), the move is given back between the jumps and the phase-close certificate keeps a fraction of its peak.	all	S9 bipower_1800s jump_frac (= (RV-BV)/RV over 1800s, causal) ; S14 cert_close/cert_peak keep ratio	DEAD — falsified on its first out-of-sample session (E1D4)	87	46	days 1-3 pooled: 87 of 94 winners below 0.45 and 0 of 94 above 0.55 (n=1464); keep 0.41-0.50 below 0.45 vs 0.20-0.27 above 0.55 on 1,052 rows with peak >= $600	[E1D4] BORN as term T7 of e1d4_policy.py and KILLED the same day, on a test pre-registered before the seal (the flip-threshold note on SI-20210706-052118-S said in writing: if the rows T7 refuses are the day's winners, P026 is value-destroying and the ledger says so). On 2021-07-06 T7 sole-blocked 11 rows worth mean +$2,148.98 with 5 D-021 winners and a 9% walled fraction — the most expensive refusal of the round — and the mechanism did not reproduce: keep is flat at 0.06-0.12 across every jump_frac band, 46 of 136 winners sit above 0.45, and the lowest band (<0.30) is the day's worst pool at -$309.76. Recorded so it is not re-invented, and as the receipt for ERA_NOTES §41's method law: the 3-day relationship was selected on the days, not on a mirror test. The GIVE-BACK question it was built to answer is re-opened (ERA_NOTES §39.5/§42). [E1D5] Stays DEAD; jump_frac was read on 6 deep reads for the record only and gated nothing.
