# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE REPO-WIDE INDEX OF THE FIRING-SESSION DIVISOR.  `newobj.replay_delayed` emits a row only for sessions that traded and `read_rows` averages over exactly those, so every $/session figure for an ABSTAINING arm is conditional on trading.  74 of the 77 `read_rows` call sites in /workspace/engine feed it an unpadded replay; the three that do not are this file's own.
# THE ONE THING THAT MAKES THIS TRACTABLE: everything outside the arrival lane is ALREADY void for deployment on the seating defect, so its dollars were never claimable and the divisor is a second independent void rather than a number to repair.  The load-bearing set is small and is corrected in PROPHET_DENOMINATOR_CORRECTION.tsv, DENOMINATOR_AUDIT_CAUSAL_BASELINE.tsv and the TRUE_* tables.
# THE WORST SINGLE SITE IS harvest.py:439 (`stage_abstain`), which SWEEPS TAU TO MAXIMISE `read_rows(...)['usd_per_session']` on the inner block — the selection objective IS the conditional mean, so that search is biased toward whichever arm abstains most.
# TWO CORRECTIONS TO WHAT THIS PROGRAM BELIEVED.  (a) LEAK_SEATING.tsv's causal arms DO carry the divisor — CAUSAL_TAU_ORACLE reads n_sessions 154/128/126 against a DEPLOYED_CELL_ARGMAX at 390/385/387 in the same column.  Only its `delta_vs_deployed` column is denominator-safe, via `leak_seating.paired_delta`, which unions the session keys and zero-fills.  (b) `newobj.paired_sessions` INTERSECTS the two session sets, so any paired delta between an abstaining arm and a full arm was computed only over sessions both of them traded.
# THE BAR ITSELF IS SOUND, AND THAT IS NOW VERIFIED RATHER THAN ASSERTED.  The causal oracle (E5 $2,021 / E6 $2,675 / E7 $3,360) has NO WRITER ANYWHERE IN /workspace/engine — it exists only as prose in LEAK_AUDIT.md and as a hardcoded dict in `arrival.CAUSAL_ORACLE`, which is a provenance gap in the one number every capture ratio divides by.  It is confirmed here INDEPENDENTLY: the prophet TAU sweep on the honest all-session denominator returns $2,005.87 / $2,656.24 / $3,363.45, matching to 0.8% / 0.7% / 0.1%.  Two separately-computed quantities, one of them denominator-verified, agreeing to within 1% is strong evidence the audit's 'denominator held fixed' claim was true.  The prophet TAU sweep is now the reproducible writer for it.
table	class	n_per_session_columns	per_session_columns	session_count_columns	verdict
DEFICIT_CONTRACT.tsv	AFFECTED_ALREADY_VOID	4	exit_gain_usd_per_session;exit_oracle_bound_usd_per_session;risk_gain_usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
DEFICIT_FIXLIST.tsv	AFFECTED_ALREADY_VOID	3	usd_per_session;standalone_usd_per_session;top_cell_usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
DEFICIT_LEDGER.tsv	AFFECTED_ALREADY_VOID	1	usd_to_bar_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
DELAY_SELECTION.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
DENOMINATOR_AUDIT_CAUSAL_BASELINE.tsv	FIXED	3	usd_per_session_AS_PUBLISHED;seats_per_session_AS_PUBLISHED;usd_per_session_ALL_CORRECTED	n_firing_sessions	written by this audit with all-session denominators
EXITS_ON_ARMORED_BOOK.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
EXIT_CENSUS2_AUTOPSY.tsv	AFFECTED_ALREADY_VOID	1	delta_usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
EXIT_CENSUS2_COMBINED.tsv	AFFECTED_ALREADY_VOID	4	entries_only_usd_per_session;exit_delta_usd_per_session;combined_usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
EXIT_CENSUS2_RANKED.tsv	AFFECTED_ALREADY_VOID	2	pooled_usd_per_session;pooled_d_usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
EXIT_CENSUS2_RISK.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
EXIT_CENSUS2_RULES.tsv	AFFECTED_ALREADY_VOID	3	usd_per_session;d_usd_per_session;d_usd_per_session_displaced	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
FILL_ENTRY.tsv	AFFECTED_ALREADY_VOID	1	excess_rt_per_session_usd		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
FILL_WALL.tsv	AFFECTED_ALREADY_VOID	1	wall_excess_per_session_usd		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
FOLDED_STACK.tsv	AFFECTED_ALREADY_VOID	2	raw_mean;armed_mean		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
GOALPATH_CLASSMIX.tsv	AFFECTED_ALREADY_VOID	3	fires_per_session;sel_per_session;usd_per_session_at_selection		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
GOALPATH_CONT_ECON.tsv	AFFECTED_ALREADY_VOID	1	trades_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
GOALPATH_CONT_REPLAY.tsv	AFFECTED_ALREADY_VOID	2	seats_per_session;usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
GOALPATH_SEAT_ALLOCATION.tsv	AFFECTED_ALREADY_VOID	3	seats_per_session;usd_per_session;status_quo_usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
GOALPATH_STACKED.tsv	AFFECTED_ALREADY_VOID	2	seats_per_session;usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
HARVEST_ABSTAIN.tsv	AFFECTED_ALREADY_VOID	2	no_veto_usd;abstain_usd		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
HORIZON_ALIGNMENT.tsv	SAFE	3	armed_mean;raw_mean;seats_per_session	n_sessions	n_sessions is held FIXED WITHIN each day_set across the horizons being compared (393/393/393, 116/116/116, 34/34/34), so the phase>next>session ordering the exit axis rests on is a clean comparison; the LEVELS still carry the day-set denominator
HORIZON_SHORT.tsv	SAFE	4	armed_mean;raw_mean;seats_per_session	n_sessions	n_sessions is the full era (393) and seats_per_session is 3.0 — a non-abstaining arm, so the correction is identically zero
KNOB_HONESTY.tsv	FIXED	1	usd_per_session_ALL	n_era_sessions	written by this audit with all-session denominators
LEAK_SEATING.tsv	AFFECTED_LOAD_BEARING	1	usd_per_session	n_sessions	post-respecification and STILL LOAD-BEARING — correctable from the file (carries n_sessions)
LEAK_SEATING_MECHANISM.tsv	AFFECTED_LOAD_BEARING	1	usd_per_session		post-respecification and STILL LOAD-BEARING — NOT correctable from the file: no session count was ever printed; needs a replay
M33_FAILED_AUCTION.tsv	AFFECTED_ALREADY_VOID	1	events_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
NEWOBJ_CEILINGS.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
NEWOBJ_CEILING_DELTAS.tsv	AFFECTED_ALREADY_VOID	1	delta_usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
NEWOBJ_TABPFN_E3FULL.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
NEWOBJ_TABPFN_E3FULL_SENSITIVITY.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
POLICY_REVALIDATION.tsv	AFFECTED_ALREADY_VOID	2	raw_mean;armed_mean		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
PRECISION_FRONTIER_AGREEMENT.tsv	AFFECTED_ALREADY_VOID	2	usd_per_session_all;usd_per_session_traded		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
PRECISION_FRONTIER_DAYGATE.tsv	SAFE	2	usd_per_session_all;usd_per_session_traded	n_sessions_qualified	precision_frontier.py:520-531 already prints usd_per_session_all (era denominator) BESIDE usd_per_session_traded — the only place in the program that had this right before today
PRECISION_FRONTIER_THRESHOLD.tsv	AFFECTED_ALREADY_VOID	2	usd_per_session_all;usd_per_session_traded		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
PRECISION_FRONTIER_VERDICT.tsv	AFFECTED_ALREADY_VOID	2	usd_per_session_all;usd_per_session_traded		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
PROPHET_DENOMINATOR_CORRECTION.tsv	FIXED	1	usd_per_session_ALL_CORRECTED	n_firing_sessions;n_era_sessions	written by this audit with all-session denominators
RANKING_ATLAS_BLIND.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RANKING_ATLAS_CONFIRM.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RANKING_ATLAS_POLICIES.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RANKING_ATLAS_SCREEN.tsv	AFFECTED_ALREADY_VOID	1	inner_usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RESERVE_CEILINGS_N1_N2.tsv	SAFE	1	usd_per_session	n_sessions	reserve_ceilings.py:95-135 increments n_sess once per asset-session while enumerating the era, independent of any policy
RISK_PANEL_CHAMPION.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RISK_PANEL_CHAMPION_ENSEMBLE.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RISK_PANEL_CURRICULUM_BAGGED.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RISK_PANEL_CURRICULUM_STACKED.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RISK_PANEL_CURRICULUM_WDIVERSE.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RISK_PANEL_SMOKE.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RISK_PANEL_STACKED_FINAL.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
RISK_PANEL_STACKED_STOP.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST2_ARMS.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST2_CHAMPION.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST2_PAIRED.tsv	AFFECTED_ALREADY_VOID	1	delta_usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST2_TRANSFER.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ARMS.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_CAPACITY.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_CONTROL.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ENGINES.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ENGINES_SENSITIVITY.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_BASELINE.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_CHAMPION_FINAL.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_F1_NDCG1.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_F2_POLSEL.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_F2_SHUF.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_FM_TABFM_W.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_FM_TABPFN_D.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_FM_TABPFN_W.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_F_CATB.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_G_LGBM.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_H_TOP1.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_META_GATE.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_ERATABLE_STK_TABPFN.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session	n_sessions	PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_FINAL1.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_FINAL1_SENSITIVITY.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_FM_TABFM_W.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_FM_TABFM_W_SENSITIVITY.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_FM_TABPFN_D.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
SEQTEST_FM_TABPFN_DTS.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
