# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PROP CONSTRAINTS CHECKED IN EVERY ROW: <=10 trades/day across the three books (cap_flag), >=$667/trade (trade_target), >=$2000/day/asset (day_target).  NO EXIT IS TOUCHED -- the contract remains ride-to-phase-close with the $900 wall, so no quick exit or microscalp is expressible by construction.
# FIX 1: across the stacked arm's members, each picks a top-1 per cell; the cell is taken only when at least `knob` of them agree on the SAME candidate.  Members disagree most on coin-flips, so agreement is a confidence interval built from the ensemble rather than from the score's magnitude -- which is the quantity that inverted.
era	arm	knob	n_seated	takes_per_session	trades_per_day_3books	win_rate	usd_per_trade	usd_per_session	usd_per_traded_day	weekly_pnl_p10	frac_sessions_dd_over_1000	cap_flag	trade_target	day_target
E4	AGREEMENT	0.4	632	1.81	14.7	0.7737	500.68	906.67	906.67	6823.13	0.0115	OVER_DAY_CAP		
E4	AGREEMENT	0.5	436	1.47	10.46	0.8028	535.48	786.09	786.09	4773.75	0.0	OVER_DAY_CAP		
E4	AGREEMENT	0.6	342	1.3	8.41	0.8216	536.41	697.54	697.54	3555.0	0.0			
E4	AGREEMENT	0.7	214	1.15	6.0	0.8318	562.29	646.94	646.94	1975.63	0.0			
E4	AGREEMENT	0.8	148	1.1	5.1	0.8176	565.73	624.84	624.84	1194.38	0.0			
E5	RAW		1161	3.0	27.0	0.7261	356.61	1069.82	1069.82	9013.13	0.0181	OVER_DAY_CAP		
E5	AGREEMENT	0.0	1161	3.0	27.0	0.7261	356.61	1069.82	1069.82	9013.13	0.0181	OVER_DAY_CAP		
E5	AGREEMENT	0.3	865	2.26	20.12	0.8081	451.72	1020.2	1020.2	9996.87	0.0	OVER_DAY_CAP		
E5	AGREEMENT	0.4	807	2.12	18.77	0.8278	482.43	1024.53	1024.53	10176.87	0.0	OVER_DAY_CAP		
E5	AGREEMENT	0.5	658	1.82	15.3	0.8541	506.13	922.53	922.53	8741.25	0.0	OVER_DAY_CAP		
E5	AGREEMENT	0.6	538	1.63	12.61	0.8736	513.75	835.04	835.04	7349.37	0.0	OVER_DAY_CAP		
E5	AGREEMENT	0.7	362	1.32	8.62	0.9006	553.6	728.74	728.74	4835.63	0.0			
E5	AGREEMENT	0.8	216	1.19	5.84	0.912	588.87	702.73	702.73	2475.63	0.0			
E6	RAW		1152	3.0	27.0	0.6207	312.61	937.83	937.83	6984.37	0.1458	OVER_DAY_CAP		
E6	AGREEMENT	0.0	1152	3.0	27.0	0.6207	312.61	937.83	937.83	6984.37	0.1458	OVER_DAY_CAP		
E6	AGREEMENT	0.3	493	1.6	11.74	0.7444	452.47	721.9	721.9	3459.38	0.0194	OVER_DAY_CAP		
E6	AGREEMENT	0.4	353	1.36	8.47	0.7649	459.11	623.33	623.33	2486.25	0.0077			
E6	AGREEMENT	0.5	196	1.21	5.6	0.8112	522.2	631.8	631.8	1355.63	0.0062			
E6	AGREEMENT	0.6	130	1.13	4.76	0.8077	546.68	617.99	617.99	941.25	0.0087			
E6	AGREEMENT	0.7	49	1.07	3.77	0.8571	515.79	549.43	549.43	-21.75	0.0			
E6	AGREEMENT	0.8	24	1.0	3.6	0.8333	602.81	602.81	602.81	-161.25	0.0			
E7	RAW		1179	3.0	27.0	0.7125	509.32	1527.97	1527.97	9163.75	0.1323	OVER_DAY_CAP		
E7	AGREEMENT	0.0	1179	3.0	27.0	0.7125	509.32	1527.97	1527.97	9163.75	0.1323	OVER_DAY_CAP		
E7	AGREEMENT	0.3	792	2.07	18.14	0.8346	738.91	1531.98	1531.98	13942.5	0.0105	OVER_DAY_CAP	TRADE_OK	
E7	AGREEMENT	0.4	728	1.94	16.67	0.8462	753.16	1458.25	1458.25	13113.5	0.0106	OVER_DAY_CAP	TRADE_OK	
E7	AGREEMENT	0.5	596	1.7	13.86	0.8758	825.61	1405.9	1405.9	11591.5	0.0057	OVER_DAY_CAP	TRADE_OK	
E7	AGREEMENT	0.6	502	1.55	11.77	0.8785	835.74	1294.88	1294.88	8378.5	0.0031	OVER_DAY_CAP	TRADE_OK	
E7	AGREEMENT	0.7	352	1.38	8.52	0.892	909.03	1249.91	1249.91	6751.75	0.0039		TRADE_OK	
E7	AGREEMENT	0.8	253	1.23	6.78	0.9091	956.34	1174.53	1174.53	4591.75	0.0		TRADE_OK	
