# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE DENOMINATOR IS FIXED HERE TOO: usd_per_session_ALL counts every session in the era, a non-trading session contributing $0.  usd_per_FIRING_session is the incumbent's quantity and is what produced the $1,261.25 headline out of 1.8 trades.
# THE SECRETARY FAMILY WAS NOT CAUSAL.  `arrival.seats_secretary` sets its observation window to k = round(frac * m) where m is the cell's EVENTUAL arrival count — a quantity the arrival second cannot know.  Rows marked LOOKAHEAD_m are the incumbent form and are VOID FOR DEPLOYMENT for the same reason `top_per_cell_score` was.  Every headline number the program has printed since the respecification is one of those rows.
# SECTIME_f is the causal replacement on the PHASE CLOCK: observe until t_first_arrival + f x (phase_close - t_first_arrival), both known at the first arrival (the phase close is a schedule fact).
# SECNHAT_f is the causal replacement on a COUNT: observe the first round(f x n_hat) arrivals, n_hat = the TRAINING BLOCK's mean cell size for that (asset, phase).
# SECDECL_f_p is the HYBRID the seated-vs-selected diagnosis asked for: causal-clock observation, then a bar that starts at the running max and falls linearly in phase time to the p-quantile of what has been observed.  SECRETARY x OCCUPANCY.
# top5_trade_share_of_pnl is the CONCENTRATION CHECK: the share of an arm's whole realised P&L carried by its five best trades.  A policy seating ~1 position per session over ~390 sessions whose top five trades carry most of the money is a lottery ticket, not an edge, whatever its mean reads.
# PROPHET rows are the same rules driven by the candidate's TRUE certificate — the rule-shape ceiling, HINDSIGHT, never deployable.
mode	era	criterion	target	policy	causality	usd_per_session_ALL	sd_usd	usd_per_FIRING_session	n_firing_sessions	n_era_sessions	n_trades_total	usd_per_trade	top5_trade_share_of_pnl	shuffled_null	causal_oracle	capture_of_causal_oracle	aim_08causal	gap_to_aim
eval	E5	BINDING	A_EV	SECDECL_0.7_0.9	causal	-23.97	20.14	-27.5	338.8	387	496.6	-18.65	0.14	-40.85	2021.0	-0.0119	1616.8	-1640.77
eval	E5	BINDING	A_EV	SECNHAT_0.1	causal	-49.67	41.46	-49.87	385.2	387	739.0	-25.96	0.08	-31.13	2021.0	-0.0246	1616.8	-1666.47
eval	E5	BINDING	A_EV	SECNHAT_0.25	causal	-12.9	27.77	-13.17	375.2	387	662.6	-7.6	0.089	-56.68	2021.0	-0.0064	1616.8	-1629.7
eval	E5	BINDING	A_EV	SECNHAT_0.5	causal	-29.18	12.56	-34.04	332.6	387	491.8	-22.94	0.124	-24.83	2021.0	-0.0144	1616.8	-1645.98
eval	E5	BINDING	A_EV	SECNHAT_0.6	causal	-3.7	16.07	-4.92	295.0	387	408.4	-3.21	0.16	-36.49	2021.0	-0.0018	1616.8	-1620.5
eval	E5	BINDING	A_EV	SECNHAT_0.7	causal	3.26	18.13	4.94	251.6	387	329.6	4.42	0.196	-18.1	2021.0	0.0016	1616.8	-1613.54
eval	E5	BINDING	A_EV	SECNHAT_0.8	causal	-13.38	8.45	-24.11	210.2	387	254.8	-19.9	0.241	-20.57	2021.0	-0.0066	1616.8	-1630.18
eval	E5	BINDING	A_EV	SECRETARY_0.1	LOOKAHEAD_m	-33.37	48.39	-33.42	386.2	387	772.2	-16.75	0.072	-52.78	2021.0	-0.0165	1616.8	-1650.17
eval	E5	BINDING	A_EV	SECRETARY_0.25	LOOKAHEAD_m	5.14	26.42	5.37	381.0	387	711.8	2.8	0.084	-73.86	2021.0	0.0025	1616.8	-1611.66
eval	E5	BINDING	A_EV	SECRETARY_0.5	LOOKAHEAD_m	-10.3	13.49	-11.25	355.8	387	559.8	-7.04	0.116	-52.9	2021.0	-0.0051	1616.8	-1627.1
eval	E5	BINDING	A_EV	SECRETARY_0.6	LOOKAHEAD_m	-28.92	10.33	-32.68	342.2	387	501.4	-22.14	0.125	-25.96	2021.0	-0.0143	1616.8	-1645.72
eval	E5	BINDING	A_EV	SECRETARY_0.7	LOOKAHEAD_m	-37.11	11.1	-45.75	313.2	387	430.6	-33.11	0.144	-18.7	2021.0	-0.0184	1616.8	-1653.91
eval	E5	BINDING	A_EV	SECRETARY_0.8	LOOKAHEAD_m	-24.09	13.86	-33.42	275.8	387	352.0	-26.03	0.167	-18.64	2021.0	-0.0119	1616.8	-1640.89
eval	E5	BINDING	A_EV	SECTIME_0.1	causal	-41.25	11.03	-41.28	386.6	387	758.2	-21.03	0.081	-56.63	2021.0	-0.0204	1616.8	-1658.05
eval	E5	BINDING	A_EV	SECTIME_0.25	causal	-33.61	23.0	-34.22	378.6	387	661.8	-19.54	0.08	-49.0	2021.0	-0.0166	1616.8	-1650.41
eval	E5	BINDING	A_EV	SECTIME_0.5	causal	-25.9	14.07	-30.59	328.4	387	460.0	-21.51	0.124	-31.11	2021.0	-0.0128	1616.8	-1642.7
eval	E5	BINDING	A_EV	SECTIME_0.6	causal	-13.97	12.42	-18.08	301.0	387	397.6	-13.68	0.149	-26.13	2021.0	-0.0069	1616.8	-1630.77
eval	E5	BINDING	A_EV	SECTIME_0.7	causal	-10.85	13.86	-15.86	271.6	387	340.8	-12.45	0.19	-13.53	2021.0	-0.0054	1616.8	-1627.65
eval	E5	BINDING	A_EV	SECTIME_0.8	causal	-11.12	7.85	-18.68	234.0	387	280.8	-15.42	0.201	-2.05	2021.0	-0.0055	1616.8	-1627.92
eval	E5	BINDING	A_EV	SECTIME_RE_0.1	causal	-41.52	10.89	-41.56	386.6	387	760.2	-21.13	0.081	-70.84	2021.0	-0.0205	1616.8	-1658.32
eval	E5	BINDING	A_EV	SECTIME_RE_0.25	causal	-33.66	23.03	-34.27	378.6	387	664.0	-19.53	0.08	-38.66	2021.0	-0.0167	1616.8	-1650.46
eval	E5	BINDING	A_EV	SECTIME_RE_0.5	causal	-26.02	14.05	-30.74	328.4	387	462.8	-21.5	0.124	-29.72	2021.0	-0.0129	1616.8	-1642.82
eval	E5	BINDING	A_EV	SECTIME_RE_0.6	causal	-14.13	12.46	-18.28	301.0	387	399.8	-13.77	0.149	-20.79	2021.0	-0.007	1616.8	-1630.93
eval	E5	BINDING	A_EV	SECTIME_RE_0.7	causal	-11.0	13.89	-16.07	271.6	387	343.0	-12.56	0.19	-4.49	2021.0	-0.0054	1616.8	-1627.8
eval	E5	BINDING	A_EV	SECTIME_RE_0.8	causal	-11.28	7.72	-18.94	234.0	387	281.8	-15.61	0.201	-5.7	2021.0	-0.0056	1616.8	-1628.08
eval	E5	BINDING	A_PBAR	OCCUPANCY_0.5	causal	-50.72	13.46	-51.14	383.8	387	461.4	-42.6	0.148	-28.63	2021.0	-0.0251	1616.8	-1667.52
eval	E5	BINDING	A_PBAR	OCCUPANCY_1	causal	-33.77	41.46	-33.8	386.4	387	487.4	-26.85	0.13	-75.13	2021.0	-0.0167	1616.8	-1650.57
eval	E5	BINDING	A_PBAR	OCCUPANCY_2	causal	-61.9	15.67	-61.94	386.8	387	498.0	-48.21	0.107	-49.61	2021.0	-0.0306	1616.8	-1678.7
eval	E5	BINDING	A_PBAR	SECDECL_0.25_0.5	causal	-1.09	21.83	-1.1	379.6	387	639.2	-0.74	0.126	-32.93	2021.0	-0.0005	1616.8	-1617.89
eval	E5	BINDING	A_PBAR	SECDECL_0.25_0.75	causal	41.12	32.12	56.18	278.4	387	346.8	45.01	0.168	-48.04	2021.0	0.0203	1616.8	-1575.68
eval	E5	BINDING	A_PBAR	SECDECL_0.25_0.9	causal	17.47	29.14	36.55	191.6	387	214.8	32.0	0.224	-76.99	2021.0	0.0086	1616.8	-1599.33
eval	E5	BINDING	A_PBAR	SECDECL_0.5_0.5	causal	-31.29	10.18	-37.07	326.8	387	456.0	-26.64	0.166	-60.89	2021.0	-0.0155	1616.8	-1648.09
eval	E5	BINDING	A_PBAR	SECDECL_0.5_0.75	causal	3.5	6.88	22.15	76.0	387	79.4	21.77	0.52	-70.78	2021.0	0.0017	1616.8	-1613.3
eval	E5	BINDING	A_PBAR	SECDECL_0.5_0.9	causal	3.77	7.47	97.43	19.2	387	19.2	97.43	0.888	-43.87	2021.0	0.0019	1616.8	-1613.03
eval	E5	BINDING	A_PBAR	SECDECL_0.6_0.5	causal	-21.44	9.26	-27.27	304.4	387	414.0	-20.17	0.198	-63.62	2021.0	-0.0106	1616.8	-1638.24
eval	E5	BINDING	A_PBAR	SECDECL_0.6_0.75	causal	-4.81	8.27	-26.45	56.8	387	57.6	-25.6	0.685	-38.1	2021.0	-0.0024	1616.8	-1621.61
eval	E5	BINDING	A_PBAR	SECDECL_0.6_0.9	causal	1.47	5.2	55.23	9.6	387	9.6	55.23	0.928	-66.7	2021.0	0.0007	1616.8	-1615.33
eval	E5	BINDING	A_PBAR	SECDECL_0.7_0.5	causal	-25.4	3.69	-35.1	280.4	387	360.8	-27.34	0.234	-66.79	2021.0	-0.0126	1616.8	-1642.2
eval	E5	BINDING	A_PBAR	SECDECL_0.7_0.75	causal	-2.67	4.94	-26.68	43.4	387	43.6	-26.48	0.781	-45.3	2021.0	-0.0013	1616.8	-1619.47
eval	E5	BINDING	A_PBAR	SECDECL_0.7_0.9	causal	-1.07	3.85	-146.33	4.6	387	4.6	-146.33	-22.982	-38.71	2021.0	-0.0005	1616.8	-1617.87
eval	E5	BINDING	A_PBAR	SECNHAT_0.1	causal	-27.83	15.67	-55.59	199.2	387	231.2	-48.41	0.167	-34.0	2021.0	-0.0138	1616.8	-1644.63
eval	E5	BINDING	A_PBAR	SECNHAT_0.25	causal	-16.3	7.48	-90.27	69.6	387	72.6	-86.29	0.448	-46.66	2021.0	-0.0081	1616.8	-1633.1
eval	E5	BINDING	A_PBAR	SECNHAT_0.5	causal	-4.39	4.88	-131.51	12.4	387	12.6	-132.27	0.948	-16.38	2021.0	-0.0022	1616.8	-1621.19
eval	E5	BINDING	A_PBAR	SECNHAT_0.6	causal	-1.83	0.96	-126.13	5.8	387	5.8	-126.13	-0.284	-20.84	2021.0	-0.0009	1616.8	-1618.63
eval	E5	BINDING	A_PBAR	SECNHAT_0.7	causal	-0.75	1.5	-114.27	2.6	387	2.6	-114.27	-0.092	-1.57	2021.0	-0.0004	1616.8	-1617.55
eval	E5	BINDING	A_PBAR	SECNHAT_0.8	causal	-0.12	1.37	-99.69	2.2	387	2.2	-99.69	0.422	-10.29	2021.0	-0.0001	1616.8	-1616.92
eval	E5	BINDING	A_PBAR	SECRETARY_0.1	LOOKAHEAD_m	-26.12	21.66	-48.94	209.6	387	247.2	-41.82	0.174	-61.78	2021.0	-0.0129	1616.8	-1642.92
eval	E5	BINDING	A_PBAR	SECRETARY_0.25	LOOKAHEAD_m	-22.4	6.49	-130.44	69.0	387	72.0	-125.68	0.419	-64.76	2021.0	-0.0111	1616.8	-1639.2
eval	E5	BINDING	A_PBAR	SECRETARY_0.5	LOOKAHEAD_m	-0.13	2.58	1.3	8.0	387	8.0	1.3	0.858	-29.21	2021.0	-0.0001	1616.8	-1616.93
eval	E5	BINDING	A_PBAR	SECRETARY_0.6	LOOKAHEAD_m	-0.17	1.74	70.38	2.0	387	2.0	87.97	-0.675	-21.93	2021.0	-0.0001	1616.8	-1616.97
eval	E5	BINDING	A_PBAR	SECRETARY_0.7	LOOKAHEAD_m	0.19	0.65	74.25	0.4	387	0.4	185.63	1.0	-17.9	2021.0	0.0001	1616.8	-1616.61
eval	E5	BINDING	A_PBAR	SECRETARY_0.8	LOOKAHEAD_m	-0.1	0.19	-37.25	0.2	387	0.2	-186.25		-6.21	2021.0	-0.0	1616.8	-1616.9
eval	E5	BINDING	A_PBAR	SECTIME_0.1	causal	-68.0	23.43	-98.61	268.4	387	325.0	-81.42	0.137	-52.11	2021.0	-0.0336	1616.8	-1684.8
eval	E5	BINDING	A_PBAR	SECTIME_0.25	causal	3.18	7.56	25.11	64.0	387	66.0	23.93	0.462	-55.8	2021.0	0.0016	1616.8	-1613.62
eval	E5	BINDING	A_PBAR	SECTIME_0.5	causal	-0.29	1.3	-79.38	1.4	387	1.4	-79.38	0.039	-9.06	2021.0	-0.0001	1616.8	-1617.09
eval	E5	BINDING	A_PBAR	SECTIME_0.6	causal	-0.59	0.96	-228.25	0.4	387	0.4	-570.62		-5.95	2021.0	-0.0003	1616.8	-1617.39
eval	E5	BINDING	A_PBAR	SECTIME_0.7	causal	0.0	0.0	0.0	0.0	387	0.0			-10.89	2021.0	0.0	1616.8	-1616.8
eval	E5	BINDING	A_PBAR	SECTIME_0.8	causal	0.0	0.0	0.0	0.0	387	0.0			-8.86	2021.0	0.0	1616.8	-1616.8
eval	E5	BINDING	A_PBAR	SECTIME_RE_0.1	causal	-68.0	23.43	-98.61	268.4	387	325.0	-81.42	0.137	-49.84	2021.0	-0.0336	1616.8	-1684.8
eval	E5	BINDING	A_PBAR	SECTIME_RE_0.25	causal	3.18	7.56	25.11	64.0	387	66.0	23.93	0.462	-23.78	2021.0	0.0016	1616.8	-1613.62
eval	E5	BINDING	A_PBAR	SECTIME_RE_0.5	causal	-0.29	1.3	-79.38	1.4	387	1.4	-79.38	0.039	-19.11	2021.0	-0.0001	1616.8	-1617.09
eval	E5	BINDING	A_PBAR	SECTIME_RE_0.6	causal	-0.59	0.96	-228.25	0.4	387	0.4	-570.62		-18.75	2021.0	-0.0003	1616.8	-1617.39
eval	E5	BINDING	A_PBAR	SECTIME_RE_0.7	causal	0.0	0.0	0.0	0.0	387	0.0			-17.86	2021.0	0.0	1616.8	-1616.8
eval	E5	BINDING	A_PBAR	SECTIME_RE_0.8	causal	0.0	0.0	0.0	0.0	387	0.0			-3.11	2021.0	0.0	1616.8	-1616.8
eval	E5	BINDING	A_PWIN	OCCUPANCY_0.5	causal	-17.62	41.02	-34.34	208.6	387	216.6	-33.48	0.258	-43.29	2021.0	-0.0087	1616.8	-1634.42
eval	E5	BINDING	A_PWIN	OCCUPANCY_1	causal	-45.39	33.06	-46.83	372.0	387	451.2	-38.06	0.148	-15.78	2021.0	-0.0225	1616.8	-1662.19
eval	E5	BINDING	A_PWIN	OCCUPANCY_2	causal	-36.8	16.49	-37.88	374.6	387	463.0	-30.43	0.158	-22.23	2021.0	-0.0182	1616.8	-1653.6
eval	E5	BINDING	A_PWIN	SECDECL_0.25_0.5	causal	-22.04	23.82	-26.06	331.2	387	458.8	-18.7	0.127	-69.12	2021.0	-0.0109	1616.8	-1638.84
eval	E5	BINDING	A_PWIN	SECDECL_0.25_0.75	causal	-23.5	20.42	-29.82	301.4	387	392.4	-22.96	0.142	-77.67	2021.0	-0.0116	1616.8	-1640.3
eval	E5	BINDING	A_PWIN	SECDECL_0.25_0.9	causal	-20.54	21.84	-27.91	283.2	387	359.8	-22.06	0.152	-83.77	2021.0	-0.0102	1616.8	-1637.34
eval	E5	BINDING	A_PWIN	SECDECL_0.5_0.5	causal	-26.83	6.55	-119.37	92.4	387	95.8	-116.09	0.393	-84.29	2021.0	-0.0133	1616.8	-1643.63
eval	E5	BINDING	A_PWIN	SECDECL_0.5_0.75	causal	-13.13	8.66	-94.33	60.4	387	61.6	-93.68	0.472	-75.69	2021.0	-0.0065	1616.8	-1629.93
eval	E5	BINDING	A_PWIN	SECDECL_0.5_0.9	causal	-11.76	4.81	-104.41	47.0	387	48.0	-103.07	0.554	-48.51	2021.0	-0.0058	1616.8	-1628.56
eval	E5	BINDING	A_PWIN	SECDECL_0.6_0.5	causal	-9.46	2.98	-60.3	65.6	387	67.4	-59.38	0.538	-54.06	2021.0	-0.0047	1616.8	-1626.26
eval	E5	BINDING	A_PWIN	SECDECL_0.6_0.75	causal	-2.69	4.74	-22.9	39.4	387	40.0	-22.86	0.602	-58.64	2021.0	-0.0013	1616.8	-1619.49
eval	E5	BINDING	A_PWIN	SECDECL_0.6_0.9	causal	-4.36	5.21	-60.57	31.0	387	31.2	-60.67	0.706	-66.88	2021.0	-0.0022	1616.8	-1621.16
eval	E5	BINDING	A_PWIN	SECDECL_0.7_0.5	causal	0.3	9.59	-0.82	48.8	387	50.4	-2.04	0.634	-65.54	2021.0	0.0001	1616.8	-1616.5
eval	E5	BINDING	A_PWIN	SECDECL_0.7_0.75	causal	0.73	6.2	11.4	28.0	387	28.6	10.51	0.738	-50.29	2021.0	0.0004	1616.8	-1616.07
eval	E5	BINDING	A_PWIN	SECDECL_0.7_0.9	causal	-2.09	6.45	-53.54	22.8	387	22.8	-53.54	0.84	-59.33	2021.0	-0.001	1616.8	-1618.89
eval	E5	BINDING	A_PWIN	SECNHAT_0.1	causal	-6.25	29.86	-7.74	224.2	387	260.4	-6.86	0.186	-52.88	2021.0	-0.0031	1616.8	-1623.05
eval	E5	BINDING	A_PWIN	SECNHAT_0.25	causal	-7.36	11.97	-29.28	103.6	387	111.2	-27.18	0.363	-38.41	2021.0	-0.0036	1616.8	-1624.16
eval	E5	BINDING	A_PWIN	SECNHAT_0.5	causal	3.14	9.17	24.2	42.2	387	44.2	23.36	0.604	-16.27	2021.0	0.0016	1616.8	-1613.66
eval	E5	BINDING	A_PWIN	SECNHAT_0.6	causal	1.51	8.81	14.7	30.2	387	31.8	13.09	0.747	-3.47	2021.0	0.0007	1616.8	-1615.29
eval	E5	BINDING	A_PWIN	SECNHAT_0.7	causal	0.57	3.02	6.52	19.0	387	19.6	6.14	0.898	-9.85	2021.0	0.0003	1616.8	-1616.23
eval	E5	BINDING	A_PWIN	SECNHAT_0.8	causal	0.08	3.21	0.02	14.2	387	14.8	0.73	0.979	-9.49	2021.0	0.0	1616.8	-1616.72
eval	E5	BINDING	A_PWIN	SECRETARY_0.1	LOOKAHEAD_m	-21.42	29.05	-34.26	238.8	387	283.6	-28.73	0.174	-28.97	2021.0	-0.0106	1616.8	-1638.22
eval	E5	BINDING	A_PWIN	SECRETARY_0.25	LOOKAHEAD_m	-6.57	13.9	-24.03	108.0	387	115.0	-22.54	0.339	-4.34	2021.0	-0.0033	1616.8	-1623.37
eval	E5	BINDING	A_PWIN	SECRETARY_0.5	LOOKAHEAD_m	-10.66	8.06	-129.7	31.2	387	31.4	-128.22	0.713	-25.54	2021.0	-0.0053	1616.8	-1627.46
eval	E5	BINDING	A_PWIN	SECRETARY_0.6	LOOKAHEAD_m	-1.02	3.08	-25.04	14.6	387	14.6	-25.04	0.89	-23.35	2021.0	-0.0005	1616.8	-1617.82
eval	E5	BINDING	A_PWIN	SECRETARY_0.7	LOOKAHEAD_m	-1.61	2.16	-68.71	8.0	387	8.0	-68.71	0.787	-16.15	2021.0	-0.0008	1616.8	-1618.41
eval	E5	BINDING	A_PWIN	SECRETARY_0.8	LOOKAHEAD_m	0.47	0.93	82.92	2.2	387	2.2	82.92	-1.188	-6.81	2021.0	0.0002	1616.8	-1616.33
eval	E5	BINDING	A_PWIN	SECTIME_0.1	causal	-31.72	32.59	-45.56	265.4	387	324.4	-37.12	0.164	-89.04	2021.0	-0.0157	1616.8	-1648.52
eval	E5	BINDING	A_PWIN	SECTIME_0.25	causal	-11.34	7.14	-45.62	100.4	387	104.2	-44.39	0.37	-22.57	2021.0	-0.0056	1616.8	-1628.14
eval	E5	BINDING	A_PWIN	SECTIME_0.5	causal	-3.49	3.08	-125.01	12.0	387	12.0	-125.01	0.91	-11.14	2021.0	-0.0017	1616.8	-1620.29
eval	E5	BINDING	A_PWIN	SECTIME_0.6	causal	-2.02	2.39	-92.87	9.4	387	9.4	-92.87	0.855	-7.17	2021.0	-0.001	1616.8	-1618.82
eval	E5	BINDING	A_PWIN	SECTIME_0.7	causal	-2.38	3.87	-126.5	7.0	387	7.0	-126.5	0.123	-1.75	2021.0	-0.0012	1616.8	-1619.18
eval	E5	BINDING	A_PWIN	SECTIME_0.8	causal	-1.22	0.99	-233.75	2.0	387	2.0	-233.75	-7.263	-1.2	2021.0	-0.0006	1616.8	-1618.02
eval	E5	BINDING	A_PWIN	SECTIME_RE_0.1	causal	-31.72	32.59	-45.56	265.4	387	324.4	-37.12	0.164	-42.61	2021.0	-0.0157	1616.8	-1648.52
eval	E5	BINDING	A_PWIN	SECTIME_RE_0.25	causal	-11.34	7.14	-45.62	100.4	387	104.2	-44.39	0.37	-4.37	2021.0	-0.0056	1616.8	-1628.14
eval	E5	BINDING	A_PWIN	SECTIME_RE_0.5	causal	-3.49	3.08	-125.01	12.0	387	12.0	-125.01	0.91	-11.7	2021.0	-0.0017	1616.8	-1620.29
eval	E5	BINDING	A_PWIN	SECTIME_RE_0.6	causal	-2.02	2.39	-92.87	9.4	387	9.4	-92.87	0.855	-10.55	2021.0	-0.001	1616.8	-1618.82
eval	E5	BINDING	A_PWIN	SECTIME_RE_0.7	causal	-2.38	3.87	-126.5	7.0	387	7.0	-126.5	0.123	-3.8	2021.0	-0.0012	1616.8	-1619.18
eval	E5	BINDING	A_PWIN	SECTIME_RE_0.8	causal	-1.22	0.99	-233.75	2.0	387	2.0	-233.75	-7.263	-2.15	2021.0	-0.0006	1616.8	-1618.02
eval	E5	BINDING	PROPHET	OCCUPANCY_0.5	causal	617.42	0.0	649.3	368.0	387	469.0	509.47	0.105		2021.0	0.3055	1616.8	-999.38
eval	E5	BINDING	PROPHET	OCCUPANCY_1	causal	552.86	0.0	576.7	371.0	387	470.0	455.23	0.105		2021.0	0.2736	1616.8	-1063.94
eval	E5	BINDING	PROPHET	OCCUPANCY_2	causal	768.03	0.0	794.72	374.0	387	486.0	611.58	0.08		2021.0	0.38	1616.8	-848.77
eval	E5	BINDING	PROPHET	SECDECL_0.25_0.5	causal	1155.64	0.0	1155.64	387.0	387	1010.0	442.8	0.037		2021.0	0.5718	1616.8	-461.16
eval	E5	BINDING	PROPHET	SECDECL_0.25_0.75	causal	1017.69	0.0	1061.58	371.0	387	722.0	545.49	0.042		2021.0	0.5036	1616.8	-599.11
eval	E5	BINDING	PROPHET	SECDECL_0.25_0.9	causal	950.0	0.0	1044.46	352.0	387	624.0	589.18	0.045		2021.0	0.4701	1616.8	-666.8
eval	E5	BINDING	PROPHET	SECDECL_0.5_0.5	causal	572.03	0.0	585.65	378.0	387	785.0	282.01	0.066		2021.0	0.283	1616.8	-1044.77
eval	E5	BINDING	PROPHET	SECDECL_0.5_0.75	causal	386.2	0.0	564.0	265.0	387	343.0	435.74	0.072		2021.0	0.1911	1616.8	-1230.6
eval	E5	BINDING	PROPHET	SECDECL_0.5_0.9	causal	303.63	0.0	596.47	197.0	387	234.0	502.16	0.092		2021.0	0.1502	1616.8	-1313.17
eval	E5	BINDING	PROPHET	SECDECL_0.6_0.5	causal	413.36	0.0	426.59	375.0	387	676.0	236.64	0.055		2021.0	0.2045	1616.8	-1203.44
eval	E5	BINDING	PROPHET	SECDECL_0.6_0.75	causal	271.57	0.0	484.33	217.0	387	254.0	413.77	0.085		2021.0	0.1344	1616.8	-1345.23
eval	E5	BINDING	PROPHET	SECDECL_0.6_0.9	causal	196.01	0.0	526.77	144.0	387	159.0	477.08	0.12		2021.0	0.097	1616.8	-1420.79
eval	E5	BINDING	PROPHET	SECDECL_0.7_0.5	causal	288.01	0.0	314.86	354.0	387	582.0	191.51	0.073		2021.0	0.1425	1616.8	-1328.79
