# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE CONSTRAINT ARTIFACT.  A column is constrained only where a NAMED CENSUS FACT and a MEASURED STABILITY RECEIPT agree, or where the stability receipt is clean and the censuses are silent.  Where they DISAGREE the column is left FREE and the conflict is recorded (source=CONFLICT_census_vs_measured) rather than resolved by preference.
# The stability receipt is computed on TRAINING ERAS ONLY, per fold: the within-cell Spearman of the column against `cert_close_usd` must carry the SAME SIGN in every training era and its mean |rho| must clear 0.010. A sign that was not stable in the past is not imposed on the future.
# Census sources: CREATOR_CENSUS_MAIN.tsv (38 Holm-significant detectors; TAPE_DEAD 0.607 the strongest veto, PASSIVE_MOVE 1.838 the strongest concentrator), the SEAT_LIVE capacity replication (1.31-1.69x, 8/8 eras), and mechanical facts (cost and spread are subtracted).
era	feature	sign	source	mean_rho_train_eras	n_train_eras	sign_agreed_every_era	census_reason
E3	xa_SI_fuel_share_above	1	CENSUS+STABLE	0.03206	2	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E3	xa_SI_range_so_far	1	STABLE_ONLY	0.02716	2	True	
E3	xa_SI_slope5m	1	STABLE_ONLY	0.02995	2	True	
E3	xa_SI_sflow_phase	1	STABLE_ONLY	0.02985	2	True	
E3	xa_HG_age_sec	1	STABLE_ONLY	0.04453	2	True	
E3	xa_HG_rv1800	1	STABLE_ONLY	0.03262	2	True	
E3	xa_HG_fuel_share_above	1	CENSUS+STABLE	0.01723	2	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E3	xa_HG_range_so_far	1	STABLE_ONLY	0.01029	2	True	
E3	xa_HG_slope5m	1	STABLE_ONLY	0.02091	2	True	
E3	xa_HG_sflow_phase	1	STABLE_ONLY	0.02694	2	True	
E3	xa_NKD_age_sec	1	STABLE_ONLY	0.04716	2	True	
E3	xa_NKD_rv1800	1	STABLE_ONLY	0.02816	2	True	
E3	xa_NKD_fuel_share_above	1	CENSUS+STABLE	0.02531	2	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E3	xa_NKD_range_so_far	1	STABLE_ONLY	0.01239	2	True	
E3	xa_NKD_slope5m	1	STABLE_ONLY	0.02131	2	True	
E3	xa_NKD_sflow_phase	1	STABLE_ONLY	0.01633	2	True	
E3	day_type	1	STABLE_ONLY	0.06482	2	True	
E3	day_type_frac	1	STABLE_ONLY	0.0569	2	True	
E3	ladder_band	1	STABLE_ONLY	0.0533	2	True	
E3	surprise	1	STABLE_ONLY	0.0549	2	True	
E3	range_so_far_usd	1	STABLE_ONLY	0.0569	2	True	
E3	spread_dec_usd	0	CONFLICT_census_vs_measured	0.01376	2	True	wider spread = worse fill, mechanical
E3	side	1	STABLE_ONLY	0.02961	2	True	
E3	slope_1m_with	-1	STABLE_ONLY	-0.02988	2	True	
E3	slope_5m_with	-1	STABLE_ONLY	-0.03947	2	True	
E3	f5m_sflow_with	-1	STABLE_ONLY	-0.01314	2	True	
E3	f30m_n	1	STABLE_ONLY	0.01993	2	True	
E3	f30m_vol	1	CENSUS+STABLE	0.02146	2	True	TAPE_SPIKE 1.462 / AGG_PRINT_60 1.306 (flow concentrates)
E3	f30m_sflow_with	-1	STABLE_ONLY	-0.04606	2	True	
E3	fph_n	1	STABLE_ONLY	0.0542	2	True	
E3	fph_vol	1	STABLE_ONLY	0.0542	2	True	
E3	fph_sflow_with	-1	STABLE_ONLY	-0.09745	2	True	
E3	flow_disagree_30m	1	STABLE_ONLY	0.02845	2	True	
E3	flow_disagree_5m	1	STABLE_ONLY	0.03543	2	True	
E3	extreme_age_sec	-1	STABLE_ONLY	-0.07079	2	True	
E3	ext_needed_usd	-1	STABLE_ONLY	-0.17701	2	True	
E3	room_with_usd	1	CENSUS+STABLE	0.19885	2	True	capacity: SEAT_LIVE 1.31-1.69x, 8/8 eras
E3	room_against_usd	-1	STABLE_ONLY	-0.1453	2	True	
E3	ret_sess_open_with	-1	STABLE_ONLY	-0.29256	2	True	
E3	ret_phase_open_with	-1	STABLE_ONLY	-0.25969	2	True	
E3	prev_phase_ret_with	1	STABLE_ONLY	0.01052	2	True	
E3	conf_to_dec_sec	1	STABLE_ONLY	0.0408	2	True	
E3	ep_is_earliest	1	STABLE_ONLY	0.01244	2	True	
E3	ep_rank	1	STABLE_ONLY	0.01945	2	True	
E3	ep_age_sec	1	STABLE_ONLY	0.01618	2	True	
E3	cell_rank_so_far	1	STABLE_ONLY	0.05467	2	True	
E3	cell_is_open_row	1	STABLE_ONLY	0.03566	2	True	
E3	cell_age_sec	1	STABLE_ONLY	0.05467	2	True	
E3	sess_rank_so_far	1	STABLE_ONLY	0.05467	2	True	
E4	cls_SHOCK_RESOLUTION	1	STABLE_ONLY	0.04456	3	True	
E4	cls_LEVEL_FIRST_TEST	1	STABLE_ONLY	0.03831	3	True	
E4	cls_NEWS_WINDOW	1	STABLE_ONLY	0.0383	3	True	
E4	cls_OPEN_DYNAMICS	1	STABLE_ONLY	0.03109	3	True	
E4	cls_REVERSAL_CONFIRMATION	1	STABLE_ONLY	0.03147	3	True	
E4	cls_RECLAIM	1	STABLE_ONLY	0.04565	3	True	
E4	fam_G1_FINE	1	STABLE_ONLY	0.02772	3	True	
E4	fam_G1_FAST_OPEN	1	STABLE_ONLY	0.02885	3	True	
E4	fam_G2_REJECT	1	STABLE_ONLY	0.04055	3	True	
E4	fam_G2_RECLAIM	1	STABLE_ONLY	0.04553	3	True	
E4	fam_NEWS_WINDOW	1	STABLE_ONLY	0.0383	3	True	
E4	fam_MICRO_OPEN	1	STABLE_ONLY	0.04281	3	True	
E4	fam_POST_SHOCK	1	STABLE_ONLY	0.04456	3	True	
E4	fam_FIRST_TEST	1	STABLE_ONLY	0.03831	3	True	
E4	rung_0.05	1	STABLE_ONLY	0.02435	3	True	
E4	rung_0.075	1	STABLE_ONLY	0.02405	3	True	
E4	rung_0.11	1	STABLE_ONLY	0.02404	3	True	
E4	rung_0.15	1	STABLE_ONLY	0.0251	3	True	
E4	levfam_FVOL_LADDER	1	STABLE_ONLY	0.04026	3	True	
E4	levfam_FVOL_BAND	1	STABLE_ONLY	0.04253	3	True	
E4	levfam_NDAY	1	STABLE_ONLY	0.04799	3	True	
E4	levfam_PRIOR_DAY	1	STABLE_ONLY	0.04356	3	True	
E4	levfam_PHASE_HL	1	STABLE_ONLY	0.04049	3	True	
E4	levfam_VWAP	1	STABLE_ONLY	0.04076	3	True	
E4	levfam_OR_EXT	1	STABLE_ONLY	0.04423	3	True	
E4	flag_OREXT_BEYOND	1	STABLE_ONLY	0.03624	3	True	
E4	flag_OREXT_BEYOND_ANY	1	STABLE_ONLY	0.04532	3	True	
E4	flag_FIRST_TEST_VIRGIN	1	STABLE_ONLY	0.04331	3	True	
E4	rv1800_usd	1	STABLE_ONLY	0.01566	3	True	
E4	rv_ratio	1	STABLE_ONLY	0.01824	3	True	
E4	unspent_sess_usd	0	CONFLICT_census_vs_measured	-0.07278	3	True	capacity: unspent session dollars = room left
E4	coverage_phase	1	STABLE_ONLY	0.05613	3	True	
E4	coverage_session	1	STABLE_ONLY	0.05803	3	True	
E4	runway_phase_sec	0	CONFLICT_census_vs_measured	-0.05575	3	True	runway: room-to-travel is the capacity channel
E4	runway_sess_sec	0	CONFLICT_census_vs_measured	-0.05576	3	True	runway: room-to-travel is the capacity channel
E4	runway_frac	0	CONFLICT_census_vs_measured	-0.05568	3	True	runway: room-to-travel is the capacity channel
E4	phase_age_sec	1	STABLE_ONLY	0.0555	3	True	
E4	p033_product	-1	STABLE_ONLY	-0.02731	3	True	
E4	p033_sqrt	-1	STABLE_ONLY	-0.02731	3	True	
E4	clock_sec	1	STABLE_ONLY	0.04254	3	True	
E4	clock_sin	-1	STABLE_ONLY	-0.02591	3	True	
E4	dec_sec	1	STABLE_ONLY	0.05576	3	True	
E4	mins_to_release	1	STABLE_ONLY	0.04889	3	True	
E4	abs_mins_to_release	-1	STABLE_ONLY	-0.01272	3	True	
E4	post_news_10_20	1	STABLE_ONLY	0.03091	3	True	
E4	release_age_sec	1	STABLE_ONLY	0.04165	3	True	
E4	event_in_phase	1	STABLE_ONLY	0.07309	3	True	
E4	nd_mins_to_next	-1	STABLE_ONLY	-0.27886	3	True	
E4	nd_mins_since_any	1	STABLE_ONLY	0.27908	3	True	
E4	fev_n	1	STABLE_ONLY	0.09927	3	True	
E4	fev_vol	1	STABLE_ONLY	0.09931	3	True	
E4	n_conf_fam_at_refail	1	STABLE_ONLY	0.01551	3	True	
E4	n_conf_fam_at_refail_2t	1	STABLE_ONLY	0.01386	3	True	
E4	refail_dist_usd	1	STABLE_ONLY	0.01436	3	True	
E4	refail_age_sec	-1	STABLE_ONLY	-0.01041	3	True	
E4	pivot_age_sec	-1	STABLE_ONLY	-0.01579	3	True	
E4	n_level_fams	1	STABLE_ONLY	0.04338	3	True	
E4	thru_n	1	STABLE_ONLY	0.0194	3	True	
E4	thru_bid	1	STABLE_ONLY	0.02118	3	True	
E4	thru_ask	1	STABLE_ONLY	0.01895	3	True	
E4	c2f_60	1	STABLE_ONLY	0.0119	3	True	
E4	fuel_above	1	STABLE_ONLY	0.02974	3	True	
E4	fuel_below	1	STABLE_ONLY	0.03517	3	True	
E4	fuel_total	1	STABLE_ONLY	0.05554	3	True	
E4	fuel_share_with	1	CENSUS+STABLE	0.17693	3	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E4	in_va	1	STABLE_ONLY	0.02648	3	True	
E4	xa_SI_age_sec	1	STABLE_ONLY	0.05106	3	True	
E4	xa_SI_rv1800	1	STABLE_ONLY	0.03326	3	True	
E4	xa_SI_fuel_share_above	1	CENSUS+STABLE	0.02903	3	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E4	xa_SI_range_so_far	1	STABLE_ONLY	0.02386	3	True	
E4	xa_SI_slope5m	1	STABLE_ONLY	0.0275	3	True	
E4	xa_SI_sflow_phase	1	STABLE_ONLY	0.02837	3	True	
E4	xa_HG_age_sec	1	STABLE_ONLY	0.04404	3	True	
E4	xa_HG_rv1800	1	STABLE_ONLY	0.03399	3	True	
E4	xa_HG_fuel_share_above	1	CENSUS+STABLE	0.01489	3	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E4	xa_HG_slope5m	1	STABLE_ONLY	0.01789	3	True	
E4	xa_HG_sflow_phase	1	STABLE_ONLY	0.02388	3	True	
E4	xa_NKD_age_sec	1	STABLE_ONLY	0.04814	3	True	
E4	xa_NKD_rv1800	1	STABLE_ONLY	0.03453	3	True	
E4	xa_NKD_fuel_share_above	1	CENSUS+STABLE	0.03014	3	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E4	xa_NKD_range_so_far	1	STABLE_ONLY	0.01677	3	True	
E4	xa_NKD_slope5m	1	STABLE_ONLY	0.02679	3	True	
E4	xa_NKD_sflow_phase	1	STABLE_ONLY	0.02303	3	True	
E4	day_type	1	STABLE_ONLY	0.06093	3	True	
E4	day_type_frac	1	STABLE_ONLY	0.05803	3	True	
E4	ladder_band	1	STABLE_ONLY	0.05511	3	True	
E4	surprise	1	STABLE_ONLY	0.05613	3	True	
E4	range_so_far_usd	1	STABLE_ONLY	0.05803	3	True	
E4	spread_dec_usd	0	CONFLICT_census_vs_measured	0.01553	3	True	wider spread = worse fill, mechanical
E4	side	1	STABLE_ONLY	0.03275	3	True	
E4	slope_1m_with	-1	STABLE_ONLY	-0.03259	3	True	
E4	slope_5m_with	-1	STABLE_ONLY	-0.04176	3	True	
E4	f5m_sflow_with	-1	STABLE_ONLY	-0.01505	3	True	
E4	f30m_n	1	STABLE_ONLY	0.01977	3	True	
E4	f30m_vol	1	CENSUS+STABLE	0.0213	3	True	TAPE_SPIKE 1.462 / AGG_PRINT_60 1.306 (flow concentrates)
E4	f30m_sflow_with	-1	STABLE_ONLY	-0.05193	3	True	
E4	fph_n	1	STABLE_ONLY	0.05553	3	True	
E4	fph_vol	1	STABLE_ONLY	0.05554	3	True	
E4	fph_sflow_with	-1	STABLE_ONLY	-0.11163	3	True	
E4	flow_disagree_30m	1	STABLE_ONLY	0.03023	3	True	
E4	flow_disagree_5m	1	STABLE_ONLY	0.03754	3	True	
E4	extreme_age_sec	-1	STABLE_ONLY	-0.07038	3	True	
E4	ext_needed_usd	-1	STABLE_ONLY	-0.18595	3	True	
E4	room_with_usd	1	CENSUS+STABLE	0.20675	3	True	capacity: SEAT_LIVE 1.31-1.69x, 8/8 eras
E4	room_against_usd	-1	STABLE_ONLY	-0.15159	3	True	
E4	ret_sess_open_with	-1	STABLE_ONLY	-0.29621	3	True	
E4	ret_phase_open_with	-1	STABLE_ONLY	-0.26198	3	True	
E4	prev_phase_ret_with	1	STABLE_ONLY	0.01265	3	True	
E4	conf_to_dec_sec	1	STABLE_ONLY	0.04188	3	True	
E4	ep_is_earliest	1	STABLE_ONLY	0.0148	3	True	
E4	ep_rank	1	STABLE_ONLY	0.01774	3	True	
E4	ep_age_sec	1	STABLE_ONLY	0.01506	3	True	
E4	cell_rank_so_far	1	STABLE_ONLY	0.05576	3	True	
E4	cell_is_open_row	1	STABLE_ONLY	0.03672	3	True	
E4	cell_age_sec	1	STABLE_ONLY	0.05576	3	True	
E4	sess_rank_so_far	1	STABLE_ONLY	0.05576	3	True	
E5	cls_SHOCK_RESOLUTION	1	STABLE_ONLY	0.04315	4	True	
E5	cls_LEVEL_FIRST_TEST	1	STABLE_ONLY	0.03875	4	True	
E5	cls_NEWS_WINDOW	1	STABLE_ONLY	0.03632	4	True	
E5	cls_OPEN_DYNAMICS	1	STABLE_ONLY	0.03058	4	True	
E5	cls_REVERSAL_CONFIRMATION	1	STABLE_ONLY	0.02947	4	True	
E5	cls_RECLAIM	1	STABLE_ONLY	0.04474	4	True	
E5	fam_G1_FINE	1	STABLE_ONLY	0.02588	4	True	
E5	fam_G1_FAST_OPEN	1	STABLE_ONLY	0.02875	4	True	
E5	fam_G2_REJECT	1	STABLE_ONLY	0.03956	4	True	
E5	fam_G2_RECLAIM	1	STABLE_ONLY	0.04468	4	True	
E5	fam_NEWS_WINDOW	1	STABLE_ONLY	0.03632	4	True	
E5	fam_MICRO_OPEN	1	STABLE_ONLY	0.04189	4	True	
E5	fam_POST_SHOCK	1	STABLE_ONLY	0.04315	4	True	
E5	fam_FIRST_TEST	1	STABLE_ONLY	0.03875	4	True	
E5	rung_0.05	1	STABLE_ONLY	0.02295	4	True	
E5	rung_0.075	1	STABLE_ONLY	0.02267	4	True	
E5	rung_0.11	1	STABLE_ONLY	0.02268	4	True	
E5	rung_0.15	1	STABLE_ONLY	0.02294	4	True	
E5	levfam_FVOL_LADDER	1	STABLE_ONLY	0.03842	4	True	
E5	levfam_FVOL_BAND	1	STABLE_ONLY	0.03969	4	True	
E5	levfam_NDAY	1	STABLE_ONLY	0.04983	4	True	
E5	levfam_PRIOR_DAY	1	STABLE_ONLY	0.04272	4	True	
E5	levfam_PHASE_HL	1	STABLE_ONLY	0.04085	4	True	
E5	levfam_VWAP	1	STABLE_ONLY	0.03832	4	True	
E5	levfam_OR_EXT	1	STABLE_ONLY	0.046	4	True	
E5	flag_OREXT_BEYOND	1	STABLE_ONLY	0.03487	4	True	
E5	flag_OREXT_BEYOND_ANY	1	STABLE_ONLY	0.04355	4	True	
E5	flag_FIRST_TEST_VIRGIN	1	STABLE_ONLY	0.04473	4	True	
E5	rv1800_usd	1	STABLE_ONLY	0.01613	4	True	
E5	rv_ratio	1	STABLE_ONLY	0.01659	4	True	
E5	unspent_sess_usd	0	CONFLICT_census_vs_measured	-0.0695	4	True	capacity: unspent session dollars = room left
E5	coverage_phase	1	STABLE_ONLY	0.05309	4	True	
E5	coverage_session	1	STABLE_ONLY	0.05567	4	True	
E5	runway_phase_sec	0	CONFLICT_census_vs_measured	-0.05266	4	True	runway: room-to-travel is the capacity channel
E5	runway_sess_sec	0	CONFLICT_census_vs_measured	-0.05266	4	True	runway: room-to-travel is the capacity channel
E5	runway_frac	0	CONFLICT_census_vs_measured	-0.0526	4	True	runway: room-to-travel is the capacity channel
E5	phase_age_sec	1	STABLE_ONLY	0.05245	4	True	
E5	p033_product	-1	STABLE_ONLY	-0.02412	4	True	
E5	p033_sqrt	-1	STABLE_ONLY	-0.02412	4	True	
E5	clock_sec	1	STABLE_ONLY	0.0394	4	True	
E5	clock_sin	-1	STABLE_ONLY	-0.02356	4	True	
E5	dec_sec	1	STABLE_ONLY	0.05266	4	True	
E5	mins_to_release	1	STABLE_ONLY	0.04634	4	True	
E5	abs_mins_to_release	-1	STABLE_ONLY	-0.01114	4	True	
E5	post_news_10_20	1	STABLE_ONLY	0.032	4	True	
E5	release_age_sec	1	STABLE_ONLY	0.03975	4	True	
E5	event_in_phase	1	STABLE_ONLY	0.06704	4	True	
E5	nd_mins_to_next	-1	STABLE_ONLY	-0.23277	4	True	
E5	nd_mins_since_any	1	STABLE_ONLY	0.23271	4	True	
E5	fev_n	1	STABLE_ONLY	0.09543	4	True	
E5	fev_vol	1	STABLE_ONLY	0.09546	4	True	
E5	n_conf_fam_at_refail	1	STABLE_ONLY	0.01569	4	True	
E5	n_conf_fam_at_refail_2t	1	STABLE_ONLY	0.01161	4	True	
E5	refail_dist_usd	1	STABLE_ONLY	0.01587	4	True	
E5	refail_age_sec	-1	STABLE_ONLY	-0.01139	4	True	
E5	pivot_age_sec	-1	STABLE_ONLY	-0.01645	4	True	
E5	n_level_fams	1	STABLE_ONLY	0.04279	4	True	
E5	thru_n	1	STABLE_ONLY	0.01987	4	True	
E5	thru_bid	1	STABLE_ONLY	0.0214	4	True	
E5	thru_ask	1	STABLE_ONLY	0.01992	4	True	
E5	c2f_60	1	STABLE_ONLY	0.01132	4	True	
E5	fuel_above	1	STABLE_ONLY	0.02748	4	True	
E5	fuel_below	1	STABLE_ONLY	0.03187	4	True	
E5	fuel_total	1	STABLE_ONLY	0.05247	4	True	
E5	fuel_share_with	1	CENSUS+STABLE	0.17861	4	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E5	in_va	1	STABLE_ONLY	0.02426	4	True	
E5	xa_SI_age_sec	1	STABLE_ONLY	0.04689	4	True	
E5	xa_SI_rv1800	1	STABLE_ONLY	0.02904	4	True	
E5	xa_SI_fuel_share_above	1	CENSUS+STABLE	0.02533	4	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E5	xa_SI_range_so_far	1	STABLE_ONLY	0.02104	4	True	
E5	xa_SI_slope5m	1	STABLE_ONLY	0.02549	4	True	
E5	xa_SI_sflow_phase	1	STABLE_ONLY	0.02584	4	True	
E5	xa_HG_age_sec	1	STABLE_ONLY	0.04194	4	True	
E5	xa_HG_rv1800	1	STABLE_ONLY	0.03077	4	True	
E5	xa_HG_fuel_share_above	1	CENSUS+STABLE	0.0138	4	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E5	xa_HG_slope5m	1	STABLE_ONLY	0.01762	4	True	
E5	xa_HG_sflow_phase	1	STABLE_ONLY	0.02053	4	True	
E5	xa_NKD_age_sec	1	STABLE_ONLY	0.04428	4	True	
E5	xa_NKD_rv1800	1	STABLE_ONLY	0.029	4	True	
E5	xa_NKD_fuel_share_above	1	CENSUS+STABLE	0.02609	4	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E5	xa_NKD_slope5m	1	STABLE_ONLY	0.02258	4	True	
E5	xa_NKD_sflow_phase	1	STABLE_ONLY	0.02044	4	True	
E5	day_type	1	STABLE_ONLY	0.05777	4	True	
E5	day_type_frac	1	STABLE_ONLY	0.05567	4	True	
E5	ladder_band	1	STABLE_ONLY	0.05309	4	True	
E5	surprise	1	STABLE_ONLY	0.05309	4	True	
E5	range_so_far_usd	1	STABLE_ONLY	0.05567	4	True	
E5	spread_dec_usd	0	CONFLICT_census_vs_measured	0.01547	4	True	wider spread = worse fill, mechanical
E5	side	1	STABLE_ONLY	0.04045	4	True	
E5	slope_1m_with	-1	STABLE_ONLY	-0.03285	4	True	
E5	slope_5m_with	-1	STABLE_ONLY	-0.03975	4	True	
E5	f5m_sflow_with	-1	STABLE_ONLY	-0.01479	4	True	
E5	f30m_n	1	STABLE_ONLY	0.02026	4	True	
E5	f30m_vol	1	CENSUS+STABLE	0.0218	4	True	TAPE_SPIKE 1.462 / AGG_PRINT_60 1.306 (flow concentrates)
E5	f30m_sflow_with	-1	STABLE_ONLY	-0.0535	4	True	
E5	fph_n	1	STABLE_ONLY	0.05248	4	True	
E5	fph_vol	1	STABLE_ONLY	0.05247	4	True	
E5	fph_sflow_with	-1	STABLE_ONLY	-0.11459	4	True	
E5	flow_disagree_30m	1	STABLE_ONLY	0.02945	4	True	
E5	flow_disagree_5m	1	STABLE_ONLY	0.03593	4	True	
E5	extreme_age_sec	-1	STABLE_ONLY	-0.07424	4	True	
E5	ext_needed_usd	-1	STABLE_ONLY	-0.18811	4	True	
E5	room_with_usd	1	CENSUS+STABLE	0.20783	4	True	capacity: SEAT_LIVE 1.31-1.69x, 8/8 eras
E5	room_against_usd	-1	STABLE_ONLY	-0.15465	4	True	
E5	ret_sess_open_with	-1	STABLE_ONLY	-0.29784	4	True	
E5	ret_phase_open_with	-1	STABLE_ONLY	-0.26637	4	True	
