# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# STAGE A. promotion: FALSE. These are not champion claims and no arm is adopted on this table.
# Fitted on the inner-TRAIN days and read on the inner-VALIDATION days of the E3/E5/E7 folds — entirely inside the training block, so no evaluation era is touched by the screen.
# Yardstick = realised $/session under the harness's own cell/N seating, the ONE metric comparable across objectives (a cell's own loss is not).
# Every cell has a SHUFFLED TWIN at identical budget; a cell whose twin reaches its own lift is VOID.
# reference cell = cell|ndcg3|dollars|full|xgb|BASE at $249.17/session
cell	design_block	inner_usd_per_session	lift_vs_reference	shuffled_twin_lift	train_p1	train_p1_shuffled	median_group_size	status	mechanism
cell|ndcg3|cellrank|full|xgb|DAYSOFAR	obj_x_target	477.43	228.27	-423.56	0.7231	0.7353	99.8	LIVE	objective x target at group=cell
cell|ndcg1|cellrank|full|xgb|DAYSOFAR	obj_x_target	477.43	228.27	-423.56	0.7231	0.7353	99.8	LIVE	objective x target at group=cell
cellclass|ndcg3|dollars|full|xgb|DIP	marquee	468.05	218.88	-322.44	0.812	0.5072	7.0	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg3|cellrank|full|xgb|TABPFN	obj_x_target	461.95	212.78	-385.58	0.7254	0.7375	99.8	LIVE	objective x target at group=cell
cell|ndcg1|cellrank|full|xgb|TABPFN	obj_x_target	461.95	212.78	-385.58	0.7254	0.7375	99.8	LIVE	objective x target at group=cell
cell|ndcg3|cellrank|classfilt|xgb|CELLREL	pop_x_target	452.41	203.25	-299.66	0.7195	0.74	92.8	LIVE	population x target at the marquee feature set
cell|ndcg3|cellrank|full|xgb|BASE	obj_x_target	451.89	202.72	-373.15	0.7234	0.7382	99.8	LIVE	objective x target at group=cell
cell|ndcg1|cellrank|full|xgb|BASE	obj_x_target	451.89	202.72	-373.15	0.7234	0.7382	99.8	LIVE	objective x target at group=cell
cellclass|ndcg3|dollars|full|xgb|DAYSOFAR	marquee	449.73	200.56	-326.99	0.8126	0.5045	7.0	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg3|cellrank|recency|xgb|CELLREL	pop_x_target	445.96	196.8	-323.05	0.7256	0.7097	99.8	LIVE	population x target at the marquee feature set
cell|ndcg3|cellrank|full|xgb|DIP	obj_x_target	443.98	194.81	-322.27	0.726	0.7382	99.8	LIVE	objective x target at group=cell
cell|ndcg1|cellrank|full|xgb|DIP	obj_x_target	443.98	194.81	-322.27	0.726	0.7382	99.8	LIVE	objective x target at group=cell
cell|ndcg3|cellrank|full|lgbm|BASE	engine_x_target	426.32	177.15	-288.62	0.7702	0.7536	99.8	LIVE	engine x target at the reference feature set
cellclass|ndcg3|dollars|full|xgb|CELLREL	marquee	413.23	164.06	-338.0	0.8152	0.5235	7.0	LIVE	grouping x feature-set, the two axes the diagnosis names
cellclass|ndcg1|dollars|full|xgb|CELLREL	granularity_x_obj	413.23	164.06	-338.0	0.8152	0.5235	7.0	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|ndcg3|cellrank|last2|xgb|CELLREL	pop_x_target	393.6	144.44	-311.99	0.7276	0.7523	103.3	LIVE	population x target at the marquee feature set
cell|ndcg3|dollars|full|xgb|CELLREL	marquee	317.25	68.09	-298.86	0.7455	0.4712	99.8	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg1|dollars|full|xgb|CELLREL	granularity_x_obj	317.25	68.09	-298.86	0.7455	0.4712	99.8	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|ndcg3|cellrank|full|catb|BASE	engine_x_target	295.77	46.6	-433.59	0.6671	0.6122	99.8	LIVE	engine x target at the reference feature set
cell|ndcg3|dollars|full|xgb|DIP	marquee	285.37	36.2	-316.74	0.7299	0.4513	99.8	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg1|dollars|full|xgb|DIP	obj_x_target	285.37	36.2	-316.74	0.7299	0.4513	99.8	LIVE	objective x target at group=cell
cell|ndcg3|dollars|full|xgb|TABPFN	marquee	283.45	34.29	-383.88	0.7319	0.4413	99.8	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg1|dollars|full|xgb|TABPFN	obj_x_target	283.45	34.29	-383.88	0.7319	0.4413	99.8	LIVE	objective x target at group=cell
cellclass|ndcg3|dollars|full|xgb|BASE	marquee	278.26	29.1	-319.66	0.8193	0.5057	7.0	LIVE	grouping x feature-set, the two axes the diagnosis names
cellclass|ndcg1|dollars|full|xgb|BASE	granularity_x_obj	278.26	29.1	-319.66	0.8193	0.5057	7.0	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|ndcg3|dollars|classfilt|xgb|DIP	pop_x_feat	264.6	15.43	-397.67	0.7452	0.447	92.8	LIVE	training population
cell|ndcg3|dollars|full|xgb|DAYSOFAR	marquee	260.72	11.56	-281.21	0.7287	0.4369	99.8	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg1|dollars|full|xgb|DAYSOFAR	obj_x_target	260.72	11.56	-281.21	0.7287	0.4369	99.8	LIVE	objective x target at group=cell
cell|ndcg3|dollars|full|xgb|BASE	reference	249.17	0.0	-275.71	0.7412	0.451	99.8	LIVE	the committed champion LMART_HP_NOTF — must reproduce
cell|ndcg1|dollars|full|xgb|BASE	granularity_x_obj	249.17	0.0	-275.71	0.7412	0.451	99.8	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cellclass|ndcg3|dollars|full|xgb|TABPFN	marquee	233.35	-15.82	-275.95	0.8211	0.5048	7.0	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg3|dollars|classfilt|xgb|BASE	pop_x_feat	232.08	-17.09	-332.05	0.7382	0.4342	92.8	LIVE	training population
cell|ndcg3|dollars|classfilt|xgb|DAYSOFAR	pop_x_feat	213.68	-35.49	-349.2	0.7327	0.4567	92.8	LIVE	training population
cell|ndcg3|dollars|recency|xgb|DAYSOFAR	pop_x_feat	208.34	-40.83	-361.43	0.682	0.399	99.8	LIVE	training population
cell|ndcg3|dollars|recency|xgb|BASE	pop_x_feat	202.04	-47.12	-319.88	0.687	0.3944	99.8	LIVE	training population
joint|ndcg3|dollars|classfilt|xgb|CELLREL	joint	193.65	-55.52	-389.94	0.6873	0.4146	461.5	LIVE	OBJ-1 x population x target
joint|ndcg3|maecap|classfilt|xgb|CELLREL	joint	193.65	-55.52	-389.94	0.6873	0.4146	461.5	LIVE	OBJ-1 x population x target
cell|dpairs|dollars|full|xgb|DIP	obj_x_target	181.77	-67.4	-328.9	0.6057	0.2654	99.8	LIVE	objective x target at group=cell
cell|ndcg3|dollars|classfilt|xgb|TABPFN	pop_x_feat	163.77	-85.4	-383.74	0.7509	0.4491	92.8	LIVE	training population
cell|dpairs|dollars|recency|xgb|CELLREL	pop_x_obj	161.64	-87.52	-381.65	0.6139	0.2512	99.8	LIVE	population x objective at the marquee feature set
joint|ndcg3|dollars|full|xgb|BASE	marquee	157.07	-92.1	-373.46	0.6825	0.3745	495.7	LIVE	grouping x feature-set, the two axes the diagnosis names
joint|ndcg1|dollars|full|xgb|BASE	granularity_x_obj	157.07	-92.1	-373.46	0.6825	0.3745	495.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|ndcg3|dollars|recency|xgb|TABPFN	pop_x_feat	154.3	-94.86	-394.05	0.6794	0.4057	99.8	LIVE	training population
cell|ndcg3|dollars|recency|xgb|CELLREL	pop_x_feat	153.42	-95.75	-257.36	0.6897	0.4169	99.8	LIVE	training population
cell|ndcg1|dollars|recency|xgb|CELLREL	pop_x_obj	153.42	-95.75	-257.36	0.6897	0.4169	99.8	LIVE	population x objective at the marquee feature set
joint|ndcg3|dollars|full|xgb|TABPFN	marquee	152.67	-96.49	-342.99	0.6934	0.3821	495.7	LIVE	grouping x feature-set, the two axes the diagnosis names
joint|ndcg1|dollars|full|xgb|TABPFN	joint	152.67	-96.49	-342.99	0.6934	0.3821	495.7	LIVE	OBJ-1: the {member x delay} choice set
cell|ndcg3|dollars|last2|xgb|CELLREL	pop_x_feat	149.61	-99.56	-315.43	0.8441	0.5656	103.3	LIVE	training population
cell|ndcg1|dollars|last2|xgb|CELLREL	pop_x_obj	149.61	-99.56	-315.43	0.8441	0.5656	103.3	LIVE	population x objective at the marquee feature set
joint|ndcg3|dollars|full|xgb|DAYSOFAR	marquee	145.56	-103.6	-298.5	0.6914	0.3735	495.7	LIVE	grouping x feature-set, the two axes the diagnosis names
joint|ndcg1|dollars|full|xgb|DAYSOFAR	joint	145.56	-103.6	-298.5	0.6914	0.3735	495.7	LIVE	OBJ-1: the {member x delay} choice set
cell|dpairs|dollars|classfilt|xgb|CELLREL	pop_x_obj	145.24	-103.93	-307.15	0.5909	0.2847	92.8	LIVE	population x objective at the marquee feature set
joint|ndcg3|dollars|full|xgb|CELLREL	marquee	135.69	-113.48	-420.8	0.6864	0.403	495.7	LIVE	grouping x feature-set, the two axes the diagnosis names
joint|ndcg1|dollars|full|xgb|CELLREL	granularity_x_obj	135.69	-113.48	-420.8	0.6864	0.403	495.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
joint|ndcg3|maecap|full|xgb|CELLREL	joint	135.69	-113.48	-420.8	0.6864	0.403	495.7	LIVE	OBJ-1 x population x target
joint|ndcg3|dollars|recency|xgb|CELLREL	joint	135.69	-113.48	-420.8	0.6864	0.403	495.7	LIVE	OBJ-1 x population x target
joint|ndcg3|maecap|recency|xgb|CELLREL	joint	135.69	-113.48	-420.8	0.6864	0.403	495.7	LIVE	OBJ-1 x population x target
cell|ndcg3|dollars|last2|xgb|TABPFN	pop_x_feat	130.57	-118.59	-354.23	0.8278	0.5473	103.3	LIVE	training population
cell|dpairs|dollars|full|xgb|CELLREL	granularity_x_obj	127.32	-121.84	-378.48	0.6117	0.2771	99.8	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|dpairs|dollars|full|xgb|BASE	granularity_x_obj	125.44	-123.72	-311.43	0.5979	0.2705	99.8	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|dpairs|dollars|full|lgbm|CELLREL	engine_x_obj	125.45	-123.72	-264.67	0.8736	0.6091	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg3|dollars|recency|xgb|DIP	pop_x_feat	117.47	-131.69	-326.13	0.6846	0.4109	99.8	LIVE	training population
cell|ndcg3|dollars|classfilt|xgb|CELLREL	pop_x_feat	109.93	-139.23	-345.01	0.7521	0.4725	92.8	LIVE	training population
cell|ndcg1|dollars|classfilt|xgb|CELLREL	pop_x_obj	109.93	-139.23	-345.01	0.7521	0.4725	92.8	LIVE	population x objective at the marquee feature set
cell|ndcg3|dollars|full|catb|BASE	engine_x_obj	103.33	-145.83	-310.83	0.521	0.1726	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg1|dollars|full|catb|BASE	engine_x_obj	103.33	-145.83	-310.83	0.521	0.1726	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|dpairs|dollars|full|catb|BASE	engine_x_obj	103.33	-145.83	-310.83	0.521	0.1726	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg3|dollars|full|lgbm|CELLREL	engine_x_obj	101.37	-147.79	-295.49	0.9063	0.6058	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg1|dollars|full|lgbm|CELLREL	engine_x_obj	101.37	-147.79	-295.49	0.9063	0.6058	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|dpairs|dollars|full|xgb|DAYSOFAR	obj_x_target	97.19	-151.97	-414.32	0.6055	0.2644	99.8	LIVE	objective x target at group=cell
cell|q75|dollars|full|catb|BASE	engine_x_obj	97.03	-152.14	-307.34	0.4683	0.1515	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg3|dollars|full|catb|CELLREL	engine_x_obj	94.33	-154.84	-276.26	0.5214	0.1753	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg1|dollars|full|catb|CELLREL	engine_x_obj	94.33	-154.84	-276.26	0.5214	0.1753	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|dpairs|dollars|full|catb|CELLREL	engine_x_obj	94.33	-154.84	-276.26	0.5214	0.1753	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|dpairs|maecap|full|xgb|CELLREL	obj_x_target	84.56	-164.61	-349.34	0.8363	0.4429	99.8	LIVE	objective x target at group=cell
assetday|ndcg3|dollars|full|xgb|TABPFN	marquee	83.25	-165.91	-349.81	0.7925	0.4239	366.5	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg3|winner|classfilt|xgb|CELLREL	pop_x_target	80.36	-168.81	-419.78	0.9287	0.692	92.8	LIVE	population x target at the marquee feature set
cell|ndcg3|dollars|last2|xgb|DAYSOFAR	pop_x_feat	77.92	-171.25	-350.43	0.8426	0.5516	103.3	LIVE	training population
class|ndcg3|dollars|full|xgb|BASE	marquee	77.2	-171.96	-346.87	0.8295	0.56	10.3	LIVE	grouping x feature-set, the two axes the diagnosis names
class|ndcg1|dollars|full|xgb|BASE	granularity_x_obj	77.2	-171.96	-346.87	0.8295	0.56	10.3	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|ndcg3|dollars|last2|xgb|DIP	pop_x_feat	75.52	-173.64	-299.1	0.8333	0.5597	103.3	LIVE	training population
cell|dpairs|winner|full|xgb|DAYSOFAR	obj_x_target	73.67	-175.49	-411.49	0.9413	0.7292	99.8	LIVE	objective x target at group=cell
cell|ndcg3|maecap|full|xgb|CELLREL	obj_x_target	69.7	-179.46	-360.62	0.886	0.4749	99.8	LIVE	objective x target at group=cell
cell|ndcg1|maecap|full|xgb|CELLREL	obj_x_target	69.7	-179.46	-360.62	0.886	0.4749	99.8	LIVE	objective x target at group=cell
cell|ndcg3|dollars|last2|xgb|BASE	pop_x_feat	67.26	-181.91	-383.83	0.8352	0.5491	103.3	LIVE	training population
class|dpairs|dollars|full|xgb|BASE	granularity_x_obj	63.73	-185.44	-354.26	0.7534	0.4255	10.3	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
assetday|ndcg3|dollars|full|xgb|DAYSOFAR	marquee	60.43	-188.74	-362.56	0.7989	0.4036	366.5	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg3|maecap|classfilt|xgb|CELLREL	pop_x_target	57.58	-191.58	-281.07	0.8897	0.4748	92.8	LIVE	population x target at the marquee feature set
cell|q75|dollars|full|xgb|CELLREL	granularity_x_obj	55.24	-193.93	-286.14	0.4974	0.2275	99.8	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|dpairs|winner|full|xgb|DIP	obj_x_target	53.63	-195.54	-316.4	0.945	0.7269	99.8	LIVE	objective x target at group=cell
cell|dpairs|dollars|full|xgb|TABPFN	obj_x_target	52.88	-196.29	-275.74	0.6023	0.2669	99.8	LIVE	objective x target at group=cell
class|dpairs|dollars|full|xgb|CELLREL	granularity_x_obj	52.72	-196.45	-453.44	0.7618	0.4331	10.3	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|q75|maecap|full|xgb|TABPFN	obj_x_target	52.05	-197.11	-365.28	0.2547	0.1682	99.8	LIVE	objective x target at group=cell
cell|dpairs|maecap|full|xgb|DAYSOFAR	obj_x_target	51.97	-197.19	-384.01	0.8169	0.4245	99.8	LIVE	objective x target at group=cell
cell|dpairs|winner|full|xgb|BASE	obj_x_target	51.48	-197.69	-347.14	0.9424	0.7173	99.8	LIVE	objective x target at group=cell
cell|ndcg3|winner|recency|xgb|CELLREL	pop_x_target	51.17	-197.99	-377.06	0.8338	0.635	99.8	LIVE	population x target at the marquee feature set
cellclass|dpairs|dollars|full|xgb|BASE	granularity_x_obj	51.07	-198.09	-349.98	0.7217	0.3801	7.0	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|ndcg3|winner|full|lgbm|BASE	engine_x_target	50.56	-198.61	-266.39	0.9994	0.9118	99.8	LIVE	engine x target at the reference feature set
cellclass|dpairs|dollars|full|xgb|CELLREL	granularity_x_obj	49.35	-199.82	-326.09	0.7256	0.3902	7.0	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|dpairs|maecap|full|xgb|BASE	obj_x_target	48.18	-200.99	-354.87	0.8149	0.4285	99.8	LIVE	objective x target at group=cell
cell|q75|dollars|full|lgbm|BASE	engine_x_obj	47.83	-201.34	-420.25	0.6151	0.306	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg3|maecap|full|lgbm|BASE	engine_x_target	47.65	-201.52	-291.72	0.9603	0.638	99.8	LIVE	engine x target at the reference feature set
day|ndcg3|dollars|full|xgb|CELLREL	marquee	47.3	-201.86	-347.58	0.7602	0.3939	1049.7	LIVE	grouping x feature-set, the two axes the diagnosis names
day|ndcg1|dollars|full|xgb|CELLREL	granularity_x_obj	47.3	-201.86	-347.58	0.7602	0.3939	1049.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
class|ndcg3|dollars|full|xgb|DIP	marquee	42.65	-206.51	-322.94	0.8389	0.5644	10.3	LIVE	grouping x feature-set, the two axes the diagnosis names
joint|ndcg3|dollars|last2|xgb|CELLREL	joint	41.74	-207.43	-330.78	0.8112	0.519	512.8	LIVE	OBJ-1 x population x target
joint|ndcg3|maecap|last2|xgb|CELLREL	joint	41.74	-207.43	-330.78	0.8112	0.519	512.8	LIVE	OBJ-1 x population x target
cell|q75|dollars|full|xgb|DIP	obj_x_target	40.64	-208.53	-231.77	0.492	0.2247	99.8	LIVE	objective x target at group=cell
joint|q75|dollars|full|xgb|DIP	joint	38.8	-210.37	-397.58	0.4822	0.2222	495.7	LIVE	OBJ-1: the {member x delay} choice set
class|ndcg3|dollars|full|xgb|DAYSOFAR	marquee	32.76	-216.41	-332.15	0.8373	0.5602	10.3	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg3|winner|full|xgb|DIP	obj_x_target	32.53	-216.64	-327.17	0.9024	0.654	99.8	LIVE	objective x target at group=cell
cell|ndcg1|winner|full|xgb|DIP	obj_x_target	32.53	-216.64	-327.17	0.9024	0.654	99.8	LIVE	objective x target at group=cell
cell|q75|dollars|full|catb|CELLREL	engine_x_obj	32.01	-217.16	-416.48	0.4712	0.1569	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg3|maecap|full|xgb|DAYSOFAR	obj_x_target	30.69	-218.48	-318.77	0.8611	0.4514	99.8	LIVE	objective x target at group=cell
cell|ndcg1|maecap|full|xgb|DAYSOFAR	obj_x_target	30.69	-218.48	-318.77	0.8611	0.4514	99.8	LIVE	objective x target at group=cell
cell|q75|cellrank|full|xgb|DIP	obj_x_target	28.44	-220.73	-252.76	0.6077	0.6907	99.8	LIVE	objective x target at group=cell
cell|q75|maecap|full|xgb|BASE	obj_x_target	26.52	-222.65	-337.25	0.2589	0.1699	99.8	LIVE	objective x target at group=cell
assetday|ndcg3|dollars|full|xgb|CELLREL	marquee	24.06	-225.1	-310.24	0.8143	0.4336	366.5	LIVE	grouping x feature-set, the two axes the diagnosis names
assetday|ndcg1|dollars|full|xgb|CELLREL	granularity_x_obj	24.06	-225.1	-310.24	0.8143	0.4336	366.5	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|dpairs|winner|full|xgb|TABPFN	obj_x_target	23.93	-225.23	-369.91	0.9459	0.7227	99.8	LIVE	objective x target at group=cell
day|dpairs|dollars|full|xgb|BASE	granularity_x_obj	22.65	-226.51	-384.71	0.654	0.2456	1049.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|q75|dollars|full|xgb|TABPFN	obj_x_target	22.21	-226.95	-299.86	0.5056	0.2177	99.8	LIVE	objective x target at group=cell
joint|ndcg3|dollars|full|xgb|DIP	marquee	21.81	-227.36	-393.71	0.6971	0.3807	495.7	LIVE	grouping x feature-set, the two axes the diagnosis names
joint|ndcg1|dollars|full|xgb|DIP	joint	21.81	-227.36	-393.71	0.6971	0.3807	495.7	LIVE	OBJ-1: the {member x delay} choice set
cell|q75|dollars|recency|xgb|CELLREL	pop_x_obj	21.23	-227.94	-365.14	0.475	0.189	99.8	LIVE	population x objective at the marquee feature set
cell|q75|maecap|full|xgb|DAYSOFAR	obj_x_target	19.95	-229.21	-328.01	0.2565	0.1779	99.8	LIVE	objective x target at group=cell
assetday|ndcg3|dollars|full|xgb|BASE	marquee	19.15	-230.02	-359.83	0.7906	0.4163	366.5	LIVE	grouping x feature-set, the two axes the diagnosis names
assetday|ndcg1|dollars|full|xgb|BASE	granularity_x_obj	19.15	-230.02	-359.83	0.7906	0.4163	366.5	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
joint|q75|dollars|full|xgb|CELLREL	granularity_x_obj	17.44	-231.73	-371.04	0.4844	0.2309	495.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|ndcg3|maecap|full|xgb|TABPFN	obj_x_target	16.98	-232.19	-391.29	0.8586	0.4524	99.8	LIVE	objective x target at group=cell
cell|ndcg1|maecap|full|xgb|TABPFN	obj_x_target	16.98	-232.19	-391.29	0.8586	0.4524	99.8	LIVE	objective x target at group=cell
cell|dpairs|maecap|full|xgb|TABPFN	obj_x_target	14.54	-234.63	-344.55	0.7995	0.4233	99.8	LIVE	objective x target at group=cell
cell|dpairs|winner|full|xgb|CELLREL	obj_x_target	13.51	-235.65	-354.9	0.9493	0.7526	99.8	LIVE	objective x target at group=cell
cell|q75|maecap|full|xgb|CELLREL	obj_x_target	11.95	-237.21	-367.84	0.2546	0.1832	99.8	LIVE	objective x target at group=cell
cell|dpairs|dollars|last2|xgb|CELLREL	pop_x_obj	9.49	-239.67	-330.65	0.7444	0.3797	103.3	LIVE	population x objective at the marquee feature set
cell|q75|cellrank|full|xgb|BASE	obj_x_target	8.08	-241.08	-339.8	0.611	0.6919	99.8	LIVE	objective x target at group=cell
cell|q75|cellrank|full|xgb|TABPFN	obj_x_target	7.15	-242.01	-308.95	0.6096	0.6899	99.8	LIVE	objective x target at group=cell
cell|ndcg3|winner|full|xgb|CELLREL	obj_x_target	7.14	-242.03	-303.09	0.9299	0.6986	99.8	LIVE	objective x target at group=cell
cell|ndcg1|winner|full|xgb|CELLREL	obj_x_target	7.14	-242.03	-303.09	0.9299	0.6986	99.8	LIVE	objective x target at group=cell
joint|q75|dollars|full|xgb|TABPFN	joint	6.87	-242.29	-438.1	0.4824	0.2244	495.7	LIVE	OBJ-1: the {member x delay} choice set
cell|ndcg3|maecap|recency|xgb|CELLREL	pop_x_target	5.93	-243.23	-316.14	0.8048	0.4348	99.8	LIVE	population x target at the marquee feature set
class|ndcg3|dollars|full|xgb|TABPFN	marquee	5.88	-243.28	-328.49	0.8404	0.5614	10.3	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg3|dollars|full|lgbm|BASE	engine_x_obj	1.26	-247.91	-361.12	0.8981	0.598	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg1|dollars|full|lgbm|BASE	engine_x_obj	1.26	-247.91	-361.12	0.8981	0.598	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
class|ndcg3|dollars|full|xgb|CELLREL	marquee	0.55	-248.61	-406.33	0.8363	0.5781	10.3	LIVE	grouping x feature-set, the two axes the diagnosis names
class|ndcg1|dollars|full|xgb|CELLREL	granularity_x_obj	0.55	-248.61	-406.33	0.8363	0.5781	10.3	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|q75|dollars|last2|xgb|CELLREL	pop_x_obj	-0.12	-249.28	-334.88	0.6408	0.2959	103.3	LIVE	population x objective at the marquee feature set
cell|ndcg3|winner|full|xgb|BASE	obj_x_target	-1.63	-250.8	-423.6	0.9144	0.6593	99.8	LIVE	objective x target at group=cell
cell|ndcg1|winner|full|xgb|BASE	obj_x_target	-1.63	-250.8	-423.6	0.9144	0.6593	99.8	LIVE	objective x target at group=cell
cell|q75|dollars|classfilt|xgb|CELLREL	pop_x_obj	-1.68	-250.84	-330.65	0.4999	0.2351	92.8	LIVE	population x objective at the marquee feature set
assetday|ndcg3|dollars|full|xgb|DIP	marquee	-2.47	-251.64	-352.39	0.797	0.4215	366.5	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|ndcg3|maecap|last2|xgb|CELLREL	pop_x_target	-4.0	-253.16	-366.47	0.9355	0.6492	103.3	LIVE	population x target at the marquee feature set
cell|dpairs|maecap|full|xgb|DIP	obj_x_target	-4.25	-253.41	-306.02	0.8091	0.4299	99.8	LIVE	objective x target at group=cell
