# TEACHER_CUE_LEDGER v1 (R2-11)
# ONE cumulative ledger: every named cue, every round, forever (R2-11).
# Each round appends a column block rN_*; NOTHING is ever deleted, a cue that dies stays with its verdict.
# round 1 = E6 TEACHER ROUND (2024-H1, 6 days: 3 study + 3 sealed blind; 4,227 episodes; blind base 0.0715, all-days base 0.0660).
# source: provenance/port_m2/E6_CUE_CENSUS.tsv (+ E6_EXTRACTION.md, design/TEACHER_FEATURES_V1.md); target = winner_close (D-021).
# verdicts: PROVEN/SUPPORTED/FALSIFIED/INVERTED/CONFOUNDED/NULL/HYPOTHESIS, graded by TEACHER_FEATURES_V1 §0 applied mechanically here.
# ROUND 2 (E6R2, 2026-08-16): study block = 2024-04-15/17/18, three HIGH-vol days, 2,320 episodes,
# measured by engine/port_m2/library_retest.py (D-059.2 library re-test).  New cues born in round 2:
# one_side_pull (cancel-retreat asymmetry) FALSIFIED by its own census on 926 episodes (0.96x/1.07x);
# ask_reload/bid_reload (reload_with_side) SUPPORTED-WEAK: 1.19x/1.11x/1.08x, direction consistent 3/3,
# n=1,122 — the only cue in this programme derived from the raw event sequence that survived a census.
# CAVEAT ON reload_*: the implementation counts a touch price being LEFT and RETURNED TO, which is
# oscillation around a level, not the verbal story ('the side being consumed keeps re-posting').
# The number is real; the name may be wrong.  Next round must re-derive it from the definition it wants.
cue	predicate	first_named	reader_polarity	r1_blind_n	r1_blind_lift	r1_blind_p	r1_all_n	r1_all_lift	r1_perday_dir	r1_verdict	r1_note	r2_study_n	r2_study_lift_0415	r2_study_lift_0417	r2_study_lift_0418	r2_verdict	r2_note
level_at_price	abs(near_d)<=10	R1_E6	POSITIVE	636	0.836	0.28	1367	0.853	4/6	FALSIFIED	named as positive evidence, measured at/below base	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
level_near	abs(near_d)<=60	R1_E6	POSITIVE	1843	0.972	0.79	3650	1.000	3/6	FALSIFIED	named as positive evidence, measured at/below base	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
level_tested_held	level_near AND min_tc_near>=1	R1_E6	POSITIVE	1589	0.881	0.21	3119	0.913	3/6	INVERTED	complement LEVEL_VIRGIN is the live cue	1837	1.11	0.98	0.96	NULL	no longer clearly inverted, simply uninformative
one_sided_flow	f5m_sflow*side>0 AND fph_sflow*side>0	R1_E6	POSITIVE	674	0.997	1	1311	1.167	1/6	FALSIFIED	named as positive evidence, measured at/below base	720	0.75	0.91	0.46	FALSIFIED_AGAIN	negative 3/3 — the round-1 falsification is strengthened
phase_open	(sec-phase_open_sec)/(phase_close_sec-phase_open_sec)<=0.15	R1_E6	DERIVED	299	1.591	0.0069	597	1.396	3/6	UNSTABLE	blind p<0.01 but direction only 3/6 days — pooled edge, not a per-day fact	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
phase_open_reset	phase_open AND unspent_phase_usd>=400	R1_E6	POSITIVE	288	1.652	0.004	578	1.442	3/6	UNSTABLE	blind p<0.01 but direction only 3/6 days — pooled edge, not a per-day fact	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
poc_magnet	d_POC*side>0 AND abs(d_POC)>=200	R1_E6	POSITIVE	788	0.870	0.33	1429	1.071	3/6	FALSIFIED	named as positive evidence, measured at/below base	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
refill_book	refill_frac>=0.60	R1_E6	POSITIVE	913	1.104	0.37	1753	1.141	4/6	NULL	at base rate, not significant	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
runway_ok	runway_phase>=2400	R1_E6	POSITIVE	2085	1.067	0.4	3980	1.058	6/6	NULL	at base rate, not significant	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
stale_extreme	extreme_age>6000	R1_E6	NEGATIVE	914	0.781	0.072	1785	0.959	3/6	NULL	not significant (p=0.072)	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
tmz_burst	trades_min_z>=3	R1_E6	POSITIVE	467	0.899	0.65	846	1.057	3/6	FALSIFIED	named as positive evidence, measured at/below base	530	0.79	0.65	1.03	FALSIFIED_AGAIN	negative 2/3
wide_spread	spread_dec>=50	R1_E6	NEGATIVE	764	1.337	0.014	1366	1.220	5/6	CONFOUNDED	direction real, mechanism is asset identity	730	1.20	2.01	1.04	CONFOUNDED	still an asset dummy (NKD)
REFAIL_CHAIN	pivot-chain refail on the adverse side (NOT COMPUTABLE r1)	R1_E6	POSITIVE	0	-	-	0	-	0/6	HYPOTHESIS	E6-H1; no pivot chain in the reading surface — build order in TEACHER_FEATURES_V1 TF-H2	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
FLOW_FLIP_SEQ	ordered S6 digest-cluster sign sequence (NOT COMPUTABLE r1)	R1_E6	POSITIVE	0	-	-	0	-	0/6	HYPOTHESIS	E6-H2; only 2-window proxy existed (0.96x); true ordered form not built (TF-H3)	-	-	-	-	NOT_REMEASURED	not computable or not re-measured in round 2
