# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# S1 — THE HORIZON-ALIGNMENT PASS.  The champion's TARGET is retg|e30|SESS_CLOSE (m3_matrix.py:37,1445) while the replay CASHES AT PHASE CLOSE (m3_walk.py:218-219, m2_delay.py:239).  This table prices the object at the three exit horizons the mismatch spans, with the entries, the schedule and the $900 wall unchanged.
# THE WALL STAYS LIVE THROUGH THE EXTENDED HOLD: a leg whose adverse skeleton reaches $900 at or before the horizon pays -900 - cost at the wall second (m2_delay._close_cert, imported).
# SAME SESSION ONLY: SESS = s.n - 1, the roster's own sess_close_sec (c_c_roster.py:294).  No overnight hold exists in this table.
# RED FIRST: the PHASE column reproduces the committed matrix certificate/exit/wall EXACTLY and its replay reproduces m3_walk.replay_rows seat-for-seat (verify.receipt.json).
# ARM = the deployed folded members (FOLD_<era>_<seed>: per-era strictness k, W_VOLMATCH, monotone, promoted HP) with the adopted FIRST-WALL STOP.  5 seeds, mean +/- sd.  PROMOTION = delta_minus_sd > 0 against the PHASE incumbent on the same days.
# TREND_T3 / TREND_T10 = days whose DAY-START forecaster call (fc_p_expansion at the day's first anchor) sits in the top third / top decile of the TRAINING BLOCK's day-start distribution.  The threshold uses strictly prior eras only.
# aim_08ceiling = 0.80 x the horizon's own foresight ceiling; ceiling_supports_floor = the ceiling can carry the $2,000 floor at 0.8 capture.
era	criterion	asset	day_set	trend_thr	horizon	n_sessions	n_seeds	armed_mean	armed_sd	raw_mean	raw_sd	seats_per_session	foresight_ceiling	armed_capture	aim_08ceiling	gap_to_aim	ceiling_supports_floor	gap_to_floor_2000	delta_vs_phase	delta_minus_sd	promotes
E5	BINDING	NKD	ALL_DAYS		NEXT	129	5	1088.17	28.43	1129.61	23.53	1.859	2490.19	0.437	1992.16	-903.99	0	-911.83	-243.45	-271.88	no
E5	BINDING	NKD	ALL_DAYS		SESS	129	5	678.51	16.7	713.27	14.95	1.0	1724.26	0.3935	1379.41	-700.9	0	-1321.49	-653.1	-669.81	no
E5	BINDING	ALL	TREND_T3	0.2695	PHASE	99	5	1244.05	44.36	1419.57	35.22	2.651	3115.87	0.3993	2492.7	-1248.65	1	-755.95	0.0	-44.36	no
E5	BINDING	ALL	TREND_T3	0.2695	NEXT	99	5	959.31	39.03	1103.09	34.33	1.768	2693.28	0.3562	2154.63	-1195.32	1	-1040.69	-284.74	-323.77	no
E5	BINDING	ALL	TREND_T3	0.2695	SESS	99	5	440.18	17.61	590.12	30.14	1.0	1860.57	0.2366	1488.45	-1048.28	0	-1559.82	-803.87	-821.48	no
E5	BINDING	SI	TREND_T3	0.2695	PHASE	48	5	1006.73	45.48	1275.47	41.34	2.55	3066.51	0.3283	2453.21	-1446.48	1	-993.27	0.0	-45.48	no
E5	BINDING	SI	TREND_T3	0.2695	NEXT	48	5	727.64	42.47	928.22	52.84	1.692	2670.21	0.2725	2136.17	-1408.53	1	-1272.36	-279.09	-321.56	no
E5	BINDING	SI	TREND_T3	0.2695	SESS	48	5	78.8	16.38	287.08	55.19	1.0	1746.51	0.0451	1397.21	-1318.41	0	-1921.2	-927.93	-944.3	no
E5	BINDING	HG	TREND_T3	0.2695	PHASE	2	5	493.75	128.35	493.75	128.35	3.0	2400.62	0.2057	1920.5	-1426.75	0	-1506.25	0.0	-128.35	no
E5	BINDING	HG	TREND_T3	0.2695	NEXT	2	5	390.13	127.94	314.38	128.35	1.6	2071.25	0.1884	1657.0	-1266.87	0	-1609.87	-103.63	-231.56	no
E5	BINDING	HG	TREND_T3	0.2695	SESS	2	5	-270.0	145.75	-376.87	109.91	1.0	1785.62	-0.1512	1428.5	-1698.5	0	-2270.0	-763.75	-909.5	no
E5	BINDING	NKD	TREND_T3	0.2695	PHASE	49	5	1507.14	55.35	1598.52	42.63	2.735	3193.42	0.472	2554.73	-1047.59	1	-492.86	0.0	-55.35	no
E5	BINDING	NKD	TREND_T3	0.2695	NEXT	49	5	1209.48	47.3	1306.58	33.27	1.849	2741.28	0.4412	2193.02	-983.54	1	-790.52	-297.66	-344.96	no
E5	BINDING	NKD	TREND_T3	0.2695	SESS	49	5	823.16	38.52	926.45	28.22	1.0	1975.36	0.4167	1580.29	-757.12	0	-1176.84	-683.98	-722.5	no
E6	BINDING	ALL	ALL_DAYS		PHASE	384	5	1127.57	458.73	1331.37	381.79	2.476	3366.93	0.3349	2693.55	-1565.98	1	-872.43	0.0	-458.73	no
E6	BINDING	ALL	ALL_DAYS		NEXT	384	5	969.71	366.9	1023.61	341.62	1.736	2936.29	0.3302	2349.03	-1379.32	1	-1030.29	-157.86	-524.76	no
E6	BINDING	ALL	ALL_DAYS		SESS	384	5	499.67	277.08	577.42	272.69	1.0	2003.73	0.2494	1602.98	-1103.31	0	-1500.33	-627.9	-904.97	no
E6	BINDING	SI	ALL_DAYS		PHASE	128	5	1234.18	512.63	1628.34	371.54	2.348	4189.39	0.2946	3351.52	-2117.34	1	-765.82	0.0	-512.63	no
E6	BINDING	SI	ALL_DAYS		NEXT	128	5	1167.59	431.01	1228.82	394.67	1.7	3722.62	0.3136	2978.09	-1810.5	1	-832.41	-66.58	-497.6	no
E6	BINDING	SI	ALL_DAYS		SESS	128	5	497.05	371.66	592.82	386.98	1.0	2376.11	0.2092	1900.89	-1403.84	0	-1502.95	-737.13	-1108.78	no
E6	BINDING	HG	ALL_DAYS		PHASE	128	5	948.61	319.43	1051.68	252.72	2.603	2522.89	0.376	2018.31	-1069.71	1	-1051.39	0.0	-319.43	no
E6	BINDING	HG	ALL_DAYS		NEXT	128	5	699.31	225.84	753.14	174.72	1.766	2117.83	0.3302	1694.27	-994.96	0	-1300.69	-249.3	-475.14	no
E6	BINDING	HG	ALL_DAYS		SESS	128	5	281.32	222.15	368.74	174.71	1.0	1423.38	0.1976	1138.7	-857.38	0	-1718.68	-667.29	-889.43	no
E6	BINDING	NKD	ALL_DAYS		PHASE	128	5	1199.92	563.26	1314.1	529.27	2.477	3388.52	0.3541	2710.81	-1510.89	1	-800.08	0.0	-563.26	no
E6	BINDING	NKD	ALL_DAYS		NEXT	128	5	1042.23	452.26	1088.86	461.82	1.742	2968.42	0.3511	2374.73	-1332.51	1	-957.77	-157.7	-609.95	no
E6	BINDING	NKD	ALL_DAYS		SESS	128	5	720.64	240.43	770.71	259.27	1.0	2211.7	0.3258	1769.36	-1048.71	0	-1279.36	-479.28	-719.71	no
E6	BINDING	ALL	TREND_T3	0.2655	PHASE	141	5	1362.78	540.73	1657.51	431.79	2.428	4151.36	0.3283	3321.09	-1958.31	1	-637.22	0.0	-540.73	no
E6	BINDING	ALL	TREND_T3	0.2655	NEXT	141	5	1207.98	415.92	1286.2	350.07	1.699	3654.72	0.3305	2923.77	-1715.8	1	-792.02	-154.8	-570.73	no
E6	BINDING	ALL	TREND_T3	0.2655	SESS	141	5	719.5	325.95	826.11	296.88	1.0	2538.84	0.2834	2031.07	-1311.57	1	-1280.5	-643.27	-969.23	no
E6	BINDING	SI	TREND_T3	0.2655	PHASE	48	5	1441.79	558.74	1939.11	436.77	2.308	5228.23	0.2758	4182.58	-2740.79	1	-558.21	0.0	-558.74	no
E6	BINDING	SI	TREND_T3	0.2655	NEXT	48	5	1450.81	426.69	1507.98	302.73	1.65	4785.31	0.3032	3828.25	-2377.44	1	-549.19	9.02	-417.67	no
E6	BINDING	SI	TREND_T3	0.2655	SESS	48	5	817.24	473.24	903.05	413.75	1.0	3218.8	0.2539	2575.04	-1757.8	1	-1182.76	-624.55	-1097.8	no
E6	BINDING	HG	TREND_T3	0.2655	PHASE	39	5	1310.06	435.41	1486.12	275.58	2.456	3553.11	0.3687	2842.49	-1532.43	1	-689.94	0.0	-435.41	no
E6	BINDING	HG	TREND_T3	0.2655	NEXT	39	5	991.29	334.86	1088.51	174.86	1.703	2945.45	0.3366	2356.36	-1365.06	1	-1008.71	-318.76	-653.62	no
E6	BINDING	HG	TREND_T3	0.2655	SESS	39	5	419.1	286.51	595.35	142.07	1.0	2112.34	0.1984	1689.87	-1270.77	0	-1580.9	-890.96	-1177.46	no
E6	BINDING	NKD	TREND_T3	0.2655	PHASE	54	5	1330.62	637.19	1530.97	551.89	2.515	3626.2	0.3669	2900.96	-1570.34	1	-669.38	0.0	-637.19	no
E6	BINDING	NKD	TREND_T3	0.2655	NEXT	54	5	1148.61	505.39	1231.84	543.76	1.741	3161.99	0.3633	2529.59	-1380.98	1	-851.39	-182.01	-687.4	no
E6	BINDING	NKD	TREND_T3	0.2655	SESS	54	5	849.58	243.04	924.38	316.19	1.0	2242.45	0.3789	1793.96	-944.38	0	-1150.42	-481.04	-724.08	no
E6	BINDING	ALL	TREND_T10	0.3518	PHASE	48	5	1409.15	781.81	1652.66	546.61	2.446	4521.2	0.3117	3616.96	-2207.81	1	-590.85	0.0	-781.81	no
E6	BINDING	ALL	TREND_T10	0.3518	NEXT	48	5	1171.07	704.13	1240.62	535.34	1.708	3837.14	0.3052	3069.71	-1898.64	1	-828.93	-238.08	-942.21	no
E6	BINDING	ALL	TREND_T10	0.3518	SESS	48	5	690.94	446.56	745.43	375.58	1.0	2821.2	0.2449	2256.96	-1566.02	1	-1309.06	-718.21	-1164.77	no
E6	BINDING	SI	TREND_T10	0.3518	PHASE	13	5	1393.12	1057.69	1333.65	1063.84	2.338	5667.69	0.2458	4534.15	-3141.04	1	-606.88	0.0	-1057.69	no
E6	BINDING	SI	TREND_T10	0.3518	NEXT	13	5	1136.0	1131.43	1108.69	1014.93	1.646	5150.58	0.2206	4120.46	-2984.46	1	-864.0	-257.12	-1388.54	no
E6	BINDING	SI	TREND_T10	0.3518	SESS	13	5	1100.58	939.13	909.23	931.39	1.0	4088.27	0.2692	3270.62	-2170.04	1	-899.42	-292.54	-1231.67	no
E6	BINDING	HG	TREND_T10	0.3518	PHASE	15	5	1554.92	445.09	1962.67	213.83	2.4	4397.5	0.3536	3518.0	-1963.08	1	-445.08	0.0	-445.09	no
E6	BINDING	HG	TREND_T10	0.3518	NEXT	15	5	1158.02	275.65	1381.18	194.95	1.68	3506.67	0.3302	2805.33	-1647.32	1	-841.98	-396.9	-672.55	no
E6	BINDING	HG	TREND_T10	0.3518	SESS	15	5	300.67	118.12	672.97	204.0	1.0	2542.17	0.1183	2033.73	-1733.07	1	-1699.33	-1254.25	-1372.37	no
E6	BINDING	NKD	TREND_T10	0.3518	PHASE	20	5	1310.25	945.39	1627.5	639.44	2.55	3868.75	0.3387	3095.0	-1784.75	1	-689.75	0.0	-945.39	no
E6	BINDING	NKD	TREND_T10	0.3518	NEXT	20	5	1203.65	829.3	1220.95	725.46	1.77	3231.25	0.3725	2585.0	-1381.35	1	-796.35	-106.6	-935.9	no
E6	BINDING	NKD	TREND_T10	0.3518	SESS	20	5	717.38	480.14	693.3	463.21	1.0	2206.88	0.3251	1765.5	-1048.12	0	-1282.62	-592.88	-1073.01	no
E7	BINDING	ALL	ALL_DAYS		PHASE	393	5	1633.52	16.29	1842.58	11.03	2.563	4085.25	0.3999	3268.2	-1634.68	1	-366.48	0.0	-16.29	no
E7	BINDING	ALL	ALL_DAYS		NEXT	393	5	1345.52	21.16	1446.27	23.51	1.742	3525.59	0.3816	2820.47	-1474.96	1	-654.48	-288.01	-309.16	no
E7	BINDING	ALL	ALL_DAYS		SESS	393	5	767.77	17.63	895.08	14.87	1.0	2480.3	0.3095	1984.24	-1216.47	0	-1232.23	-865.75	-883.38	no
E7	BINDING	SI	ALL_DAYS		PHASE	131	5	1878.13	60.03	2115.42	46.78	2.539	4699.89	0.3996	3759.91	-1881.78	1	-121.87	0.0	-60.03	no
E7	BINDING	SI	ALL_DAYS		NEXT	131	5	1585.99	56.18	1701.91	56.62	1.748	4140.48	0.383	3312.38	-1726.39	1	-414.01	-292.13	-348.31	no
E7	BINDING	SI	ALL_DAYS		SESS	131	5	799.68	36.9	961.22	45.61	1.0	2780.94	0.2876	2224.75	-1425.07	1	-1200.32	-1078.45	-1115.35	no
E7	BINDING	HG	ALL_DAYS		PHASE	131	5	1183.94	9.04	1240.52	10.05	2.736	2605.32	0.4544	2084.26	-900.31	1	-816.06	0.0	-9.04	no
E7	BINDING	HG	ALL_DAYS		NEXT	131	5	812.48	8.19	872.04	8.65	1.78	2192.96	0.3705	1754.37	-941.88	0	-1187.52	-371.46	-379.65	no
E7	BINDING	HG	ALL_DAYS		SESS	131	5	340.16	10.56	404.3	15.51	1.0	1492.28	0.2279	1193.82	-853.66	0	-1659.84	-843.78	-854.34	no
E7	BINDING	NKD	ALL_DAYS		PHASE	131	5	1838.5	64.35	2171.79	43.51	2.415	4950.55	0.3714	3960.44	-2121.95	1	-161.5	0.0	-64.35	no
E7	BINDING	NKD	ALL_DAYS		NEXT	131	5	1638.08	44.08	1764.87	37.59	1.698	4243.34	0.386	3394.67	-1756.6	1	-361.92	-200.42	-244.5	no
E7	BINDING	NKD	ALL_DAYS		SESS	131	5	1163.47	40.28	1319.71	34.29	1.0	3167.69	0.3673	2534.15	-1370.68	1	-836.53	-675.02	-715.3	no
E7	BINDING	ALL	TREND_T3	0.2668	PHASE	116	5	1883.17	34.1	2258.39	25.57	2.355	5627.73	0.3346	4502.18	-2619.01	1	-116.83	0.0	-34.1	no
E7	BINDING	ALL	TREND_T3	0.2668	NEXT	116	5	1665.71	42.17	1813.75	71.91	1.669	4931.7	0.3378	3945.36	-2279.66	1	-334.29	-217.46	-259.63	no
E7	BINDING	ALL	TREND_T3	0.2668	SESS	116	5	987.18	35.24	1145.97	35.83	1.0	3440.42	0.2869	2752.34	-1765.16	1	-1012.82	-895.99	-931.23	no
E7	BINDING	SI	TREND_T3	0.2668	PHASE	64	5	1954.38	85.74	2228.2	72.27	2.397	5395.35	0.3622	4316.28	-2361.9	1	-45.62	0.0	-85.74	no
E7	BINDING	SI	TREND_T3	0.2668	NEXT	64	5	1749.45	91.19	1794.84	121.08	1.712	4838.83	0.3615	3871.06	-2121.62	1	-250.55	-204.94	-296.13	no
E7	BINDING	SI	TREND_T3	0.2668	SESS	64	5	938.12	27.23	992.07	86.17	1.0	3337.66	0.2811	2670.12	-1732.0	1	-1061.88	-1016.26	-1043.49	no
E7	BINDING	HG	TREND_T3	0.2668	PHASE	14	5	1222.84	60.95	1459.38	30.52	2.486	3241.7	0.3772	2593.36	-1370.52	1	-777.16	0.0	-60.95	no
E7	BINDING	HG	TREND_T3	0.2668	NEXT	14	5	774.71	56.1	948.3	55.27	1.629	2904.29	0.2667	2323.43	-1548.71	1	-1225.29	-448.12	-504.23	no
E7	BINDING	HG	TREND_T3	0.2668	SESS	14	5	536.07	44.28	708.86	49.68	1.0	2275.8	0.2356	1820.64	-1284.57	0	-1463.93	-686.77	-731.05	no
E7	BINDING	NKD	TREND_T3	0.2668	PHASE	38	5	2006.51	99.28	2603.62	106.4	2.237	6898.16	0.2909	5518.53	-3512.01	1	6.51	0.0	-99.28	no
E7	BINDING	NKD	TREND_T3	0.2668	NEXT	38	5	1852.93	61.79	2164.45	83.54	1.611	5835.07	0.3176	4668.05	-2815.12	1	-147.07	-153.58	-215.37	no
E7	BINDING	NKD	TREND_T3	0.2668	SESS	38	5	1235.99	134.33	1566.2	101.95	1.0	4042.57	0.3057	3234.05	-1998.07	1	-764.01	-770.53	-904.85	no
E7	BINDING	ALL	TREND_T10	0.3575	PHASE	34	5	2095.24	164.76	2710.4	146.76	2.247	7013.12	0.2988	5610.5	-3515.26	1	95.24	0.0	-164.76	no
E7	BINDING	ALL	TREND_T10	0.3575	NEXT	34	5	1767.45	124.57	2136.28	104.49	1.576	5974.01	0.2959	4779.21	-3011.76	1	-232.55	-327.79	-452.35	no
E7	BINDING	ALL	TREND_T10	0.3575	SESS	34	5	1283.64	187.69	1674.06	120.62	1.0	4242.28	0.3026	3393.82	-2110.18	1	-716.36	-811.6	-999.28	no
E7	BINDING	HG	TREND_T10	0.3575	PHASE	7	5	1397.64	127.84	1579.11	66.86	2.686	3319.82	0.421	2655.86	-1258.21	1	-602.36	0.0	-127.84	no
E7	BINDING	HG	TREND_T10	0.3575	NEXT	7	5	887.11	57.32	1019.21	69.94	1.686	3021.25	0.2936	2417.0	-1529.89	1	-1112.89	-510.54	-567.85	no
E7	BINDING	HG	TREND_T10	0.3575	SESS	7	5	725.89	57.58	858.0	70.69	1.0	2420.0	0.3	1936.0	-1210.11	0	-1274.11	-671.75	-729.33	no
E7	BINDING	NKD	TREND_T10	0.3575	PHASE	27	5	2276.09	199.32	3003.7	173.74	2.133	7970.65	0.2856	6376.52	-4100.43	1	276.09	0.0	-199.32	no
E7	BINDING	NKD	TREND_T10	0.3575	NEXT	27	5	1995.69	166.94	2425.89	133.42	1.548	6739.54	0.2961	5391.63	-3395.94	1	-4.31	-280.41	-447.35	no
E7	BINDING	NKD	TREND_T10	0.3575	SESS	27	5	1428.24	245.29	1885.63	163.06	1.0	4714.72	0.3029	3771.78	-2343.54	1	-571.76	-847.85	-1093.14	no
E3	context	ALL	ALL_DAYS		PHASE	390	5	866.04	63.77	1067.53	79.53	2.462	2969.1	0.2917	2375.28	-1509.24	1	-1133.96	0.0	-63.77	no
E3	context	ALL	ALL_DAYS		NEXT	390	5	577.77	76.27	755.57	83.77	1.676	2527.16	0.2286	2021.73	-1443.97	1	-1422.23	-288.28	-364.55	no
E3	context	ALL	ALL_DAYS		SESS	390	5	315.36	29.4	505.61	46.6	1.0	1566.32	0.2013	1253.05	-937.69	0	-1684.64	-550.69	-580.09	no
E3	context	SI	ALL_DAYS		PHASE	130	5	951.83	98.28	1314.3	116.17	2.357	3671.35	0.2593	2937.08	-1985.25	1	-1048.17	0.0	-98.28	no
E3	context	SI	ALL_DAYS		NEXT	130	5	589.15	73.37	907.14	113.82	1.578	3159.42	0.1865	2527.54	-1938.39	1	-1410.85	-362.68	-436.05	no
E3	context	SI	ALL_DAYS		SESS	130	5	288.17	26.01	639.29	52.86	1.0	1753.6	0.1643	1402.88	-1114.7	0	-1711.83	-663.66	-689.66	no
E3	context	HG	ALL_DAYS		PHASE	130	5	862.74	58.81	1068.91	50.65	2.452	2950.48	0.2924	2360.38	-1497.65	1	-1137.26	0.0	-58.81	no
E3	context	HG	ALL_DAYS		NEXT	130	5	524.28	72.89	702.19	64.7	1.655	2466.01	0.2126	1972.81	-1448.53	0	-1475.72	-338.46	-411.34	no
E3	context	HG	ALL_DAYS		SESS	130	5	263.0	53.65	440.73	71.55	1.0	1545.3	0.1702	1236.24	-973.24	0	-1737.0	-599.74	-653.39	no
E3	context	NKD	ALL_DAYS		PHASE	130	5	783.57	61.74	819.37	94.41	2.575	2285.48	0.3428	1828.38	-1044.82	0	-1216.43	0.0	-61.74	no
E3	context	NKD	ALL_DAYS		NEXT	130	5	619.87	92.4	657.38	80.48	1.795	1956.06	0.3169	1564.85	-944.98	0	-1380.13	-163.7	-256.1	no
E3	context	NKD	ALL_DAYS		SESS	130	5	394.9	29.85	436.8	31.64	1.0	1400.06	0.2821	1120.05	-725.14	0	-1605.1	-388.66	-418.51	no
E3	context	ALL	TREND_T3	0.3275	PHASE	50	5	954.86	165.22	1165.79	158.75	2.368	3316.25	0.2879	2653.0	-1698.14	1	-1045.14	0.0	-165.22	no
E3	context	ALL	TREND_T3	0.3275	NEXT	50	5	548.12	128.84	783.89	213.46	1.656	2632.0	0.2083	2105.6	-1557.48	1	-1451.88	-406.74	-535.58	no
E3	context	ALL	TREND_T3	0.3275	SESS	50	5	158.3	100.55	416.36	161.9	1.0	1732.08	0.0914	1385.66	-1227.36	0	-1841.7	-796.56	-897.11	no
E3	context	SI	TREND_T3	0.3275	PHASE	19	5	1220.18	287.84	1370.55	241.89	2.358	3990.26	0.3058	3192.21	-1972.03	1	-779.82	0.0	-287.84	no
E3	context	SI	TREND_T3	0.3275	NEXT	19	5	705.18	147.44	904.79	303.48	1.621	3091.97	0.2281	2473.58	-1768.39	1	-1294.82	-515.0	-662.44	no
E3	context	SI	TREND_T3	0.3275	SESS	19	5	235.66	157.62	513.89	240.84	1.0	2021.84	0.1166	1617.47	-1381.82	0	-1764.34	-984.53	-1142.15	no
E3	context	HG	TREND_T3	0.3275	PHASE	16	5	772.53	177.62	1247.44	91.01	2.212	3295.94	0.2344	2636.75	-1864.22	1	-1227.47	0.0	-177.62	no
E3	context	HG	TREND_T3	0.3275	NEXT	16	5	289.72	223.17	771.97	222.07	1.525	2648.59	0.1094	2118.87	-1829.16	1	-1710.28	-482.81	-705.99	no
E3	context	HG	TREND_T3	0.3275	SESS	16	5	-117.97	232.17	334.25	227.4	1.0	1597.73	-0.0738	1278.19	-1396.16	0	-2117.97	-890.5	-1122.67	no
E3	context	NKD	TREND_T3	0.3275	PHASE	15	5	813.27	178.88	819.33	171.02	2.547	2484.17	0.3274	1987.33	-1174.07	0	-1186.73	0.0	-178.88	no
E3	context	NKD	TREND_T3	0.3275	NEXT	15	5	624.8	138.93	643.47	123.11	1.84	2031.67	0.3075	1625.33	-1000.53	0	-1375.2	-188.47	-327.39	no
E3	context	NKD	TREND_T3	0.3275	SESS	15	5	355.0	56.35	380.4	13.13	1.0	1508.33	0.2354	1206.67	-851.67	0	-1645.0	-458.27	-514.62	no
E4	context	ALL	ALL_DAYS		PHASE	385	5	1043.52	113.5	1246.2	101.54	2.576	2744.17	0.3803	2195.34	-1151.82	1	-956.48	0.0	-113.5	no
E4	context	ALL	ALL_DAYS		NEXT	385	5	754.18	89.54	948.66	76.68	1.725	2398.13	0.3145	1918.51	-1164.32	0	-1245.82	-289.34	-378.88	no
E4	context	ALL	ALL_DAYS		SESS	385	5	345.95	28.5	551.38	32.0	1.0	1455.03	0.2378	1164.02	-818.07	0	-1654.05	-697.57	-726.07	no
E4	context	SI	ALL_DAYS		PHASE	128	5	1138.04	76.68	1507.66	83.32	2.467	3408.05	0.3339	2726.44	-1588.4	1	-861.96	0.0	-76.68	no
E4	context	SI	ALL_DAYS		NEXT	128	5	659.34	70.1	1049.46	77.51	1.594	2915.59	0.2261	2332.47	-1673.13	1	-1340.66	-478.7	-548.8	no
E4	context	SI	ALL_DAYS		SESS	128	5	47.03	22.98	470.68	61.04	1.0	1457.54	0.0323	1166.03	-1119.0	0	-1952.97	-1091.0	-1113.99	no
E4	context	HG	ALL_DAYS		PHASE	128	5	926.3	117.69	1058.8	82.36	2.539	2485.83	0.3726	1988.66	-1062.37	0	-1073.7	0.0	-117.69	no
E4	context	HG	ALL_DAYS		NEXT	128	5	661.8	120.07	773.69	84.26	1.745	2160.46	0.3063	1728.37	-1066.57	0	-1338.2	-264.5	-384.57	no
E4	context	HG	ALL_DAYS		SESS	128	5	270.84	49.78	389.43	23.52	1.0	1397.29	0.1938	1117.84	-847.0	0	-1729.16	-655.46	-705.24	no
E4	context	NKD	ALL_DAYS		PHASE	129	5	1066.05	164.45	1172.73	146.12	2.719	2341.78	0.4552	1873.43	-807.37	0	-933.95	0.0	-164.45	no
E4	context	NKD	ALL_DAYS		NEXT	129	5	939.96	87.07	1022.26	78.23	1.834	2120.52	0.4433	1696.42	-756.46	0	-1060.04	-126.1	-213.16	no
E4	context	NKD	ALL_DAYS		SESS	129	5	717.09	23.3	792.14	17.1	1.0	1509.83	0.475	1207.86	-490.77	0	-1282.91	-348.96	-372.26	no
E4	context	ALL	TREND_T3	0.2789	PHASE	88	5	1202.9	126.61	1459.35	114.6	2.489	3299.63	0.3646	2639.7	-1436.81	1	-797.1	0.0	-126.61	no
E4	context	ALL	TREND_T3	0.2789	NEXT	88	5	890.07	92.71	1089.15	93.71	1.67	2867.06	0.3104	2293.65	-1403.58	1	-1109.93	-312.83	-405.53	no
E4	context	ALL	TREND_T3	0.2789	SESS	88	5	350.97	32.98	596.3	59.01	1.0	1701.45	0.2063	1361.16	-1010.19	0	-1649.03	-851.93	-884.91	no
