# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# H1 = the champion's OWN ranking objective regrouped from CELL to (asset, DAY), labels = within-day certificate grades.  The rule that wins compares within DAY while the champion is trained within CELL — mismatched by exactly one level of the hierarchy.
# H2 = S_XGB_DAYZ, the folded score standardised causally against the DAY'S OWN PAST arrivals (expanding mean/sd, warmup 10).  TAUZ is the absolute-threshold level rule that a z-score makes possible without any training-block reference.
# ORACLE_DAYRANK is the HINDSIGHT ceiling probe: the true within-day certificate rank.  It separates 'the rule needs the day-RANK' from 'the rule needs the dollar LEVEL'.
# H1_DAYRANK is fitted HERE and therefore predicted over tr | ev, so it carries TRAINING-BLOCK COVERAGE and can run the LEVEL families that the deployed column structurally cannot.
# NOT_RUN rows are policies that could not execute because an input was absent.  They are never $0.00, and they are excluded from both the selection and the search-adjusted null.
mode	era	score_column	family	policy	status	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	n_trades_total	n_firing_sessions	n_era_sessions	top5_trade_share_of_pnl	shuffled_null	causal_oracle	capture_of_causal_oracle	not_run_reason
eval	E3	ORACLE_DAYRANK	TAUZ	TAUZ_2.5	ran	0.0	0.0	0.0	0.0	0.0	0.0	390		0.0	2348.0	0.0	
eval	E3	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.5	ran	2012.93	0.0	1853.18	2172.69	1125.0	390.0	390	0.032	-45.09	2348.0	0.8573	
eval	E3	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.7	ran	2287.17	0.0	2135.68	2438.67	1108.0	390.0	390	0.028	-114.56	2348.0	0.9741	
eval	E3	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.8	ran	2236.8	0.0	2103.08	2370.53	963.0	390.0	390	0.029	-116.76	2348.0	0.9526	
eval	E3	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.9	ran	2065.34	0.0	1944.04	2186.64	731.0	390.0	390	0.031	-85.67	2348.0	0.8796	
eval	E3	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.95	ran	1883.2	0.0	1775.5	1990.89	583.0	390.0	390	0.035	-25.59	2348.0	0.802	
eval	E3	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.975	ran	1776.12	0.0	1672.33	1879.9	498.0	386.0	390	0.038	-114.47	2348.0	0.7564	
eval	E3	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.99	ran	1682.04	0.0	1578.25	1785.84	438.0	384.0	390	0.04	-44.62	2348.0	0.7164	
eval	E3	S_XGB	CELLSOFAR	CELLSOFAR_0.8	ran	-17.03	19.77	-138.11	104.06	744.8	390.0	390	0.089	-88.87	2348.0	-0.0073	
eval	E3	S_XGB	CELLSOFAR	CELLSOFAR_0.9	ran	-7.49	27.9	-124.19	109.2	718.4	389.8	390	0.092	-83.23	2348.0	-0.0032	
eval	E3	S_XGB	CELLSOFAR	CELLSOFAR_0.95	ran	-22.27	32.3	-135.79	91.25	701.8	389.2	390	0.092	-68.58	2348.0	-0.0095	
eval	E3	S_XGB	CELLSOFAR	CELLSOFAR_0.99	ran	-12.44	35.31	-126.62	101.73	680.8	387.4	390	0.096	-89.93	2348.0	-0.0053	
eval	E3	S_XGB	DAYSOFAR	DAYSOFAR_0.5	ran	-42.05	32.87	-154.7	70.6	786.6	390.0	390	0.078	-95.02	2348.0	-0.0179	
eval	E3	S_XGB	DAYSOFAR	DAYSOFAR_0.7	ran	8.94	24.19	-109.65	127.53	779.8	390.0	390	0.074	-86.37	2348.0	0.0038	
eval	E3	S_XGB	DAYSOFAR	DAYSOFAR_0.9	ran	31.33	29.3	-92.92	155.59	721.0	390.0	390	0.09	-125.94	2348.0	0.0133	
eval	E3	S_XGB	OCC_LEVEL	OCCUPANCY_0.5	NOT_RUN							390			2348.0		seats_occupancy: the TRAINING BLOCK carries no finite score (406468 rows), so the quantile reference cannot be built.  T
eval	E3	S_XGB	OCC_LEVEL	OCCUPANCY_1	NOT_RUN							390			2348.0		seats_occupancy: the TRAINING BLOCK carries no finite score (406468 rows), so the quantile reference cannot be built.  T
eval	E3	S_XGB	OCC_LEVEL	OCCUPANCY_2	NOT_RUN							390			2348.0		seats_occupancy: the TRAINING BLOCK carries no finite score (406468 rows), so the quantile reference cannot be built.  T
eval	E3	S_XGB	SECTIME	SECTIME_0.05	ran	-36.45	41.13	-139.31	66.41	672.8	386.2	390	0.08	-70.88	2348.0	-0.0155	
eval	E3	S_XGB	SECTIME	SECTIME_0.1	ran	-37.53	49.35	-135.11	60.06	638.0	384.0	390	0.085	-82.8	2348.0	-0.016	
eval	E3	S_XGB	SECTIME	SECTIME_0.15	ran	-24.15	21.8	-119.63	71.32	596.0	378.0	390	0.084	-63.53	2348.0	-0.0103	
eval	E3	S_XGB	SECTIME	SECTIME_0.25	ran	-14.37	18.7	-100.95	72.21	509.2	356.8	390	0.099	-61.61	2348.0	-0.0061	
eval	E3	S_XGB	SECTIME	SECTIME_0.4	ran	-21.87	14.38	-82.33	38.59	334.4	269.8	390	0.142	-45.03	2348.0	-0.0093	
eval	E3	S_XGB	SECTIME	SECTIME_0.6	ran	-21.59	4.72	-48.44	5.25	145.4	135.8	390	0.258	-8.89	2348.0	-0.0092	
eval	E3	S_XGB	TAUZ	TAUZ_0.5	ran	-19.14	36.6	-124.64	86.37	535.4	358.0	390	0.108	-95.18	2348.0	-0.0082	
eval	E3	S_XGB	TAUZ	TAUZ_1	ran	-3.75	5.13	-9.29	1.79	3.4	3.4	390	-5.131	-12.26	2348.0	-0.0016	
eval	E3	S_XGB	TAUZ	TAUZ_1.5	ran	0.0	0.0	0.0	0.0	0.0	0.0	390		0.0	2348.0	0.0	
eval	E3	S_XGB	TAUZ	TAUZ_2	ran	0.0	0.0	0.0	0.0	0.0	0.0	390		0.0	2348.0	0.0	
eval	E3	S_XGB	TAUZ	TAUZ_2.5	ran	0.0	0.0	0.0	0.0	0.0	0.0	390		0.0	2348.0	0.0	
eval	E3	S_XGB	TAU_LEVEL	TAU_0.5	NOT_RUN							390			2348.0		seats_tau: the TRAINING BLOCK carries no finite score (406468 rows), so tau cannot be set.  This is the defect that hid 
eval	E3	S_XGB	TAU_LEVEL	TAU_0.7	NOT_RUN							390			2348.0		seats_tau: the TRAINING BLOCK carries no finite score (406468 rows), so tau cannot be set.  This is the defect that hid 
eval	E3	S_XGB	TAU_LEVEL	TAU_0.8	NOT_RUN							390			2348.0		seats_tau: the TRAINING BLOCK carries no finite score (406468 rows), so tau cannot be set.  This is the defect that hid 
eval	E3	S_XGB	TAU_LEVEL	TAU_0.9	NOT_RUN							390			2348.0		seats_tau: the TRAINING BLOCK carries no finite score (406468 rows), so tau cannot be set.  This is the defect that hid 
eval	E3	S_XGB	TAU_LEVEL	TAU_0.95	NOT_RUN							390			2348.0		seats_tau: the TRAINING BLOCK carries no finite score (406468 rows), so tau cannot be set.  This is the defect that hid 
eval	E3	S_XGB	TAU_LEVEL	TAU_0.975	NOT_RUN							390			2348.0		seats_tau: the TRAINING BLOCK carries no finite score (406468 rows), so tau cannot be set.  This is the defect that hid 
eval	E3	S_XGB	TAU_LEVEL	TAU_0.99	NOT_RUN							390			2348.0		seats_tau: the TRAINING BLOCK carries no finite score (406468 rows), so tau cannot be set.  This is the defect that hid 
eval	E4	H1_DAYRANK	CELLSOFAR	CELLSOFAR_0.8	ran	-6.29	14.9	-104.02	91.44	735.4	384.8	385	0.09	-30.48	2133.0	-0.0029	
eval	E4	H1_DAYRANK	CELLSOFAR	CELLSOFAR_0.9	ran	14.82	24.18	-80.1	109.74	728.2	384.2	385	0.077	-40.6	2133.0	0.0069	
eval	E4	H1_DAYRANK	CELLSOFAR	CELLSOFAR_0.95	ran	11.03	24.69	-81.87	103.92	712.8	383.6	385	0.08	-35.98	2133.0	0.0052	
eval	E4	H1_DAYRANK	CELLSOFAR	CELLSOFAR_0.99	ran	20.68	18.03	-74.85	116.2	691.0	382.6	385	0.083	-74.94	2133.0	0.0097	
eval	E4	H1_DAYRANK	DAYSOFAR	DAYSOFAR_0.5	ran	40.09	24.51	-61.87	142.05	784.2	385.0	385	0.086	-27.6	2133.0	0.0188	
eval	E4	H1_DAYRANK	DAYSOFAR	DAYSOFAR_0.7	ran	59.73	57.84	-47.05	166.51	772.0	385.0	385	0.09	-58.59	2133.0	0.028	
eval	E4	H1_DAYRANK	DAYSOFAR	DAYSOFAR_0.9	ran	75.68	52.23	-30.13	181.48	727.8	384.8	385	0.086	-31.03	2133.0	0.0355	
eval	E4	H1_DAYRANK	OCC_LEVEL	OCCUPANCY_0.5	ran	31.6	25.78	-49.36	112.55	301.8	276.4	385	0.165	-52.19	2133.0	0.0148	
eval	E4	H1_DAYRANK	OCC_LEVEL	OCCUPANCY_1	ran	42.69	38.85	-41.99	127.36	380.2	326.8	385	0.142	-7.13	2133.0	0.02	
eval	E4	H1_DAYRANK	OCC_LEVEL	OCCUPANCY_2	ran	102.41	29.92	6.04	198.79	391.4	334.2	385	0.121	-37.72	2133.0	0.048	
eval	E4	H1_DAYRANK	SECTIME	SECTIME_0.05	ran	-11.07	31.58	-108.86	86.71	681.0	382.6	385	0.078	-87.27	2133.0	-0.0052	
eval	E4	H1_DAYRANK	SECTIME	SECTIME_0.1	ran	-3.16	32.69	-105.12	98.81	649.2	380.6	385	0.087	-53.96	2133.0	-0.0015	
eval	E4	H1_DAYRANK	SECTIME	SECTIME_0.15	ran	30.79	28.43	-63.59	125.17	600.8	374.6	385	0.093	-27.68	2133.0	0.0144	
eval	E4	H1_DAYRANK	SECTIME	SECTIME_0.25	ran	43.53	19.14	-30.29	117.35	486.2	337.6	385	0.085	-38.73	2133.0	0.0204	
eval	E4	H1_DAYRANK	SECTIME	SECTIME_0.4	ran	23.07	21.35	-21.25	67.39	254.6	215.6	385	0.142	-23.35	2133.0	0.0108	
eval	E4	H1_DAYRANK	SECTIME	SECTIME_0.6	ran	-1.39	4.08	-22.09	19.3	98.8	93.8	385	0.37	-17.29	2133.0	-0.0007	
eval	E4	H1_DAYRANK	TAUZ	TAUZ_0.5	ran	76.69	16.81	-20.66	174.04	297.0	268.2	385	0.131	-58.62	2133.0	0.036	
eval	E4	H1_DAYRANK	TAUZ	TAUZ_1	ran	34.0	20.39	-21.74	89.74	80.6	78.8	385	0.362	-21.46	2133.0	0.0159	
eval	E4	H1_DAYRANK	TAUZ	TAUZ_1.5	ran	-7.68	6.61	-21.88	6.51	6.8	6.8	385	-91.32	6.16	2133.0	-0.0036	
eval	E4	H1_DAYRANK	TAUZ	TAUZ_2	ran	0.99	1.99	-0.97	2.96	0.4	0.4	385	0.667	-0.48	2133.0	0.0005	
eval	E4	H1_DAYRANK	TAUZ	TAUZ_2.5	ran	0.0	0.0	0.0	0.0	0.0	0.0	385		0.0	2133.0	0.0	
eval	E4	H1_DAYRANK	TAU_LEVEL	TAU_0.5	ran	-35.72	13.75	-130.19	58.75	761.0	385.0	385	0.091	-90.57	2133.0	-0.0167	
eval	E4	H1_DAYRANK	TAU_LEVEL	TAU_0.7	ran	8.34	29.38	-90.8	107.48	702.6	385.0	385	0.098	-74.53	2133.0	0.0039	
eval	E4	H1_DAYRANK	TAU_LEVEL	TAU_0.8	ran	68.58	15.84	-43.62	180.79	663.0	384.6	385	0.101	-99.77	2133.0	0.0322	
eval	E4	H1_DAYRANK	TAU_LEVEL	TAU_0.9	ran	69.65	30.24	-34.12	173.41	540.2	375.4	385	0.095	-11.77	2133.0	0.0327	
eval	E4	H1_DAYRANK	TAU_LEVEL	TAU_0.95	ran	65.19	20.33	-33.84	164.23	349.0	302.4	385	0.119	-32.76	2133.0	0.0306	
eval	E4	H1_DAYRANK	TAU_LEVEL	TAU_0.975	ran	66.95	7.2	-20.16	154.07	211.8	197.6	385	0.162	-31.19	2133.0	0.0314	
eval	E4	H1_DAYRANK	TAU_LEVEL	TAU_0.99	ran	42.71	10.53	-18.76	104.18	100.2	97.4	385	0.299	-22.28	2133.0	0.02	
eval	E4	ORACLE_DAYRANK	CELLSOFAR	CELLSOFAR_0.8	ran	1411.84	0.0	1287.63	1536.04	1041.0	385.0	385	0.04	-25.78	2133.0	0.6619	
eval	E4	ORACLE_DAYRANK	CELLSOFAR	CELLSOFAR_0.9	ran	1395.19	0.0	1279.95	1510.42	972.0	384.0	385	0.038	-92.38	2133.0	0.6541	
eval	E4	ORACLE_DAYRANK	CELLSOFAR	CELLSOFAR_0.95	ran	1357.53	0.0	1242.95	1472.1	928.0	381.0	385	0.039	-49.18	2133.0	0.6364	
eval	E4	ORACLE_DAYRANK	CELLSOFAR	CELLSOFAR_0.99	ran	1333.04	0.0	1227.32	1438.76	882.0	380.0	385	0.04	-68.48	2133.0	0.625	
eval	E4	ORACLE_DAYRANK	DAYSOFAR	DAYSOFAR_0.5	ran	1588.6	0.0	1451.94	1725.26	1064.0	385.0	385	0.04	-9.15	2133.0	0.7448	
eval	E4	ORACLE_DAYRANK	DAYSOFAR	DAYSOFAR_0.7	ran	1874.54	0.0	1744.58	2004.5	1059.0	385.0	385	0.035	-32.3	2133.0	0.8788	
eval	E4	ORACLE_DAYRANK	DAYSOFAR	DAYSOFAR_0.9	ran	1789.53	0.0	1660.05	1919.01	830.0	380.0	385	0.037	-49.77	2133.0	0.839	
eval	E4	ORACLE_DAYRANK	OCC_LEVEL	OCCUPANCY_0.5	ran	1508.83	0.0	1406.66	1611.0	534.0	385.0	385	0.046	-46.54	2133.0	0.7074	
eval	E4	ORACLE_DAYRANK	OCC_LEVEL	OCCUPANCY_1	ran	1422.74	0.0	1316.84	1528.64	534.0	385.0	385	0.047	-0.88	2133.0	0.667	
eval	E4	ORACLE_DAYRANK	OCC_LEVEL	OCCUPANCY_2	ran	1553.68	0.0	1438.33	1669.02	568.0	385.0	385	0.043	-34.62	2133.0	0.7284	
eval	E4	ORACLE_DAYRANK	SECTIME	SECTIME_0.05	ran	1305.99	0.0	1187.12	1424.87	886.0	384.0	385	0.041	-96.83	2133.0	0.6123	
eval	E4	ORACLE_DAYRANK	SECTIME	SECTIME_0.1	ran	1322.8	0.0	1208.05	1437.55	808.0	379.0	385	0.039	-63.97	2133.0	0.6202	
eval	E4	ORACLE_DAYRANK	SECTIME	SECTIME_0.15	ran	1220.02	0.0	1104.91	1335.14	722.0	370.0	385	0.044	-155.19	2133.0	0.572	
eval	E4	ORACLE_DAYRANK	SECTIME	SECTIME_0.25	ran	962.39	0.0	865.26	1059.53	552.0	337.0	385	0.05	-47.66	2133.0	0.4512	
eval	E4	ORACLE_DAYRANK	SECTIME	SECTIME_0.4	ran	380.95	0.0	321.21	440.69	263.0	211.0	385	0.07	-23.93	2133.0	0.1786	
eval	E4	ORACLE_DAYRANK	SECTIME	SECTIME_0.6	ran	131.52	0.0	94.6	168.44	93.0	89.0	385	0.155	-36.82	2133.0	0.0617	
eval	E4	ORACLE_DAYRANK	TAUZ	TAUZ_0.5	ran	1840.28	0.0	1710.79	1969.76	1120.0	385.0	385	0.036	-70.33	2133.0	0.8628	
eval	E4	ORACLE_DAYRANK	TAUZ	TAUZ_1	ran	1441.11	0.0	1344.1	1538.12	371.0	371.0	385	0.049	61.83	2133.0	0.6756	
eval	E4	ORACLE_DAYRANK	TAUZ	TAUZ_1.5	ran	0.0	0.0	0.0	0.0	0.0	0.0	385		0.0	2133.0	0.0	
eval	E4	ORACLE_DAYRANK	TAUZ	TAUZ_2	ran	0.0	0.0	0.0	0.0	0.0	0.0	385		0.0	2133.0	0.0	
eval	E4	ORACLE_DAYRANK	TAUZ	TAUZ_2.5	ran	0.0	0.0	0.0	0.0	0.0	0.0	385		0.0	2133.0	0.0	
eval	E4	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.5	ran	1843.12	0.0	1713.06	1973.18	1121.0	385.0	385	0.036	-29.11	2133.0	0.8641	
eval	E4	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.7	ran	2079.87	0.0	1957.78	2201.96	1090.0	385.0	385	0.032	-46.69	2133.0	0.9751	
eval	E4	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.8	ran	2010.98	0.0	1897.78	2124.18	907.0	385.0	385	0.033	-88.55	2133.0	0.9428	
eval	E4	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.9	ran	1837.11	0.0	1742.34	1931.87	684.0	385.0	385	0.037	36.6	2133.0	0.8613	
eval	E4	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.95	ran	1707.11	0.0	1613.53	1800.68	554.0	381.0	385	0.039	-105.17	2133.0	0.8003	
eval	E4	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.975	ran	1598.11	0.0	1503.28	1692.95	469.0	380.0	385	0.043	24.04	2133.0	0.7492	
eval	E4	ORACLE_DAYRANK	TAU_LEVEL	TAU_0.99	ran	1497.63	0.0	1400.14	1595.12	405.0	376.0	385	0.047	-14.73	2133.0	0.7021	
eval	E4	S_XGB	CELLSOFAR	CELLSOFAR_0.8	ran	-4.52	25.52	-110.28	101.24	740.4	384.6	385	0.091	-46.29	2133.0	-0.0021	
eval	E4	S_XGB	CELLSOFAR	CELLSOFAR_0.9	ran	-1.88	36.19	-100.81	97.04	722.6	384.4	385	0.078	-61.51	2133.0	-0.0009	
eval	E4	S_XGB	CELLSOFAR	CELLSOFAR_0.95	ran	15.85	44.05	-85.24	116.94	713.6	384.0	385	0.076	2.21	2133.0	0.0074	
eval	E4	S_XGB	CELLSOFAR	CELLSOFAR_0.99	ran	25.92	34.82	-73.51	125.35	685.0	383.4	385	0.079	-60.6	2133.0	0.0122	
eval	E4	S_XGB	DAYSOFAR	DAYSOFAR_0.5	ran	-5.89	29.51	-112.61	100.84	776.2	385.0	385	0.086	-55.71	2133.0	-0.0028	
eval	E4	S_XGB	DAYSOFAR	DAYSOFAR_0.7	ran	-12.16	16.97	-113.87	89.56	751.8	385.0	385	0.085	-57.33	2133.0	-0.0057	
eval	E4	S_XGB	DAYSOFAR	DAYSOFAR_0.9	ran	44.35	22.61	-61.04	149.75	693.2	384.8	385	0.09	-50.09	2133.0	0.0208	
eval	E4	S_XGB	OCC_LEVEL	OCCUPANCY_0.5	NOT_RUN							385			2133.0		seats_occupancy: the TRAINING BLOCK carries no finite score (558352 rows), so the quantile reference cannot be built.  T
eval	E4	S_XGB	OCC_LEVEL	OCCUPANCY_1	NOT_RUN							385			2133.0		seats_occupancy: the TRAINING BLOCK carries no finite score (558352 rows), so the quantile reference cannot be built.  T
eval	E4	S_XGB	OCC_LEVEL	OCCUPANCY_2	NOT_RUN							385			2133.0		seats_occupancy: the TRAINING BLOCK carries no finite score (558352 rows), so the quantile reference cannot be built.  T
eval	E4	S_XGB	SECTIME	SECTIME_0.05	ran	18.21	44.79	-83.19	119.61	691.2	384.4	385	0.077	-94.71	2133.0	0.0085	
eval	E4	S_XGB	SECTIME	SECTIME_0.1	ran	24.92	24.03	-73.35	123.19	654.0	382.0	385	0.086	-58.27	2133.0	0.0117	
eval	E4	S_XGB	SECTIME	SECTIME_0.15	ran	17.91	11.12	-72.53	108.36	612.6	377.0	385	0.087	-58.81	2133.0	0.0084	
eval	E4	S_XGB	SECTIME	SECTIME_0.25	ran	23.75	16.6	-48.63	96.14	516.0	349.0	385	0.091	-44.72	2133.0	0.0111	
eval	E4	S_XGB	SECTIME	SECTIME_0.4	ran	-19.43	5.13	-62.61	23.76	322.0	261.2	385	0.133	-31.93	2133.0	-0.0091	
eval	E4	S_XGB	SECTIME	SECTIME_0.6	ran	-13.08	3.16	-38.24	12.09	151.0	137.8	385	0.251	-19.39	2133.0	-0.0061	
eval	E4	S_XGB	TAUZ	TAUZ_0.5	ran	54.5	24.71	-46.77	155.77	576.8	363.4	385	0.1	-61.08	2133.0	0.0256	
eval	E4	S_XGB	TAUZ	TAUZ_1	ran	21.75	7.99	-14.74	58.24	91.6	81.6	385	0.462	-48.54	2133.0	0.0102	
eval	E4	S_XGB	TAUZ	TAUZ_1.5	ran	0.0	0.0	0.0	0.0	0.0	0.0	385		0.0	2133.0	0.0	
eval	E4	S_XGB	TAUZ	TAUZ_2	ran	0.0	0.0	0.0	0.0	0.0	0.0	385		0.0	2133.0	0.0	
eval	E4	S_XGB	TAUZ	TAUZ_2.5	ran	0.0	0.0	0.0	0.0	0.0	0.0	385		0.0	2133.0	0.0	
eval	E4	S_XGB	TAU_LEVEL	TAU_0.5	NOT_RUN							385			2133.0		seats_tau: the TRAINING BLOCK carries no finite score (558352 rows), so tau cannot be set.  This is the defect that hid 
eval	E4	S_XGB	TAU_LEVEL	TAU_0.7	NOT_RUN							385			2133.0		seats_tau: the TRAINING BLOCK carries no finite score (558352 rows), so tau cannot be set.  This is the defect that hid 
eval	E4	S_XGB	TAU_LEVEL	TAU_0.8	NOT_RUN							385			2133.0		seats_tau: the TRAINING BLOCK carries no finite score (558352 rows), so tau cannot be set.  This is the defect that hid 
eval	E4	S_XGB	TAU_LEVEL	TAU_0.9	NOT_RUN							385			2133.0		seats_tau: the TRAINING BLOCK carries no finite score (558352 rows), so tau cannot be set.  This is the defect that hid 
eval	E4	S_XGB	TAU_LEVEL	TAU_0.95	NOT_RUN							385			2133.0		seats_tau: the TRAINING BLOCK carries no finite score (558352 rows), so tau cannot be set.  This is the defect that hid 
eval	E4	S_XGB	TAU_LEVEL	TAU_0.975	NOT_RUN							385			2133.0		seats_tau: the TRAINING BLOCK carries no finite score (558352 rows), so tau cannot be set.  This is the defect that hid 
eval	E4	S_XGB	TAU_LEVEL	TAU_0.99	NOT_RUN							385			2133.0		seats_tau: the TRAINING BLOCK carries no finite score (558352 rows), so tau cannot be set.  This is the defect that hid 
eval	E4	S_XGB_DAYZ	CELLSOFAR	CELLSOFAR_0.8	ran	12.08	10.2	-87.76	111.92	761.2	385.0	385	0.093	-6.19	2133.0	0.0057	
eval	E4	S_XGB_DAYZ	CELLSOFAR	CELLSOFAR_0.9	ran	13.19	20.15	-80.28	106.66	729.4	384.6	385	0.083	-25.39	2133.0	0.0062	
eval	E4	S_XGB_DAYZ	CELLSOFAR	CELLSOFAR_0.95	ran	14.39	18.33	-78.51	107.28	705.8	382.8	385	0.087	-54.1	2133.0	0.0067	
eval	E4	S_XGB_DAYZ	CELLSOFAR	CELLSOFAR_0.99	ran	32.84	30.08	-56.64	122.32	658.6	379.8	385	0.089	-94.93	2133.0	0.0154	
eval	E4	S_XGB_DAYZ	DAYSOFAR	DAYSOFAR_0.5	ran	31.36	28.39	-68.1	130.81	790.6	385.0	385	0.085	-19.62	2133.0	0.0147	
