# PORT M2 port m2 EXIT CENSUS 2 — exit rules priced on the agreement-selected books (E3-E7 develop; prop constraints enforced in code) (lane=port-m2-exits2; version=PORT-M2-EXITCENSUS2-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE TOP EXIT RULE'S FULL RISK PANEL on the agreement-0.80 book, beside its own phase-close baseline on the SAME seats.  rule = MHD_STRUCT_0.20ATR.
# Panel columns are `risk_panel.panel_rows` VERBATIM, so this table and the dollar tables cannot disagree; the six capture/target columns are appended by this lane.
# PROP LAW, ENFORCED IN CODE: no exit before 1800 seconds (30 minutes) of hold.  `_check_holds` REFUSES the stage if any priced seat holds less than that with the phase close still open, so a hold shorter than 30 minutes can only be the phase close itself arriving.  Every rule is POSITION MANAGEMENT on an open trade; no microscalp is expressible.
# The $900 wall and the phase-close contract stay in force.  A rule may only move the exit EARLIER than the phase close; the wall always wins if it reaches the position first.
# THE SEAT SET IS HELD FIXED across every rule.  Earlier exits free occupancy, so re-seating could only ADD trades; not counting them is the conservative choice and is declared, not hidden.
# d_* columns are deltas against the PHASE-CLOSE baseline on the SAME book and the SAME seats.  d_usd_per_session_displaced is the same rule's hold-time distribution randomly re-assigned across seats (same timing, no path information); d_minus_displaced is the information the rule actually adds.  A rule whose d_minus_displaced is ~0 is a hold-length artefact.
# capture_of_ceiling = usd_per_session / the ENTRY FORESIGHT ceiling (the per-session one-position DP over every candidate, phase-close contract) -- what perfect ENTRY selection is worth.  capture_of_full_ceiling uses the anchored ORACLE legs, i.e. perfect entries AND perfect exits (clairvoyant; an outer bound nobody can trade).
# TARGETS ON THE TABLE FACE: floor $2000/session/asset (floor_2000); aim $2500-3000 (aim_2500_3000).
# FAMILY 3 (PARTIAL BANK) IS NOT DEPLOYABLE AT ONE CONTRACT -- you cannot sell half a contract.  Its rows are the two-contract-equivalent (each half carries half the gross, the round-trip cost charged once, the second exit's own slippage NOT charged) and are a SIZING QUESTION FOR THE USER, never a drop-in rule.
arm	era	asset	n_sessions	n_takes	takes_per_day_mean	takes_per_day_p50	takes_per_day_max	win_rate	precision_at_1000	usd_per_trade_mean	usd_per_trade_median	usd_per_trade_p10	usd_per_trade_p90	mae_mean	mae_p50	mae_p90	wall_hit_rate	usd_per_session	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	losing_day_frac	n_weeks	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	longest_losing_streak_days	d077_vetoed_candidates	entry_foresight_ceiling	capture_of_ceiling	full_ceiling	capture_of_full_ceiling	floor_2000	aim_2500_3000
BASE_PHASE_CLOSE	E4	SI	50	55	1.1	1.0	2.0	0.8364	0.2545	682.95	570.0	-200.0	1607.5	282.95	100.0	1055.0	0.4	751.25	0.0	289.5	930.0	0.0	0.14	24	1565.1	130.5	0.0417	2		3215.45	0.2336	2837.0	0.2648		
MHD_STRUCT_0.20ATR	E4	SI	50	55	1.1	1.0	2.0	0.8364	0.2545	673.64	570.0	-260.0	1607.5	282.95	100.0	1055.0	0.4	741.0	0.0	351.25	735.0	0.0	0.14	24	1543.75	4.5	0.125	2		3215.45	0.2304	2837.0	0.2612		
BASE_PHASE_CLOSE	E4	HG	40	43	1.07	1.0	2.0	0.814	0.2558	585.55	363.75	-66.25	1527.5	182.7	100.0	485.0	0.1163	629.47	0.0	76.25	611.25	0.0	0.175	22	1144.49	76.88	0.0909	1		2504.22	0.2514	1446.72	0.4351		
MHD_STRUCT_0.20ATR	E4	HG	40	43	1.07	1.0	2.0	0.7907	0.2558	574.22	363.75	-93.75	1527.5	182.7	100.0	485.0	0.1163	617.28	0.0	105.0	498.75	0.0	0.2	22	1122.33	76.88	0.0909	1		2504.22	0.2465	1446.72	0.4267		
BASE_PHASE_CLOSE	E4	NKD	44	50	1.14	1.0	2.0	0.8	0.16	419.75	295.0	-41.25	1201.25	108.0	50.0	275.0	0.08	476.99	0.0	108.75	255.0	0.0	0.2045	24	874.48	29.0	0.0833	2		2309.26	0.2066	1470.74	0.3243		
MHD_STRUCT_0.20ATR	E4	NKD	44	50	1.14	1.0	2.0	0.8	0.16	419.75	295.0	-41.25	1201.25	108.0	50.0	275.0	0.08	476.99	0.0	108.75	255.0	0.0	0.2045	24	874.48	29.0	0.0833	2		2309.26	0.2066	1470.74	0.3243		
BASE_PHASE_CLOSE	E5	ALL	181	216	1.19	1.0	3.0	0.912	0.1898	588.87	482.5	20.0	1307.5	154.4	68.75	400.0	0.1528	702.73	0.0	0.0	930.0	0.0	0.0497	26	4892.12	2475.62	0.0	2		2495.93	0.2816	1747.82	0.4021		
MHD_STRUCT_0.20ATR	E5	ALL	181	216	1.19	1.0	3.0	0.912	0.1898	589.85	482.5	20.0	1307.5	154.4	68.75	400.0	0.1528	703.91	0.0	0.0	605.0	0.0	0.0552	26	4900.29	2475.62	0.0	2		2495.93	0.282	1747.82	0.4027		
BASE_PHASE_CLOSE	E5	SI	63	78	1.24	1.0	3.0	0.8205	0.1282	480.58	482.5	-146.25	1190.0	281.57	125.0	728.75	0.2821	595.0	0.0	165.0	930.0	0.0	0.127	25	1499.4	497.5	0.08	4		2715.99	0.2191	2472.42	0.2407		
MHD_STRUCT_0.20ATR	E5	SI	63	78	1.24	1.0	3.0	0.8205	0.1282	483.3	482.5	-146.25	1190.0	281.57	125.0	728.75	0.2821	598.37	0.0	165.0	605.0	0.0	0.1429	25	1507.9	497.5	0.08	4		2715.99	0.2203	2472.42	0.242		
BASE_PHASE_CLOSE	E5	HG	56	65	1.16	1.0	2.0	0.9846	0.1231	537.69	476.25	147.5	1075.0	72.69	43.75	182.5	0.0769	624.11	0.0	0.0	80.0	0.0	0.0	24	1456.25	324.12	0.0	0		1946.61	0.3206	422.66	1.4766		
MHD_STRUCT_0.20ATR	E5	HG	56	65	1.16	1.0	2.0	0.9846	0.1231	537.69	476.25	147.5	1075.0	72.69	43.75	182.5	0.0769	624.11	0.0	0.0	80.0	0.0	0.0	24	1456.25	324.12	0.0	0		1946.61	0.3206	422.66	1.4766		
BASE_PHASE_CLOSE	E5	NKD	62	73	1.18	1.0	3.0	0.9452	0.3151	750.14	495.0	85.0	1742.5	91.27	62.5	210.0	0.0822	883.23	0.0	0.0	267.5	0.0	0.0161	25	2190.4	801.0	0.0	1		2768.47	0.319	2208.47	0.3999		
MHD_STRUCT_0.20ATR	E5	NKD	62	73	1.18	1.0	3.0	0.9452	0.3151	750.14	495.0	85.0	1742.5	91.27	62.5	210.0	0.0822	883.23	0.0	0.0	267.5	0.0	0.0161	25	2190.4	801.0	0.0	1		2768.47	0.319	2208.47	0.3999		
BASE_PHASE_CLOSE	E6	ALL	24	24	1.0	1.0	1.0	0.8333	0.2083	602.81	426.25	-135.0	1312.5	203.13	87.5	592.5	0.5	602.81	0.0	135.0	355.0	0.0	0.1667	14	1033.39	-161.25	0.2143	1		4217.03	0.1429	4188.8	0.1439		
MHD_STRUCT_0.20ATR	E6	ALL	24	24	1.0	1.0	1.0	0.8333	0.2083	589.79	426.25	-135.0	1312.5	203.13	87.5	592.5	0.5	589.79	0.0	135.0	492.5	0.0	0.1667	14	1011.07	-283.75	0.2143	1		4217.03	0.1399	4188.8	0.1408		
BASE_PHASE_CLOSE	E6	SI	12	12	1.0	1.0	1.0	0.6667	0.1667	563.75	426.25	-176.25	1017.5	271.88	87.5	597.5	0.6667	563.75	0.0	176.25	355.0	0.0	0.3333	10	676.5	-197.5	0.4	2		4404.79	0.128	4516.67	0.1248		
MHD_STRUCT_0.20ATR	E6	SI	12	12	1.0	1.0	1.0	0.6667	0.1667	537.71	426.25	-333.75	1017.5	271.88	87.5	597.5	0.6667	537.71	0.0	333.75	492.5	0.0	0.3333	10	645.25	-368.75	0.4	2		4404.79	0.1221	4516.67	0.1191		
BASE_PHASE_CLOSE	E6	HG	1	1	1.0	1.0	1.0	1.0	0.0	70.0	70.0	70.0	70.0	62.5	62.5	62.5	1.0	70.0	0.0	0.0	0.0	0.0	0.0	1	70.0	70.0	0.0	0		2128.75	0.0329	2093.75	0.0334		
MHD_STRUCT_0.20ATR	E6	HG	1	1	1.0	1.0	1.0	1.0	0.0	70.0	70.0	70.0	70.0	62.5	62.5	62.5	1.0	70.0	0.0	0.0	0.0	0.0	0.0	1	70.0	70.0	0.0	0		2128.75	0.0329	2093.75	0.0334		
BASE_PHASE_CLOSE	E6	NKD	11	11	1.0	1.0	1.0	1.0	0.2727	693.86	470.0	282.5	1357.5	140.91	100.0	212.5	0.2727	693.86	0.0	0.0	0.0	0.0	0.0	8	954.06	252.5	0.0	0		4202.05	0.1651	4021.59	0.1725		
MHD_STRUCT_0.20ATR	E6	NKD	11	11	1.0	1.0	1.0	1.0	0.2727	693.86	470.0	282.5	1357.5	140.91	100.0	212.5	0.2727	693.86	0.0	0.0	0.0	0.0	0.0	8	954.06	252.5	0.0	0		4202.05	0.1651	4021.59	0.1725		
BASE_PHASE_CLOSE	E7	ALL	206	253	1.23	1.0	3.0	0.9091	0.3597	956.34	732.5	57.5	2045.0	211.26	100.0	525.0	0.2451	1174.53	0.0	30.0	505.0	0.0	0.0728	27	8961.25	4591.75	0.0	1		3926.39	0.2991	3774.36	0.3112		
MHD_STRUCT_0.20ATR	E7	ALL	206	253	1.23	1.0	3.0	0.9051	0.3597	953.62	732.5	57.5	2045.0	211.26	100.0	525.0	0.2451	1171.2	0.0	42.5	667.5	0.0	0.0777	27	8935.79	4591.75	0.0	1		3926.39	0.2983	3774.36	0.3103		
BASE_PHASE_CLOSE	E7	SI	73	85	1.16	1.0	3.0	0.9176	0.4118	1140.29	870.0	80.0	2497.5	323.82	162.5	922.5	0.3765	1327.74	0.0	0.0	492.5	0.0	0.0548	27	3589.81	540.0	0.037	1		4466.92	0.2972	4793.49	0.277		
MHD_STRUCT_0.20ATR	E7	SI	73	85	1.16	1.0	3.0	0.9176	0.4118	1140.29	870.0	80.0	2497.5	323.82	162.5	922.5	0.3765	1327.74	0.0	0.0	492.5	0.0	0.0548	27	3589.81	540.0	0.037	1		4466.92	0.2972	4793.49	0.277		
BASE_PHASE_CLOSE	E7	HG	63	78	1.24	1.0	3.0	0.8974	0.2179	640.75	654.38	27.5	1302.5	101.12	46.88	233.13	0.1154	793.31	0.0	42.5	367.5	0.0	0.0794	26	1922.26	755.0	0.0	1		2480.97	0.3198	1555.65	0.51		
MHD_STRUCT_0.20ATR	E7	HG	63	78	1.24	1.0	3.0	0.8974	0.2179	640.75	654.38	27.5	1302.5	101.12	46.88	233.13	0.1154	793.31	0.0	42.5	367.5	0.0	0.0794	26	1922.26	755.0	0.0	1		2480.97	0.3198	1555.65	0.51		
BASE_PHASE_CLOSE	E7	NKD	70	90	1.29	1.0	3.0	0.9111	0.4333	1056.11	813.75	53.75	2086.25	200.42	112.5	427.5	0.2333	1357.86	0.0	23.75	505.0	0.0	0.0857	26	3655.77	683.75	0.0385	1		4663.57	0.2912	4708.39	0.2884		
MHD_STRUCT_0.20ATR	E7	NKD	70	90	1.29	1.0	3.0	0.9	0.4333	1048.47	813.75	50.0	2086.25	200.42	112.5	427.5	0.2333	1348.04	0.0	82.5	667.5	0.0	0.1	26	3629.33	683.75	0.0385	1		4663.57	0.2891	4708.39	0.2863		
