# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# TWO DEFECTS ARE FIXED IN THIS TABLE AND BOTH CHANGE THE HEADLINE.
# (1) THE DENOMINATOR.  `newobj.replay_delayed` emits one row per session THAT TRADED, and `read_rows` averages over exactly those, so every `usd_per_session` this program has printed for an ABSTAINING rule is conditional on trading.  usd_per_session_ALL is the honest figure: non-trading sessions contribute $0 and the mean is over the era's real session count.  usd_per_FIRING_session is the incumbent's quantity, kept beside it so the two are never confused again.  n_trades_total is the count that makes the difference legible.
# (2) THE MISSING FAMILIES.  `ARRIVAL_FITTED.tsv` carried 20 of these 30 policies: the fitted score columns were written only on eval rows, so `seats_tau`/`seats_occupancy` found an all-NaN training block, returned an empty seat list, and were dropped by `if not real: continue`.  Every LEVEL-consuming rule was missing from the table built to measure a calibrated LEVEL — OCCUPANCY among them, the declining-bar rule the seated-vs-selected diagnosis named as the medicine and which the journal recorded as already in flight.
# A POLICY THAT SEATS NOTHING NOW PRINTS A ROW READING $0.00 AT 0.000 seats/session instead of vanishing.
# REPLAYED ON THE ERA'S EVAL ROWS.  Reading the maximum of this table as an achievement is the winner's curse; see KNOB_HONESTY.tsv.
# Scores are the incumbent's own ISOTONICALLY CALIBRATED columns, extended to cover the training block (CALEV, verified to reproduce the incumbent's eval-row values exactly).  The inner table uses CALIN — the same map fitted on the inner TRAIN days — so the selector is out-of-sample in the same way the eval read is.
era	criterion	target	policy	knob	n_seeds	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	usd_per_FIRING_session	n_firing_sessions	n_era_sessions	n_trades_total	usd_per_trade	seats_per_session	shuffled_null	causal_oracle	capture_of_causal_oracle	aim_08causal	gap_to_aim
E5	BINDING	A_EV	OCCUPANCY_2	2.0	5	10.29	5.55	-72.0	92.58	11.57	336.2	379	438.8	8.83	1.1578	-64.08	2021.0	0.0051	1616.8	-1606.51
E5	BINDING	A_EV	SECRETARY_0.1	0.1	5	-49.45	39.66	-144.78	45.88	-49.54	378.6	379	725.6	-26.02	1.9145	-41.76	2021.0	-0.0245	1616.8	-1666.25
E5	BINDING	A_EV	SECRETARY_0.25	0.25	5	-27.09	19.75	-112.86	58.67	-27.46	373.8	379	649.8	-15.92	1.7145	-58.04	2021.0	-0.0134	1616.8	-1643.89
E5	BINDING	A_EV	SECRETARY_0.5	0.5	5	-34.15	11.02	-89.25	20.94	-37.66	344.6	379	513.0	-25.31	1.3536	-31.99	2021.0	-0.0169	1616.8	-1650.95
E5	BINDING	A_EV	SECRETARY_0.6	0.6	5	-33.69	15.01	-76.8	9.41	-38.82	327.8	379	456.6	-27.79	1.2047	-42.05	2021.0	-0.0167	1616.8	-1650.49
E5	BINDING	A_EV	SECRETARY_0.7	0.7	5	-39.03	8.99	-71.45	-6.61	-49.52	297.8	379	387.4	-38.06	1.0222	-38.15	2021.0	-0.0193	1616.8	-1655.83
E5	BINDING	A_EV	SECRETARY_0.8	0.8	5	-29.85	11.01	-53.48	-6.21	-42.88	264.2	379	327.2	-34.79	0.8633	-8.59	2021.0	-0.0148	1616.8	-1646.65
E5	BINDING	A_EV	SECRETARY_RE_0.1	0.1	5	-49.53	39.68	-144.85	45.8	-49.62	378.6	379	726.2	-26.03	1.9161	-37.89	2021.0	-0.0245	1616.8	-1666.33
E5	BINDING	A_EV	SECRETARY_RE_0.25	0.25	5	-27.19	19.83	-112.95	58.58	-27.56	373.8	379	651.0	-15.94	1.7177	-49.94	2021.0	-0.0135	1616.8	-1643.99
E5	BINDING	A_EV	SECRETARY_RE_0.5	0.5	5	-34.81	11.08	-89.86	20.24	-38.39	344.6	379	515.8	-25.65	1.3609	-46.84	2021.0	-0.0172	1616.8	-1651.61
E5	BINDING	A_EV	SECRETARY_RE_0.6	0.6	5	-34.0	14.73	-77.11	9.12	-39.17	327.8	379	458.6	-27.94	1.21	-33.75	2021.0	-0.0168	1616.8	-1650.8
E5	BINDING	A_EV	SECRETARY_RE_0.7	0.7	5	-39.34	8.84	-71.8	-6.88	-49.93	297.8	379	389.0	-38.21	1.0264	-26.85	2021.0	-0.0195	1616.8	-1656.14
E5	BINDING	A_EV	SECRETARY_RE_0.8	0.8	5	-30.03	10.85	-53.66	-6.41	-43.16	264.2	379	328.4	-34.88	0.8665	-14.87	2021.0	-0.0149	1616.8	-1646.83
E5	BINDING	A_EV	TAU_0.5	0.5	5	-11.56	54.29	-115.01	91.9	-11.56	379.0	379	769.4	-5.8	2.0301	-53.52	2021.0	-0.0057	1616.8	-1628.36
E5	BINDING	A_EV	TAU_0.7	0.7	5	22.55	32.34	-83.36	128.46	22.84	376.8	379	716.2	11.97	1.8897	-53.48	2021.0	0.0112	1616.8	-1594.25
E5	BINDING	A_EV	TAU_0.8	0.8	5	29.4	39.03	-69.61	128.42	30.41	369.8	379	629.2	18.26	1.6602	-38.16	2021.0	0.0145	1616.8	-1587.4
E5	BINDING	A_EV	TAU_0.9	0.9	5	-9.94	23.55	-98.64	78.77	-12.33	328.4	379	453.4	-9.2	1.1963	-55.14	2021.0	-0.0049	1616.8	-1626.74
E5	BINDING	A_EV	TAU_0.95	0.95	5	9.05	30.48	-69.78	87.88	14.05	245.2	379	299.0	12.31	0.7889	-65.23	2021.0	0.0045	1616.8	-1607.75
E5	BINDING	A_EV	TAU_0.975	0.975	5	20.98	20.74	-45.9	87.86	52.34	160.8	379	176.8	48.14	0.4665	-53.87	2021.0	0.0104	1616.8	-1595.82
E5	BINDING	A_EV	TAU_0.99	0.99	5	21.26	18.46	-19.78	62.31	136.37	52.8	379	55.0	131.7	0.1451	-40.9	2021.0	0.0105	1616.8	-1595.54
E5	BINDING	A_PBAR	CELLSOFAR_0.8	0.8	5	3.86	47.6	-105.72	113.45	3.91	378.2	379	693.6	1.66	1.8301	-50.56	2021.0	0.0019	1616.8	-1612.94
E5	BINDING	A_PBAR	CELLSOFAR_0.9	0.9	5	35.48	31.96	-67.47	138.43	35.66	375.8	379	622.2	21.2	1.6417	-45.66	2021.0	0.0176	1616.8	-1581.32
E5	BINDING	A_PBAR	CELLSOFAR_0.95	0.95	5	29.79	36.04	-71.48	131.06	30.3	369.0	379	559.8	19.63	1.477	-43.53	2021.0	0.0147	1616.8	-1587.01
E5	BINDING	A_PBAR	CELLSOFAR_0.99	0.99	5	31.33	26.54	-62.18	124.85	33.71	351.6	379	501.0	23.43	1.3219	-72.32	2021.0	0.0155	1616.8	-1585.47
E5	BINDING	A_PBAR	DAYSOFAR_0.5	0.5	5	-16.07	11.98	-116.95	84.82	-16.07	379.0	379	778.8	-7.86	2.0549	-41.83	2021.0	-0.0079	1616.8	-1632.87
E5	BINDING	A_PBAR	DAYSOFAR_0.7	0.7	5	-8.96	17.38	-105.0	87.08	-8.96	379.0	379	741.4	-4.63	1.9562	-22.97	2021.0	-0.0044	1616.8	-1625.76
E5	BINDING	A_PBAR	DAYSOFAR_0.9	0.9	5	-7.56	28.92	-117.99	102.87	-7.54	378.8	379	605.6	-5.02	1.5979	-65.07	2021.0	-0.0037	1616.8	-1624.36
E5	BINDING	A_PBAR	FIRST_3		5	-75.04	0.0	-170.81	20.72	-75.04	379.0	379	777.0	-36.6	2.0501	-75.04	2021.0	-0.0371	1616.8	-1691.84
E5	BINDING	A_PBAR	OCCUPANCY_0.5	0.5	5	11.1	32.02	-83.78	105.99	11.76	353.6	379	411.6	10.1	1.086	-46.36	2021.0	0.0055	1616.8	-1605.7
E5	BINDING	A_PBAR	OCCUPANCY_1	1.0	5	-15.85	23.66	-117.61	85.9	-16.21	367.4	379	450.0	-13.23	1.1873	-62.42	2021.0	-0.0078	1616.8	-1632.65
E5	BINDING	A_PBAR	OCCUPANCY_2	2.0	5	27.42	25.54	-82.59	137.43	27.68	375.6	379	500.0	20.92	1.3193	-49.25	2021.0	0.0136	1616.8	-1589.38
E5	BINDING	A_PBAR	SECRETARY_0.1	0.1	5	-17.99	21.13	-88.94	52.96	-24.65	282.0	379	359.4	-19.39	0.9483	-96.42	2021.0	-0.0089	1616.8	-1634.79
E5	BINDING	A_PBAR	SECRETARY_0.25	0.25	5	-12.35	7.74	-49.81	25.12	-40.6	112.4	379	117.2	-38.86	0.3092	-54.19	2021.0	-0.0061	1616.8	-1629.15
E5	BINDING	A_PBAR	SECRETARY_0.5	0.5	5	3.21	2.1	-8.13	14.55	97.44	13.8	379	13.8	97.44	0.0364	-30.75	2021.0	0.0016	1616.8	-1613.59
E5	BINDING	A_PBAR	SECRETARY_0.6	0.6	5	4.21	1.34	-4.63	13.04	330.74	5.0	379	5.0	330.74	0.0132	-37.51	2021.0	0.0021	1616.8	-1612.59
E5	BINDING	A_PBAR	SECRETARY_0.7	0.7	5	-0.31	0.34	-0.92	0.3	-116.5	0.8	379	0.8	-145.63	0.0021	-22.42	2021.0	-0.0002	1616.8	-1617.11
E5	BINDING	A_PBAR	SECRETARY_0.8	0.8	5	-0.11	0.11	-0.34	0.11	-43.0	0.6	379	0.6	-71.67	0.0016	-14.04	2021.0	-0.0001	1616.8	-1616.91
E5	BINDING	A_PBAR	SECRETARY_RE_0.1	0.1	5	-17.99	21.13	-88.94	52.96	-24.65	282.0	379	359.4	-19.39	0.9483	-65.98	2021.0	-0.0089	1616.8	-1634.79
E5	BINDING	A_PBAR	SECRETARY_RE_0.25	0.25	5	-12.35	7.74	-49.81	25.12	-40.6	112.4	379	117.2	-38.86	0.3092	-36.17	2021.0	-0.0061	1616.8	-1629.15
E5	BINDING	A_PBAR	SECRETARY_RE_0.5	0.5	5	3.21	2.1	-8.13	14.55	97.44	13.8	379	13.8	97.44	0.0364	-45.71	2021.0	0.0016	1616.8	-1613.59
E5	BINDING	A_PBAR	SECRETARY_RE_0.6	0.6	5	4.21	1.34	-4.63	13.04	330.74	5.0	379	5.0	330.74	0.0132	-30.49	2021.0	0.0021	1616.8	-1612.59
E5	BINDING	A_PBAR	SECRETARY_RE_0.7	0.7	5	-0.31	0.34	-0.92	0.3	-116.5	0.8	379	0.8	-145.63	0.0021	-20.25	2021.0	-0.0002	1616.8	-1617.11
E5	BINDING	A_PBAR	SECRETARY_RE_0.8	0.8	5	-0.11	0.11	-0.34	0.11	-43.0	0.6	379	0.6	-71.67	0.0016	-14.76	2021.0	-0.0001	1616.8	-1616.91
E5	BINDING	A_PBAR	TAU_0.5	0.5	5	-75.04	0.0	-170.81	20.72	-75.04	379.0	379	777.0	-36.6	2.0501	-26.62	2021.0	-0.0371	1616.8	-1691.84
E5	BINDING	A_PBAR	TAU_0.7	0.7	5	-73.74	3.85	-169.65	22.16	-73.74	379.0	379	773.6	-36.13	2.0412	-53.71	2021.0	-0.0365	1616.8	-1690.54
E5	BINDING	A_PBAR	TAU_0.8	0.8	5	-36.44	18.36	-134.62	61.74	-36.44	379.0	379	745.2	-18.59	1.9662	-81.57	2021.0	-0.018	1616.8	-1653.24
E5	BINDING	A_PBAR	TAU_0.9	0.9	5	13.92	19.68	-94.25	122.09	13.92	379.0	379	652.2	7.99	1.7208	-31.37	2021.0	0.0069	1616.8	-1602.88
E5	BINDING	A_PBAR	TAU_0.95	0.95	5	69.91	17.5	-48.51	188.33	70.43	376.0	379	565.6	46.77	1.4923	-81.3	2021.0	0.0346	1616.8	-1546.89
E5	BINDING	A_PBAR	TAU_0.975	0.975	5	47.5	24.48	-64.17	159.18	50.29	357.6	379	475.4	38.06	1.2544	-52.78	2021.0	0.0235	1616.8	-1569.3
E5	BINDING	A_PBAR	TAU_0.99	0.99	5	16.19	8.69	-83.61	116.0	20.13	300.8	379	342.2	17.6	0.9029	-56.47	2021.0	0.008	1616.8	-1600.61
E5	BINDING	A_PWIN	CELLSOFAR_0.8	0.8	5	-27.88	32.08	-129.99	74.23	-27.96	378.0	379	654.0	-16.03	1.7256	-9.55	2021.0	-0.0138	1616.8	-1644.68
E5	BINDING	A_PWIN	CELLSOFAR_0.9	0.9	5	-17.42	14.79	-116.98	82.14	-17.78	372.2	379	598.4	-11.08	1.5789	-58.21	2021.0	-0.0086	1616.8	-1634.22
E5	BINDING	A_PWIN	CELLSOFAR_0.95	0.95	5	-27.76	38.63	-119.91	64.39	-28.81	367.2	379	557.2	-19.23	1.4702	-39.8	2021.0	-0.0137	1616.8	-1644.56
E5	BINDING	A_PWIN	CELLSOFAR_0.99	0.99	5	-16.82	40.35	-106.7	73.07	-17.85	360.0	379	523.6	-12.74	1.3815	-90.4	2021.0	-0.0083	1616.8	-1633.62
E5	BINDING	A_PWIN	DAYSOFAR_0.5	0.5	5	-46.17	21.99	-149.22	56.87	-46.2	378.8	379	696.6	-25.16	1.838	-7.99	2021.0	-0.0228	1616.8	-1662.97
E5	BINDING	A_PWIN	DAYSOFAR_0.7	0.7	5	-43.91	34.61	-149.72	61.91	-43.96	378.6	379	631.2	-26.42	1.6654	-46.69	2021.0	-0.0217	1616.8	-1660.71
E5	BINDING	A_PWIN	DAYSOFAR_0.9	0.9	5	-46.13	26.72	-152.52	60.26	-46.46	376.2	379	551.2	-32.0	1.4544	-16.68	2021.0	-0.0228	1616.8	-1662.93
E5	BINDING	A_PWIN	FIRST_3		5	-75.04	0.0	-170.81	20.72	-75.04	379.0	379	777.0	-36.6	2.0501	-75.04	2021.0	-0.0371	1616.8	-1691.84
E5	BINDING	A_PWIN	OCCUPANCY_0.5	0.5	5	7.9	36.96	-66.19	82.0	14.46	221.8	379	225.6	14.16	0.5953	-65.77	2021.0	0.0039	1616.8	-1608.9
E5	BINDING	A_PWIN	OCCUPANCY_1	1.0	5	-29.04	32.2	-108.7	50.63	-34.67	318.2	379	362.8	-30.47	0.9573	-16.84	2021.0	-0.0144	1616.8	-1645.84
E5	BINDING	A_PWIN	OCCUPANCY_2	2.0	5	-40.67	19.4	-122.99	41.65	-47.67	323.6	379	372.8	-41.4	0.9836	-25.86	2021.0	-0.0201	1616.8	-1657.47
E5	BINDING	A_PWIN	SECRETARY_0.1	0.1	5	8.89	25.31	-74.88	92.67	10.39	317.0	379	429.4	7.66	1.133	-39.72	2021.0	0.0044	1616.8	-1607.91
E5	BINDING	A_PWIN	SECRETARY_0.25	0.25	5	17.92	16.16	-46.4	82.23	35.44	191.0	379	211.6	31.98	0.5583	-50.09	2021.0	0.0089	1616.8	-1598.88
E5	BINDING	A_PWIN	SECRETARY_0.5	0.5	5	-0.29	13.6	-36.21	35.64	1.15	70.8	379	72.4	1.09	0.191	-18.87	2021.0	-0.0001	1616.8	-1617.09
E5	BINDING	A_PWIN	SECRETARY_0.6	0.6	5	-1.83	10.98	-30.38	26.73	-13.53	47.2	379	47.2	-13.53	0.1245	-28.61	2021.0	-0.0009	1616.8	-1618.63
E5	BINDING	A_PWIN	SECRETARY_0.7	0.7	5	6.59	6.77	-11.44	24.62	164.23	15.4	379	15.4	164.23	0.0406	-28.99	2021.0	0.0033	1616.8	-1610.21
E5	BINDING	A_PWIN	SECRETARY_0.8	0.8	5	-0.73	1.8	-6.27	4.8	-74.55	4.2	379	4.2	-74.55	0.0111	-23.51	2021.0	-0.0004	1616.8	-1617.53
E5	BINDING	A_PWIN	SECRETARY_RE_0.1	0.1	5	8.89	25.31	-74.88	92.67	10.39	317.0	379	429.4	7.66	1.133	-86.27	2021.0	0.0044	1616.8	-1607.91
E5	BINDING	A_PWIN	SECRETARY_RE_0.25	0.25	5	17.92	16.16	-46.4	82.23	35.44	191.0	379	211.6	31.98	0.5583	-51.25	2021.0	0.0089	1616.8	-1598.88
E5	BINDING	A_PWIN	SECRETARY_RE_0.5	0.5	5	-0.29	13.6	-36.21	35.64	1.15	70.8	379	72.4	1.09	0.191	-28.89	2021.0	-0.0001	1616.8	-1617.09
E5	BINDING	A_PWIN	SECRETARY_RE_0.6	0.6	5	-1.83	10.98	-30.38	26.73	-13.53	47.2	379	47.2	-13.53	0.1245	-31.29	2021.0	-0.0009	1616.8	-1618.63
E5	BINDING	A_PWIN	SECRETARY_RE_0.7	0.7	5	6.59	6.77	-11.44	24.62	164.23	15.4	379	15.4	164.23	0.0406	-14.98	2021.0	0.0033	1616.8	-1610.21
E5	BINDING	A_PWIN	SECRETARY_RE_0.8	0.8	5	-0.73	1.8	-6.27	4.8	-74.55	4.2	379	4.2	-74.55	0.0111	-13.79	2021.0	-0.0004	1616.8	-1617.53
E5	BINDING	A_PWIN	TAU_0.5	0.5	5	-64.55	33.0	-166.57	37.48	-65.06	375.6	379	595.4	-41.05	1.571	-91.25	2021.0	-0.0319	1616.8	-1681.35
E5	BINDING	A_PWIN	TAU_0.7	0.7	5	-29.64	38.63	-134.04	74.76	-33.58	340.8	379	450.2	-25.97	1.1879	-21.58	2021.0	-0.0147	1616.8	-1646.44
E5	BINDING	A_PWIN	TAU_0.8	0.8	5	40.17	17.49	-60.97	141.3	51.83	296.2	379	363.0	42.14	0.9578	-63.24	2021.0	0.0199	1616.8	-1576.63
E5	BINDING	A_PWIN	TAU_0.9	0.9	5	26.96	19.71	-57.58	111.51	48.03	214.2	379	239.2	43.52	0.6311	-59.53	2021.0	0.0133	1616.8	-1589.84
E5	BINDING	A_PWIN	TAU_0.95	0.95	5	33.58	15.17	-31.14	98.3	94.15	133.4	379	143.0	87.86	0.3773	-45.24	2021.0	0.0166	1616.8	-1583.22
E5	BINDING	A_PWIN	TAU_0.975	0.975	5	-12.53	24.94	-58.03	32.97	-75.02	72.2	379	73.4	-74.0	0.1937	-62.49	2021.0	-0.0062	1616.8	-1629.33
E5	BINDING	A_PWIN	TAU_0.99	0.99	5	-2.63	15.37	-28.07	22.82	-49.11	22.8	379	23.0	-52.97	0.0607	-32.4	2021.0	-0.0013	1616.8	-1619.43
E6	BINDING	A_EV	CELLSOFAR_0.8	0.8	5	20.92	36.63	-72.39	114.23	20.92	459.0	459	942.8	10.12	2.054	-42.17	2675.0	0.0078	2140.0	-2119.08
E6	BINDING	A_EV	CELLSOFAR_0.9	0.9	5	22.63	32.31	-70.61	115.86	22.63	459.0	459	947.4	10.95	2.0641	-49.54	2675.0	0.0085	2140.0	-2117.37
E6	BINDING	A_EV	CELLSOFAR_0.95	0.95	5	-3.34	40.57	-95.94	89.27	-3.34	459.0	459	941.2	-1.77	2.0505	-9.27	2675.0	-0.0012	2140.0	-2143.34
E6	BINDING	A_EV	CELLSOFAR_0.99	0.99	5	-7.22	47.88	-100.45	86.01	-7.22	459.0	459	926.8	-3.74	2.0192	-17.06	2675.0	-0.0027	2140.0	-2147.22
E6	BINDING	A_EV	DAYSOFAR_0.5	0.5	5	48.15	39.13	-47.96	144.26	48.15	459.0	459	960.4	22.9	2.0924	18.03	2675.0	0.018	2140.0	-2091.85
E6	BINDING	A_EV	DAYSOFAR_0.7	0.7	5	11.68	13.07	-75.99	99.35	11.68	459.0	459	927.2	5.73	2.02	1.28	2675.0	0.0044	2140.0	-2128.32
E6	BINDING	A_EV	DAYSOFAR_0.9	0.9	5	0.51	15.59	-85.36	86.38	0.51	458.4	459	860.4	0.21	1.8745	-25.2	2675.0	0.0002	2140.0	-2139.49
E6	BINDING	A_EV	FIRST_3		5	-35.81	0.0	-128.09	56.46	-35.81	459.0	459	924.0	-17.79	2.0131	-35.81	2675.0	-0.0134	2140.0	-2175.81
E6	BINDING	A_EV	OCCUPANCY_0.5	0.5	5	-30.19	8.17	-92.97	32.59	-32.39	427.6	459	503.2	-27.54	1.0963	-45.95	2675.0	-0.0113	2140.0	-2170.19
E6	BINDING	A_EV	OCCUPANCY_1	1.0	5	-87.31	12.74	-153.73	-20.89	-90.59	442.4	459	534.2	-75.01	1.1638	-28.38	2675.0	-0.0326	2140.0	-2227.31
E6	BINDING	A_EV	OCCUPANCY_2	2.0	5	-58.7	14.53	-128.72	11.31	-60.6	444.6	459	561.6	-47.93	1.2235	-11.02	2675.0	-0.0219	2140.0	-2198.7
E6	BINDING	A_EV	SECRETARY_0.1	0.1	5	-61.83	30.29	-136.84	13.18	-62.11	457.2	459	836.6	-34.01	1.8227	-15.68	2675.0	-0.0231	2140.0	-2201.83
E6	BINDING	A_EV	SECRETARY_0.25	0.25	5	-43.47	6.9	-106.69	19.75	-45.36	440.2	459	728.4	-27.57	1.5869	-56.38	2675.0	-0.0163	2140.0	-2183.47
E6	BINDING	A_EV	SECRETARY_0.5	0.5	5	-26.18	15.13	-70.77	18.41	-30.75	394.6	459	572.6	-21.34	1.2475	-17.55	2675.0	-0.0098	2140.0	-2166.18
E6	BINDING	A_EV	SECRETARY_0.6	0.6	5	-23.05	16.05	-62.07	15.96	-28.58	371.8	459	515.4	-20.55	1.1229	-37.0	2675.0	-0.0086	2140.0	-2163.05
E6	BINDING	A_EV	SECRETARY_0.7	0.7	5	-37.52	11.14	-64.71	-10.33	-50.45	338.8	459	442.6	-38.55	0.9643	-38.15	2675.0	-0.014	2140.0	-2177.52
E6	BINDING	A_EV	SECRETARY_0.8	0.8	5	-24.68	8.35	-46.48	-2.88	-36.98	302.4	459	373.2	-29.9	0.8131	-15.41	2675.0	-0.0092	2140.0	-2164.68
E6	BINDING	A_EV	SECRETARY_RE_0.1	0.1	5	-61.87	30.26	-136.87	13.14	-62.14	457.2	459	836.8	-34.02	1.8231	-67.35	2675.0	-0.0231	2140.0	-2201.87
E6	BINDING	A_EV	SECRETARY_RE_0.25	0.25	5	-43.48	6.86	-106.73	19.77	-45.36	440.2	459	729.0	-27.55	1.5882	-67.26	2675.0	-0.0163	2140.0	-2183.48
E6	BINDING	A_EV	SECRETARY_RE_0.5	0.5	5	-26.36	15.28	-70.96	18.24	-30.96	394.6	459	573.8	-21.41	1.2501	-11.15	2675.0	-0.0099	2140.0	-2166.36
E6	BINDING	A_EV	SECRETARY_RE_0.6	0.6	5	-23.17	16.12	-62.19	15.85	-28.72	371.8	459	516.2	-20.61	1.1246	-39.39	2675.0	-0.0087	2140.0	-2163.17
E6	BINDING	A_EV	SECRETARY_RE_0.7	0.7	5	-37.64	11.14	-64.84	-10.43	-50.61	338.8	459	443.8	-38.56	0.9669	-28.9	2675.0	-0.0141	2140.0	-2177.64
E6	BINDING	A_EV	SECRETARY_RE_0.8	0.8	5	-24.67	8.25	-46.49	-2.86	-36.99	302.4	459	374.4	-29.81	0.8157	-17.94	2675.0	-0.0092	2140.0	-2164.67
E6	BINDING	A_EV	TAU_0.5	0.5	5	-4.03	15.02	-91.45	83.4	-4.02	458.6	459	926.6	-2.02	2.0187	-13.25	2675.0	-0.0015	2140.0	-2144.03
E6	BINDING	A_EV	TAU_0.7	0.7	5	36.24	25.65	-46.55	119.03	37.89	443.0	459	796.2	20.98	1.7346	-41.66	2675.0	0.0135	2140.0	-2103.76
E6	BINDING	A_EV	TAU_0.8	0.8	5	19.47	27.07	-52.14	91.07	24.44	382.0	459	588.6	16.27	1.2824	-0.04	2675.0	0.0073	2140.0	-2120.53
E6	BINDING	A_EV	TAU_0.9	0.9	5	9.62	11.55	-53.91	73.14	19.61	231.8	459	300.0	15.28	0.6536	-32.43	2675.0	0.0036	2140.0	-2130.38
E6	BINDING	A_EV	TAU_0.95	0.95	5	-5.26	16.68	-50.35	39.82	-21.22	133.0	459	157.2	-19.01	0.3425	-15.4	2675.0	-0.002	2140.0	-2145.26
E6	BINDING	A_EV	TAU_0.975	0.975	5	-11.56	13.7	-41.73	18.61	-101.89	57.2	459	60.4	-98.59	0.1316	-58.59	2675.0	-0.0043	2140.0	-2151.56
E6	BINDING	A_EV	TAU_0.99	0.99	5	-11.92	7.94	-33.75	9.91	-283.39	20.0	459	20.0	-283.39	0.0436	-23.36	2675.0	-0.0045	2140.0	-2151.92
